,reaction,name,flux
EX_k_e,k_e <=> ,R_EX_k_e,-0.07797538463001354
Kt1,k_e --> k_c,Potassium transport via uniport (facilitated diffusion),0.07797538463001354
OMCDC,3c4mop_c + h_c --> 4mop_c + co2_c,2-Oxo-4-methyl-3-carboxypentanoate decarboxylation,0.0759630660167402
IPMD,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,3-isopropylmalate dehydrogenase,0.0759630660167402
IPPS,3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c,2-isopropylmalate synthase,0.0759630660167402
IPPMIa,3c2hmp_c <=> 2ippm_c + h2o_c,3-isopropylmalate dehydratase,-0.0759630660167402
IPPMIb,2ippm_c + h2o_c <=> 3c3hmp_c,2-isopropylmalate hydratase,-0.0759630660167402
GCCb,alpro_c + thf_c --> dhlpro_c + mlthf_c + nh4_c,Glycine cleavage complex,0.06822175890993554
GCCa,gly_c + h_c + lpro_c --> alpro_c + co2_c,Glycine-cleavage complex,0.06822175890993554
GCCc,dhlpro_c + nad_c --> h_c + lpro_c + nadh_c,Glycine-cleavage complex,0.06822175890993554
LLEUDr,h2o_c + leu__L_c + nad_c <=> 4mop_c + h_c + nadh_c + nh4_c,L leucine dehydrogenase,-0.06595778476461414
CTPS1,atp_c + nh4_c + utp_c --> adp_c + ctp_c + 2.0 h_c + pi_c,CTP synthase  NH3 ,0.0641260234279376
VALDHr,h2o_c + nad_c + val__L_c <=> 3mob_c + h_c + nadh_c + nh4_c,Valine dehydrogenase,-0.06195084771911251
ACHBS,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,2-aceto-2-hydroxybutanoate synthase,0.06143223290942391
THRD_L,thr__L_c --> 2obut_c + nh4_c,L-threonine deaminase,0.06143223290942391
DHAD2,23dhmp_c --> 3mop_c + h2o_c,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",0.06143223290942391
KARA2,2ahbut_c + h_c + nadph_c <=> 23dhmp_c + nadp_c,Ketol-acid reductoisomerase (2-Acetolactate),0.06143223290942391
UAMAGS,atp_c + glu__D_c + uama_c --> adp_c + h_c + pi_c + uamag_c,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,0.060788519654001796
ALAALAr,2.0 ala__D_c + atp_c <=> adp_c + alaala_c + h_c + pi_c,D-alanine-D-alanine ligase (reversible),0.060788519654001796
UAMAS,ala__L_c + atp_c + uamr_c --> adp_c + h_c + pi_c + uama_c,UDP-N-acetylmuramoyl-L-alanine synthetase,0.060788519654001796
UAPGR,h_c + nadph_c + uaccg_c --> nadp_c + uamr_c,UDP-N-acetylenolpyruvoylglucosamine reductase,0.060788519654001796
UAAGDS,26dap__M_c + atp_c + uamag_c --> adp_c + h_c + pi_c + ugmd_c,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",0.060788519654001796
UDCPDP,h2o_c + udcpdp_c --> h_c + pi_c + udcpp_c,Undecaprenyl-diphosphatase,0.060788519654001796
UAGPT3,uacgam_c + uagmda_c --> h_c + uaagmda_c + udp_c,UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,0.060788519654001796
UGMDDS,alaala_c + atp_c + ugmd_c --> adp_c + h_c + pi_c + ugmda_c,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase",0.060788519654001796
UAGCVT,pep_c + uacgam_c --> pi_c + uaccg_c,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,0.060788519654001796
PPTGS_BS,uaagmda_c --> h_c + peptido_BS_c + udcpdp_c,Peptidoglycan subunit synthesis,0.060788519654001796
PAPPT3,udcpp_c + ugmda_c --> uagmda_c + ump_c,"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",0.060788519654001796
GLUR,glu__D_c <=> glu__L_c,Glutamate racemase,-0.060788519654001796
DHQS,2dda7p_c --> 3dhq_c + pi_c,3-dehydroquinate synthase,0.05602794345295371
CHORS,3psme_c --> chor_c + pi_c,Chorismate synthase,0.05602794345295371
SHKK,atp_c + skm_c --> adp_c + h_c + skm5p_c,Shikimate kinase,0.05602794345295371
SHK3Dr,3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c,Shikimate dehydrogenase,0.05602794345295371
DHQTi,3dhq_c --> 3dhsk_c + h2o_c,"3-dehydroquinate dehydratase, irreversible",0.05602794345295371
DDPA,e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,0.05602794345295371
PSCVT,pep_c + skm5p_c <=> 3psme_c + pi_c,3-phosphoshikimate 1-carboxyvinyltransferase,0.05602794345295371
DAPDC,26dap__M_c + h_c --> co2_c + lys__L_c,Diaminopimelate decarboxylase,0.050238714895574396
CHORM,chor_c --> pphn_c,Chorismate mutase,0.047399597575603164
TRDR,h_c + nadph_c + trdox_c --> nadp_c + trdrd_c,Thioredoxin reductase (NADPH),0.04710726074740883
ORNTAC,acorn_c + glu__L_c <=> acglu_c + orn_c,Ornithine transacetylase,0.04330393313851712
ARGSL,argsuc_c <=> arg__L_c + fum_c,Argininosuccinate lyase,0.04330393313851712
OCBT,cbp_c + orn_c <=> citr__L_c + h_c + pi_c,Ornithine carbamoyltransferase,0.04330393313851712
ACGK,acglu_c + atp_c --> acg5p_c + adp_c,Acetylglutamate kinase,0.04330393313851712
AGPR,acg5sa_c + nadp_c + pi_c <=> acg5p_c + h_c + nadph_c,N-acetyl-g-glutamyl-phosphate reductase,-0.04330393313851712
ARGSS,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,Argininosuccinate synthase,0.04330393313851712
ACOTA,acorn_c + akg_c <=> acg5sa_c + glu__L_c,Acetylornithine transaminase,-0.04330393313851712
ILETA,akg_c + ile__L_c <=> 3mop_c + glu__L_c,Isoleucine transaminase,-0.04253336832207465
SO4t2,h_e + so4_e --> h_c + so4_c,SO4t2,0.03804785776487553
EX_so4_e,so4_e <=> ,R_EX_so4_e,-0.03804785776487553
PAPSR,paps_c + trdrd_c --> 2.0 h_c + pap_c + so3_c + trdox_c,Phosphoadenylyl-sulfate reductase (thioredoxin),0.036314733117447165
SADT,atp_c + h_c + so4_c --> aps_c + ppi_c,Sulfate adenylyltransferase,0.036314733117447165
ADSK,aps_c + atp_c --> adp_c + h_c + paps_c,Adenylyl-sulfate kinase,0.036314733117447165
BPNT,h2o_c + pap_c --> amp_c + pi_c,"3',5'-bisphosphate nucleotidase",0.036314733117447165
SULR_1,3.0 h2o_c + h2s_c + 3.0 nadp_c <-- 5.0 h_c + 3.0 nadph_c + so3_c,Sulfite reductase  NADPH2 ,-0.036314733117447165
ASNS2,asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c,Asparagine synthetase,0.035290511433903354
GLU5K,atp_c + glu__L_c --> adp_c + glu5p_c,Glutamate 5-kinase,0.03236236513142146
G5SD2,glu5p_c + h_c + nadh_c --> glu5sa_c + nad_c + pi_c,Glutamate 5 semialdehyde dehydrogenase,0.03236236513142146
G5SADs,glu5sa_c --> 1pyr5c_c + h2o_c + h_c,L-glutamate 5-semialdehyde dehydratase (spontaneous),0.03236236513142146
P5CRx,1pyr5c_c + 2.0 h_c + nadh_c --> nad_c + pro__L_c,P5CRx,0.03236236513142146
NADFADOR,fadh2_c + fdxr_42_c + 2.0 nad_c <=> fad_c + fdxo_42_c + 2.0 nadh_c,NAD:FAD oxidoreductase,-0.029645277784077263
RNF,fdxr_42_c + 3.0 h_c + nad_c --> fdxo_42_c + 2.0 h_e + nadh_c,Ferredoxin:NAD oxidoreductase ( 2 protons traslocation),0.029645277784077263
PHETA1,akg_c + phe__L_c <=> glu__L_c + phpyr_c,Phenylalanine transaminase,-0.027122825970537928
PPNDH,h_c + pphn_c --> co2_c + h2o_c + phpyr_c,Prephenate dehydratase,0.027122825970537928
MTHFR3,2.0 h_c + mlthf_c + nadph_c --> 5mthf_c + nadp_c,5 10 methylenetetrahydrofolatereductase  NADPH ,0.022628378943946825
METS,5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c,Methionine synthase,0.022628378943946825
HSST,hom__L_c + succoa_c --> coa_c + suchms_c,Homoserine O-succinyltransferase,0.02258846605439304
SHSL2r,h2s_c + suchms_c --> h_c + hcys__L_c + succ_c,SHSL2r,0.02258846605439304
FLDR,fldox_c + h_c + nadph_c --> fldrd_c + nadp_c,Flavodoxin reductase (NADPH),0.02124517848908386
TYRTA,akg_c + tyr__L_c <=> 34hpp_c + glu__L_c,Tyrosine transaminase,-0.02027677160506524
PPND,nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c,Prephenate dehydrogenase,0.02027677160506524
OIVD3,3mop_c + coa_c + nad_c --> 2mbcoa_c + co2_c + nadh_c,2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxopentanoate),0.01889886458734925
G3POA_BS,0.07 fa11coa_c + 0.17 fa12coa_c + 0.01 fa1coa_c + 0.2 fa3coa_c + 0.34 fa4coa_c + 0.05 fa6coa_c + glyc3p_c + 0.1 pmtcoa_c + 0.03 strcoa_c + 0.03 tdcoa_c --> 0.01 1ag3p_BS_c + coa_c,Glycerol 3 phosphate O acyltransferase,0.01852829861504829
PAP_BS,0.01 12dag3p_BS_c + h2o_c --> 0.01 12dgr_BS_c + pi_c,Phosphatidic acid phosphatase,0.01852829861504829
AGPATr_BS,0.01 1ag3p_BS_c + 0.07 fa11coa_c + 0.17 fa12coa_c + 0.01 fa1coa_c + 0.2 fa3coa_c + 0.34 fa4coa_c + 0.05 fa6coa_c + 0.1 pmtcoa_c + 0.03 strcoa_c + 0.03 tdcoa_c <=> 0.01 12dag3p_BS_c + coa_c,1 acylglycerol 3 phosphate O acyltransferase,0.01852829861504829
UGT_BS,0.01 12dgr_BS_c + 2.0 udpg_c --> 0.01 d12dg_BS_c + 2.0 h_c + 2.0 udp_c,UDP glucosyltransferase  diglucosyl ,0.01852829861504829
PRATPP,h2o_c + prbatp_c --> h_c + ppi_c + prbamp_c,Phosphoribosyl-ATP pyrophosphatase,0.013869563514114482
PRAMPC,h2o_c + prbamp_c --> prfp_c,Phosphoribosyl-AMP cyclohydrolase,0.013869563514114482
PRMICI,prfp_c <=> prlp_c,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,0.013869563514114482
HSTPT,glu__L_c + imacp_c --> akg_c + hisp_c,Histidinol-phosphate transaminase,0.013869563514114482
IG3PS,gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + h_c,Imidazole-glycerol-3-phosphate synthase,0.013869563514114482
HISTP,h2o_c + hisp_c --> histd_c + pi_c,Histidinol-phosphatase,0.013869563514114482
HISTD,h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c,Histidinol dehydrogenase,0.013869563514114482
ATPPRT,atp_c + prpp_c --> ppi_c + prbatp_c,ATP phosphoribosyltransferase,0.013869563514114482
IGPDH,eig3p_c --> h2o_c + imacp_c,Imidazoleglycerol-phosphate dehydratase,0.013869563514114482
CYS,h2s_c + ser__L_c --> cys__L_c + h2o_c,L-cysteine,0.013726267063054125
FACOAL150_anteiso,atp_c + coa_c + fa4_c --> amp_c + fa4coa_c + ppi_c,Fatty acid  CoA ligase  anteiso C150 ,0.012599243058232835
KAS4,2mbcoa_c + 14.0 h_c + 5.0 malcoa_c + 10.0 nadph_c --> 5.0 co2_c + 6.0 coa_c + fa4_c + 4.0 h2o_c + 10.0 nadp_c,B-ketoacyl synthetase (Anteiso-C15:0),0.012599243058232835
RNTR3c,ctp_c + fldrd_c --> dctp_c + fldox_c + h2o_c,Ribonucleoside-triphosphate reductase (CTP) (flavodoxin),0.010792527629961662
