formula_molecular_weight,name,formula,metabolite_id,metanetx_id,kegg_id
63.546,Copper,Cu,cu2_e,MNXM632,C00070
63.546,Copper,Cu,cu2_c,MNXM632,C00070
65.409,Zinc,Zn,zn2_c,MNXM149,C00038
65.409,Zinc,Zn,zn2_p,MNXM149,C00038
65.409,Zinc,Zn,zn2_e,MNXM149,C00038
72.06266,Methylglyoxal,C3H4O2,mthgxl_c,MNXM310,C00546
72.10571999999999,Butanal C4H8O,C4H8O,btal_c,MNXM1017,C01412
73.02754,Glyoxylate,C2HO3,glx_c,MNXM69,C00048
73.0706,Propionate (n-C3:0),C3H5O2,ppa_p,MNXM162260,
73.0706,Propionate (n-C3:0),C3H5O2,ppa_e,MNXM162260,
73.0706,Propionate (n-C3:0),C3H5O2,ppa_c,MNXM162260,
74.07854,Acetol cytosol,C3H6O2,acetol_c,MNXM1744,C05235
74.07854,D-Lactaldehyde,C3H6O2,lald__D_c,MNXM909,C00937
74.07854,L-Lactaldehyde,C3H6O2,lald__L_c,MNXM2387,"['C00424', 'C05999']"
74.07854,3-Hydroxypropanal,C3H6O2,3hppnl_c,MNXM1526,C00969
74.10172,Aminoacetone,C3H8NO,aact_c,MNXM1106,C01888
74.1216,1-Butanol,C4H10O,1btol_c,MNXM3230,C06142
74.1216,Butanol,C4H10O,btoh_c,MNXM3230,C06142
75.04342,Glycolate C2H3O3,C2H3O3,glyclt_e,MNXM222,C00160
75.04342,Glycolate C2H3O3,C2H3O3,glyclt_p,MNXM222,C00160
75.04342,Glycolate C2H3O3,C2H3O3,glyclt_c,MNXM222,C00160
75.0666,Glycine,C2H5NO2,gly_e,MNXM29,C00037
75.0666,Glycine,C2H5NO2,gly_p,MNXM29,C00037
75.0666,Glycine,C2H5NO2,gly_c,MNXM29,C00037
76.09442,"1,3-Propanediol",C3H8O2,13ppd_c,MNXM2861,C02457
76.09442,"(S)-Propane-1,2-diol",C3H8O2,12ppd__S_c,MNXM1255,C02917
76.09442,"(R)-Propane-1,2-diol",C3H8O2,12ppd__R_c,MNXM90191,C02912
76.1176,1-Aminopropan-2-ol,C3H10NO,appl_c,MNXM1029,"['C03194', 'C05771']"
76.14078,1 3 Diaminopropane C3H12N2,C3H12N2,13dampp_c,MNXM146468,
80.0632,Sulfite,O3S,so3_e,MNXM105630,"['C00094', 'C11481']"
80.0632,Sulfite,O3S,so3_p,MNXM105630,"['C00094', 'C11481']"
80.0632,Sulfite,O3S,so3_c,MNXM105630,"['C00094', 'C11481']"
81.995781,Phosphonate,H3O3P,ppat_c,,
81.995781,Phosphonate,H3O3P,ppat_e,,
86.06936,3-Aminoacrylate,C3H4NO2,3amac_c,MNXM162288,C20253
86.08924,Diacetyl C4H6O2,C4H6O2,diact_c,MNXM1467,C00741
86.1323,Pentanal,C5H10O,ptal_c,MNXM73201,
87.05412,Malonate semialdehyde,C3H3O3,msa_c,MNXM244,C00222
87.05412,Pyruvate,C3H3O3,pyr_p,MNXM23,C00022
87.05412,Pyruvate,C3H3O3,pyr_e,MNXM23,C00022
87.05412,Pyruvate,C3H3O3,pyr_c,MNXM23,C00022
87.09718,Butyrate (n-C4:0),C4H7O2,but_p,MNXM162281,
87.09718,Butyrate (n-C4:0),C4H7O2,but_c,MNXM162281,
87.09718,Butyrate (n-C4:0),C4H7O2,but_e,MNXM162281,
88.019,Oxalate,C2O4,oxa_e,MNXM291,C00209
88.019,Oxalate,C2O4,oxa_c,MNXM291,C00209
88.10512, R  Acetoin C4H8O2,C4H8O2,actn__R_c,MNXM664,C00810
88.10512,S-acetoin,C4H8O2,actn__S_c,,
88.10512, R  Acetoin C4H8O2,C4H8O2,actn__R_e,MNXM664,C00810
88.1283,4-Aminobutanal,C4H10NO,4abutn_c,MNXM422,C00555
89.07,D-Lactate,C3H5O3,lac__D_e,MNXM285,C00256
89.07,L-Lactate,C3H5O3,lac__L_c,MNXM179,C00186
89.07,L-Lactate,C3H5O3,lac__L_e,MNXM179,C00186
89.07,D-Lactate,C3H5O3,lac__D_c,MNXM285,C00256
89.09318,Sarcosine C3H7NO2,C3H7NO2,sarcs_c,MNXM300,C00213
89.09318,Beta-Alanine,C3H7NO2,ala_B_c,MNXM144,C00099
89.09318,Beta-Alanine,C3H7NO2,ala_B_e,MNXM144,C00099
89.09318,Beta-Alanine,C3H7NO2,ala_B_p,MNXM144,C00099
89.09318,D-Alanine,C3H7NO2,ala__D_c,MNXM156,C00133
89.09318,D-Alanine,C3H7NO2,ala__D_p,MNXM156,C00133
89.09318,D-Alanine,C3H7NO2,ala__D_e,MNXM156,C00133
89.09318,L-Alanine,C3H7NO2,ala__L_c,MNXM32,"['C00041', 'C01401']"
89.09318,L-Alanine,C3H7NO2,ala__L_e,MNXM32,"['C00041', 'C01401']"
89.09318,L-Alanine,C3H7NO2,ala__L_p,MNXM32,"['C00041', 'C01401']"
90.07794,Dihydroxyacetone,C3H6O3,dha_c,MNXM460,C00184
90.07794,D-Glyceraldehyde,C3H6O3,glyald_c,MNXM435,C00577
90.121, R R  2 3 Butanediol C4H10O2,C4H10O2,btd_RR_c,MNXM163570,
90.16736,Putrescine,C4H14N2,ptrc_c,MNXM118,C00134
90.16736,Putrescine,C4H14N2,ptrc_p,MNXM118,C00134
90.16736,Putrescine,C4H14N2,ptrc_e,MNXM118,C00134
92.09382,Glycerol,C3H8O3,glyc_c,MNXM89612,C00116
92.09382,Glycerol,C3H8O3,glyc_e,MNXM89612,C00116
92.09382,Glycerol,C3H8O3,glyc_p,MNXM89612,C00116
92.13842,Toluene,C7H8,tol_c,MNXM889,C01455
92.13842,Toluene,C7H8,tol_p,MNXM889,C01455
92.13842,Toluene,C7H8,tol_e,MNXM889,C01455
94.11124,Phenol,C6H6O,phenol_e,,
94.11124,Phenol,C6H6O,phenol_c,,
95.09772,Methanesulfonate,CH3O3S,mso3_e,MNXM1485,C11145
95.09772,Methanesulfonate,CH3O3S,mso3_c,MNXM1485,C11145
95.97930099999999,Phosphate,HO4P,pi_p,MNXM9,C00009
95.97930099999999,Phosphate,HO4P,pi_c,MNXM9,C00009
95.97930099999999,Phosphate,HO4P,pi_e,MNXM9,C00009
96.0626,Sulfate,O4S,so4_p,MNXM58,C00059
96.0626,Sulfate,O4S,so4_c,MNXM58,C00059
96.0626,Sulfate,O4S,so4_e,MNXM58,C00059
98.1646,Dimethyl sulfone,C2H10O2S,dmso2_c,,
98.1646,Dimethyl sulfone,C2H10O2S,dmso2_e,,
98.1646,Dimethyl sulfone,C2H10O2S,dmso2_p,,
100.15888,Hexanal C6H12O,C6H12O,hxal_c,MNXM8718,
101.0807,2-Oxobutanoate,C4H5O3,2obut_c,MNXM159,C00109
101.0807,Acetoacetate,C4H5O3,acac_p,MNXM154,C00164
101.0807,Acetoacetate,C4H5O3,acac_e,MNXM154,C00164
101.0807,Acetoacetate,C4H5O3,acac_c,MNXM154,C00164
101.0807,2-Methyl-3-oxopropanoate,C4H5O3,2mop_c,MNXM305,C00349
101.0807,Succinic semialdehyde,C4H5O3,sucsal_c,MNXM172,C00232
101.0807, S  Methylmalonate semialdehyde C4H5O3,C4H5O3,mmalsa__S_c,MNXM163893,
101.0807,(S)-Methylmalonate semialdehyde,C4H5O3,mmtsa_c,MNXM933,C06002
101.12376,Pentanoate,C5H9O2,pta_e,MNXM3382,C00803
101.12376,Pentanoate,C5H9O2,pta_c,MNXM3382,C00803
101.12376,3-Methylbutanoic acid,C5H9O2,3mb_c,MNXM7454,C08262
101.12376,3-Methylbutanoic acid,C5H9O2,3mb_e,MNXM7454,C08262
101.12376,3-Methylbutanoic acid,C5H9O2,3mb_p,MNXM7454,C08262
101.12376,Pentanoate,C5H9O2,pta_p,MNXM3382,C00803
102.15487999999999,Betaine aldehyde,C5H12NO,betald_c,MNXM457,C00576
103.05351999999999,2-Hydroxy-3-oxopropanoate,C3H3O4,2h3oppan_c,MNXM475,C01146
103.05351999999999,Hydroxypyruvate,C3H3O4,hpyr_c,MNXM392,C00168
103.05682,Allophanate C2H3N2O3,C2H3N2O3,allphn_c,MNXM1122,C01010
103.07669999999999,Peroxyaminoacrylate,C3H5NO3,poaac_c,MNXM3415,C20249
103.07669999999999,2-Aminomalonate semialdehyde,C3H5NO3,2amsa_c,MNXM2124,C11822
103.09657999999999,3-Hydroxy-2-methylpropanoate,C4H7O3,3hmp_c,MNXM396,C01188
103.09657999999999,(R)-3-Hydroxybutanoate,C4H7O3,bhb_c,MNXM663,C01089
103.11976,"N,N-Dimethylglycine",C4H9NO2,dmgly_c,MNXM464,C01026
103.11976,4-Aminobutanoate,C4H9NO2,4abut_p,MNXM192,C00334
103.11976,4-Aminobutanoate,C4H9NO2,4abut_e,MNXM192,C00334
103.11976,4-Aminobutanoate,C4H9NO2,4abut_c,MNXM192,C00334
104.10452,4-hydroxybutyrate,C4H8O3,h4but_c,,
104.17075999999999,Choline C5H14NO,C5H14NO,chol_c,MNXM90,C00114
104.17075999999999,Choline C5H14NO,C5H14NO,chol_e,MNXM90,C00114
104.17075999999999,Choline C5H14NO,C5H14NO,chol_p,MNXM90,C00114
104.19394000000001,"1,5-Diaminopentane",C5H16N2,15dap_c,MNXM943,C01672
105.0694,(R)-Glycerate,C3H5O4,glyc__R_p,MNXM189,C00258
105.0694,(R)-Glycerate,C3H5O4,glyc__R_e,MNXM189,C00258
105.0694,(R)-Glycerate,C3H5O4,glyc__R_c,MNXM189,C00258
105.09258,D-Serine,C3H7NO3,ser__D_p,MNXM694,C00740
105.09258,D-Serine,C3H7NO3,ser__D_e,MNXM694,C00740
105.09258,L-Serine,C3H7NO3,ser__L_p,MNXM53,"['C00065', 'C00716']"
105.09258,D-Serine,C3H7NO3,ser__D_c,MNXM694,C00740
105.09258,L-Serine,C3H7NO3,ser__L_c,MNXM53,"['C00065', 'C00716']"
105.09258,L-Serine,C3H7NO3,ser__L_e,MNXM53,"['C00065', 'C00716']"
106.12194,Benzaldehyde,C7H6O,bzal_c,MNXM371,"['C00193', 'C00261']"
106.16499999999999,M-Xylene,C8H10,m_xyl_e,MNXM3300,C07208
106.16499999999999,P-methyltoluene,C8H10,p_xyl_e,MNXM3685,C06756
106.16499999999999,P-methyltoluene,C8H10,p_xyl_p,MNXM3685,C06756
106.16499999999999,M-Xylene,C8H10,m_xyl_c,MNXM3300,C07208
106.16499999999999,M-Xylene,C8H10,m_xyl_p,MNXM3300,C07208
106.16499999999999,P-methyltoluene,C8H10,p_xyl_c,MNXM3685,C06756
108.13781999999999,Benzyl alcohol,C7H8O,bzalc_p,MNXM562,"['C00556', 'C03485']"
108.13781999999999,Benzyl alcohol,C7H8O,bzalc_e,MNXM562,"['C00556', 'C03485']"
108.13781999999999,Benzyl alcohol,C7H8O,bzalc_c,MNXM562,"['C00556', 'C03485']"
109.12429999999999,Ethanesulfonate C2H5O3S,C2H5O3S,eths_e,MNXM7343,
109.12429999999999,Ethanesulfonate,C2H5O3S,ethso3_c,MNXM7343,
109.12429999999999,Ethanesulfonate,C2H5O3S,ethso3_p,MNXM7343,
109.12429999999999,Ethanesulfonate C2H5O3S,C2H5O3S,eths_c,MNXM7343,
109.12429999999999,Ethanesulfonate,C2H5O3S,ethso3_e,MNXM7343,
110.11064,Catechol,C6H6O2,catechol_c,MNXM181,"['C00090', 'C01785', 'C15571']"
111.0987,"2,5-Dihydroxypyridine",C5H5NO2,dhpyr_c,MNXM888,C01059
111.10199999999999,Cytosine,C4H5N3O,csn_e,MNXM761,C00380
111.10199999999999,Cytosine,C4H5N3O,csn_c,MNXM761,C00380
112.08676,Uracil,C4H4N2O2,ura_p,MNXM158,C00106
112.08676,Uracil,C4H4N2O2,ura_e,MNXM158,C00106
112.08676,Uracil,C4H4N2O2,ura_c,MNXM158,C00106
112.10664,1-Pyrroline-5-carboxylate,C5H6NO2,1pyr5c_c,MNXM1617,"['C03912', 'C04322']"
112.10664,1-Pyrroline-2-carboxylate,C5H6NO2,1p2cbxl_c,MNXM165560,
112.12819999999999,Thiosulfate,O3S2,tsul_p,MNXM323,"['C00320', 'C05529']"
112.12819999999999,Thiosulfate,O3S2,tsul_c,MNXM323,"['C00320', 'C05529']"
112.12819999999999,Thiosulfate,O3S2,tsul_e,MNXM323,"['C00320', 'C05529']"
112.411,Cadmium,Cd,cd2_p,MNXM4505,C01413
112.411,Cadmium,Cd,cd2_c,MNXM4505,C01413
113.0914,2-Oxopent-4-enoate,C5H5O3,op4en_c,MNXM312,
113.11788,Creatinine,C4H7N3O,crtn_p,MNXM163786,
113.11788,Creatinine,C4H7N3O,crtn_e,MNXM163786,
113.11788,Creatinine,C4H7N3O,crtn_c,MNXM163786,
114.05628,Fumarate,C4H2O4,fum_c,MNXM93,C00122
114.05628,Maleate,C4H2O4,male_c,MNXM1239,C01384
114.05628,Fumarate,C4H2O4,fum_e,MNXM93,C00122
114.05628,Fumarate,C4H2O4,fum_p,MNXM93,C00122
114.07946,Maleamate,C4H4NO3,malm_c,MNXM902,C01596
114.10264000000001,N Methylhydantoin,C4H6N2O2,mthd_c,,
114.10264000000001,"5,6-dihydrouracil",C4H6N2O2,56dura_c,MNXM506,C00429
114.12252,D-Proline,C5H8NO2,pro__D_c,MNXM162989,
115.10728,3-Methyl-2-oxobutanoate,C5H7O3,3mob_c,MNXM238,C00141
115.10728,4 Oxopentanoate,C5H7O3,4oxptn_p,,
115.10728,5-Oxopentanoate,C5H7O3,oxptn_c,MNXM1410,C03273
115.10728,4 Oxopentanoate,C5H7O3,4oxptn_c,,
115.10728,4 Oxopentanoate,C5H7O3,4oxptn_e,,
115.13046,L-Proline,C5H9NO2,pro__L_p,MNXM114,"['C00148', 'C16435']"
115.13046,D Valine,C5H9NO2,val__D_e,,
115.13046,D Valine,C5H9NO2,val__D_p,,
115.13046,D Valine,C5H9NO2,val__D_c,,
115.13046,L-Proline,C5H9NO2,pro__L_c,MNXM114,"['C00148', 'C16435']"
115.13046,L-Proline,C5H9NO2,pro__L_e,MNXM114,"['C00148', 'C16435']"
115.15034,Hexanoate (n-C6:0),C6H11O2,hxa_p,MNXM1653,C01585
115.15034,Hexanoate (n-C6:0),C6H11O2,hxa_c,MNXM1653,C01585
115.15034,Hexanoate (n-C6:0),C6H11O2,hxa_e,MNXM1653,C01585
116.07216,Succinate,C4H4O4,succ_e,MNXM25,C00042
116.07216,Succinate,C4H4O4,succ_p,MNXM25,C00042
116.07216,Succinate,C4H4O4,succ_c,MNXM25,C00042
116.07216,Methylmalonate C4H4O4,C4H4O4,mmal_c,MNXM1572,C02170
116.15828,Isocaproate,C6H12O2,isocap_c,,
116.15828,Isocaproate,C6H12O2,isocap_e,,
116.16158,5-Aminopentanamide,C5H12N2O,5apentam_c,MNXM2090,C00990
117.10328,L-2-Amino-3-oxobutanoate,C4H7NO3,2aobut_c,MNXM114087,C03508
117.10328,L-Aspartate 4-semialdehyde,C4H7NO3,aspsa_c,MNXM361,C00441
117.12316, 3 Hydroxypentanoic acid,C5H9O3,R_3hpt_c,,
117.12316,4 Hydroxypentanoate,C5H9O3,4hptn_p,,
117.12316,4 Hydroxypentanoate,C5H9O3,4hptn_e,,
117.12316,4 Hydroxypentanoate,C5H9O3,4hptn_c,,
117.14634,Glycine betaine,C5H11NO2,glyb_p,MNXM289,C00719
117.14634,L-Valine,C5H11NO2,val__L_c,MNXM199,"['C00183', 'C16436']"
117.14634,Glycine betaine,C5H11NO2,glyb_e,MNXM289,C00719
117.14634,Glycine betaine,C5H11NO2,glyb_c,MNXM289,C00719
117.14634,L-Valine,C5H11NO2,val__L_e,MNXM199,"['C00183', 'C16436']"
117.14634,L-Valine,C5H11NO2,val__L_p,MNXM199,"['C00183', 'C16436']"
117.14634,5-Aminopentanoate,C5H11NO2,5aptn_c,MNXM792,C00431
117.14788,Indole,C8H7N,indole_c,MNXM377,C00463
117.14788,Indole,C8H7N,indole_p,MNXM377,C00463
117.14788,Indole,C8H7N,indole_e,MNXM377,C00463
118.1344,"L-2,4-Diaminobutanoate",C4H10N2O2,24dab_c,MNXM840,C03283
119.11912,Mercaptopyruvate,C3H3O3S,mercppyr_c,MNXM1214,C00957
119.11916,L-Homoserine,C4H9NO3,hom__L_p,MNXM353,C00263
119.11916,L-Threonine,C4H9NO3,thr__L_e,MNXM142,C00188
119.11916,L-Threonine,C4H9NO3,thr__L_c,MNXM142,C00188
119.11916,L-Homoserine,C4H9NO3,hom__L_c,MNXM353,C00263
119.11916,L-Threonine,C4H9NO3,thr__L_p,MNXM142,C00188
119.11916,L-Homoserine,C4H9NO3,hom__L_e,MNXM353,C00263
120.14851999999999,Phenylacetaldehyde,C8H8O,pacald_e,MNXM473,C00601
120.14851999999999,Phenylacetaldehyde,C8H8O,pacald_p,MNXM473,C00601
120.14851999999999,Phenylacetaldehyde,C8H8O,pacald_c,MNXM473,C00601
121.1134,Benzoate,C7H5O2,bz_p,MNXM217,"['C00180', 'C00539']"
121.1134,Benzoate,C7H5O2,bz_e,MNXM217,"['C00180', 'C00539']"
121.1134,Benzoate,C7H5O2,bz_c,MNXM217,"['C00180', 'C00539']"
121.15646,Phenylethyl alcohol,C8H9O,pea_c,,
121.15646,Phenylethyl alcohol,C8H9O,pea_e,,
121.15818,L-Cysteine,C3H7NO2S,cys__L_p,MNXM55,"['C00097', 'C00736']"
121.15818,L-Cysteine,C3H7NO2S,cys__L_c,MNXM55,"['C00097', 'C00736']"
121.15818,L-Cysteine,C3H7NO2S,cys__L_e,MNXM55,"['C00097', 'C00736']"
122.016581,Phosphonoacetaldehyde,C2H3O4P,Pald_c,MNXM803,C03167
122.10146,Nicotinate,C6H4NO2,nac_c,MNXM274,C00253
122.12134,4-Hydroxybenzaldehyde,C7H6O2,4hbald_c,MNXM577,C00633
122.12464,Nicotinamide,C6H6N2O,ncam_c,MNXM216,C00153
122.18758,Phenethylamine,C8H12N,peamn_c,MNXM660,C05332
122.18758,Phenethylamine,C8H12N,peamn_e,MNXM660,C05332
122.18758,Phenethylamine,C8H12N,peamn_p,MNXM660,C05332
124.13722,4-Hydroxy-benzyl alcohol,C7H8O2,4hba_c,MNXM107505,C17467
124.13722,4-Hydroxy-benzyl alcohol,C7H8O2,4hba_e,MNXM107505,C17467
124.13722,Guaiacol,C7H8O2,guaiacol_c,,
124.13722,Guaiacol,C7H8O2,guaiacol_e,,
125.063581,2-Aminoethylphosphonate,C2H8NO3P,2ameph_p,MNXM1692,C03557
125.063581,2-Aminoethylphosphonate,C2H8NO3P,2ameph_c,MNXM1692,C03557
125.063581,2-Aminoethylphosphonate,C2H8NO3P,2ameph_e,MNXM1692,C03557
125.1237,Isethionic acid,C2H5O4S,isetac_e,MNXM1630,C05123
125.1237,Isethionic acid,C2H5O4S,isetac_p,MNXM1630,C05123
125.1237,Isethionic acid,C2H5O4S,isetac_c,MNXM1630,C05123
125.1237,Isethionate C2H5O4S,C2H5O4S,istnt_e,MNXM1630,C05123
125.1237,Isethionate C2H5O4S,C2H5O4S,istnt_c,MNXM1630,C05123
125.12858,5-Methylcytosine,C5H7N3O,5mcsn_c,MNXM3509,C02376
125.14688,Taurine C2H7NO3S,C2H7NO3S,taur_c,MNXM282,C00245
125.14688,Taurine C2H7NO3S,C2H7NO3S,taur_e,MNXM282,C00245
125.94362,Arsenite,H3AsO3,aso3_p,MNXM658,C06697
125.94362,Arsenite,H3AsO3,aso3_e,MNXM658,C06697
