m/z,RT [min],Name,model_metabolite,mass_difference,Tags,Foston_In_1-A_Met_LC_HILIC_Pos (F4),Foston_In_1-B_Met_LC_HILIC_Pos (F5),Foston_In_1-C_Met_LC_HILIC_Pos (F6),Foston_In_1-D_Met_LC_HILIC_Pos (F7),Foston_In_1-E_Met_LC_HILIC_Pos (F8),Foston_In_1-F_Met_LC_HILIC_Pos (F9),Foston_In_1-G_Met_LC_HILIC_Pos (F10),Foston_In_1-H_Met_LC_HILIC_Pos (F11),Foston_In_1-I_Met_LC_HILIC_Pos (F12),Foston_In_1-J_Met_LC_HILIC_Pos (F13),Foston_In_1-K_Met_LC_HILIC_Pos (F14),Foston_In_1-L_Met_LC_HILIC_Pos (F15),Foston_In_4-A_Met_LC_HILIC_Pos (F16),Foston_In_4-B_Met_LC_HILIC_Pos (F17),Foston_In_4-C_Met_LC_HILIC_Pos (F18),Foston_In_4-D_Met_LC_HILIC_Pos (F19),Foston_In_4-E_Met_LC_HILIC_Pos (F20),Foston_In_4-F_Met_LC_HILIC_Pos (F21),Foston_In_4-G_Met_LC_HILIC_Pos (F22),Foston_In_4-H_Met_LC_HILIC_Pos (F23),Foston_In_4-I_Met_LC_HILIC_Pos (F24),Foston_In_4-J_Met_LC_HILIC_Pos (F25),Foston_In_4-K_Met_LC_HILIC_Pos (F26),Foston_In_4-L_Met_LC_HILIC_Pos (F27)
146.0921,5.12,4-Guanidinobutanoic acid,4 Guanidinobutanoate C5H11N3O2,0.0010300000000142973,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",3720795.1810000003,3119557.441,3249639.889,5015484.576,5872537.5,4715579.393999999,1595379.793,831476.1924,247768.2317,5768584.737000001,7501082.845,8688115.803,423700.607,1387938.7130000002,1386860.695,599216.9357,4598980.581,4374648.3610000005,3435968.523,4254888.912,4050218.5289999996,5760130.783,4506767.002,4271593.041999999
252.10892,2.35,5'-Deoxyadenosine,Deoxyadenosine,0.0009199999999793818,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",7033843.0770000005,6427843.253,6686378.321,2523927.897,2821702.752,2650509.39,46169.43482,213703.1453,231947.8618,117436.3713,66852.59859,85702.50428,99136.28209,41375.05794,133694.2651,278667.8968,226030.8347,158318.0177,244963.77399999998,92894.34066,200642.5932,104121.9255,290976.4178,109613.635
298.09661,2.09,5'-S-Methyl-5'-thioadenosine,5-Methylthioadenosine,1.0070499999999925,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",297767081.0,244465809.4,235005115.9,265315939.2,278110548.7,221833117.8,144606114.9,147012637.8,193025628.6,134351920.5,186987221.3,170193976.5,109534779.0,41582.83073,87100201.36,117157335.7,123233694.7,110794957.6,79641891.21,77539540.15,60847210.14,253223277.1,279278043.7,271828949.9
136.06163999999998,4.94,Adenine,Adenine,0.0008600000000171804,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",7480855.079,9063180.74,7983266.308999999,7457360.812000001,7031225.313999999,8353554.753,7728299.333,7490552.352000001,6027653.25,5691387.839,4012905.811,3982574.457,11584010.42,3701596.599,8559555.075,4400311.521000001,5349402.983,5506825.612000001,3262901.973,4229486.34,3329041.6569999997,4662547.554,3706419.3989999997,4794012.705
268.10393999999997,3.19,Adenosine,Adenosine,0.0008100000000013097,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",3162789.512,2851459.997,2475491.332,6917764.867000001,5951413.364,4547970.079,649542.9208,834566.6897,600047.4302,1327888.498,1683779.716,1480213.218,3474200.816,34815.43283,3070075.0239999997,1737889.4440000001,1513923.299,1881208.511,1784956.926,1414367.677,1217837.762,1178008.031,1387741.392,1460658.88
428.0365,5.51,"Adenosine 3',5'-Biphosphate",Adenosine 5'-phosphosulfate,2.023149999999987,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",8298325.697000001,6710449.131,8050504.347999999,13647774.54,8863847.781,10120299.19,8245542.585,10612216.52,14241231.46,14240244.26,13475467.39,15506284.19,4479781.286,16461.29237,4793775.313,5449849.07,7088394.938999999,1913831.0969999998,1103536.775,2293727.207,1210201.608,2243766.807,3282498.7410000004,7732949.516
330.05975,3.49,Adenosine 3'5'-cyclic monophosphate,DIMP C10H12N4O7P,0.02212000000002945,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",2972468.958,3272569.0739999996,1997553.9219999998,941936.0123,924779.4362,1080745.352,1240212.277,1362038.866,447873.0223,558160.0718,272517.5401,439600.6974,652468.8655,19635.450080000002,527338.9853,1553356.121,1054479.067,1079535.149,579815.2356,433993.0673,499686.333,286030.587,538142.7873,280147.6147
348.06955,5.07,Adenosine 5' monophosphate (AMP),1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,1.0271099999999933,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",5168893.916999999,5484972.052,5863771.3,6404918.592,2869969.76,6889826.433999999,9176117.123,11392225.71,13253368.36,7495782.567000001,7281806.999,11891361.88,6058857.845,30151.809869999997,6117670.457,4416467.522,3091480.3419999997,5565679.063999999,2996301.915,2432794.752,2439928.595,6830600.566000001,7805605.617000001,8638080.07
137.04558,3.73,Allopurinol,Hypoxanthine,0.0009300000000109776,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",2143763.756,1638850.976,1360604.755,2311929.828,2388580.1,2605838.058,11732570.75,3506720.204,9323007.139,4181450.104,2293224.852,3115456.7939999998,859484.0081,16261.17829,1129231.85,2253655.299,2322611.0130000003,2361992.1580000003,1455871.6909999999,1707377.364,1498088.025,8343463.873,9261570.03,8391440.189
118.08603000000001,4.28,Betaine,Glycine betaine,0.0009499999999889042,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",961321836.4,927211296.7,956425179.9,1112967127.0,983548779.7,948272192.0,493366003.1,481510930.0,532786952.1,529621991.7,517858391.3,527541638.9,470636899.1,153162890.7,475931247.3,442771348.7,450192886.4,408773884.6,515300181.7,487464909.9,447276320.2,450188443.6,480886828.4,452756575.1
245.09528999999998,3.48,Biotin,Uridine,0.017749999999978172,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",22010.95605,13695.188830000001,13052.52849,1132159.377,688686.9373,352657.7791,1012571.829,143828.2569,273467.8067,1189955.706,81448.61184,178633.4386,4328789.284,17691.24097,3890417.238,1177808.572,1197655.247,1365028.8,337586.8852,257865.8996,267150.568,14149.60469,13523.261519999998,13666.66014
176.10269,5.3,Citrulline,L-Citrulline,0.0010000000000047748,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",321237853.2,5986512.902000001,329224782.6,124746165.6,160894668.0,113218367.2,274623.5197,99304952.7,107467929.4,11905217.85,4408635.946,9878203.482,1320586.223,314965.2328,97902237.36,4496189.77,4198395.6389999995,9825491.871,168768824.5,2272914.696,4626811.258,49527041.12,77281233.45,44198399.49
324.05888999999996,5.42,Cytidine 5'-monophosphate (CMP),2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate,0.9987100000000169,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",1406282.175,1344147.074,1352091.142,1214114.0829999999,1221980.062,1416858.225,1409700.165,2588108.801,2112692.99,1315081.372,1111154.447,1323590.744,1767693.5280000002,10601.6415,2374383.437,1157926.075,1043638.7440000001,1366051.5,849512.5822,752791.5863,602103.4342,1367709.718,1381421.881,1434762.81
112.0505,3.58,Cytosine,Cytosine,0.0007599999999996498,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",43505629.15,9534310.718,52991060.29,39110655.41,33942433.39,46437655.81,13776858.69,68661806.33,56776016.0,35944618.22,10590108.59,11373079.27,28957178.86,2821628.945,27025260.03,79875363.91,62936408.76,73550223.52,46899794.83,7268722.281,7163895.328,114744889.6,117734383.7,126826073.2
146.11732,5.22,Deoxycarnitine,4 Guanidinobutanoate C5H11N3O2,0.024190000000004375,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",2949645.135,2751503.909,2797635.818,6153442.757999999,6821604.316000001,5227486.157,43260.06379,54004.50005,56053.42404,50161.52682,23017.80641,28254.029239999996,74501.98197000001,10059.55954,77188.68035,34565.28368,63802.01059,38432.0553,29060.93938,30471.013730000002,23118.403290000002,29298.89963,37006.45974,33801.2003
87.04394,5.15,Diacetyl,Butyrate (n-C4:0),0.0012100000000003774,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",660899.0975,1290582.956,757353.3137,12055824.11,12399205.91,10409784.37,375125.9144,252537.9347,311339.0355,2024319.1719999998,1600405.0769999998,1698985.9219999998,1447455.1509999998,10026.64173,1388933.7380000001,1495753.858,807970.6969,1492746.554,889306.0552,1231184.528,1231013.121,553952.5568,525921.1765,419247.916
191.10254,6.09,Diaminopimelic acid,"Meso-2,6-Diaminoheptanedioate",0.0008200000000044838,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",6854180.801,4680051.296,3943212.6360000004,6267960.75,4472197.092,5562511.176,3458757.587,2622536.201,5467182.131,1820027.815,3960813.037,3579121.43,1273820.737,16164.04797,655715.5506,241315.5005,265737.6342,246526.0362,363181.7092,145171.7007,196438.7994,2659226.386,2949310.722,2598392.295
106.08622,4.65,Diethanolamine,M-Xylene,0.007970000000000255,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",14552174.7,15760930.17,12519138.71,14891091.28,9037172.076,2470211.558,3544536.789,4344722.795,3875174.805,2515533.26,2918357.539,2781292.084,2493101.249,90954.76636000001,2887821.441,2790203.78,2939154.6739999996,3158275.075,3238496.3430000003,3015369.395,3125924.9439999997,2680259.139,1932524.908,2912014.103
162.07547,5.11,DL-alpha-Aminoadipic acid,O Acetyl L homoserine C6H11NO4,0.0013400000000274304,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",1396319.09,1443844.955,1827155.333,3502223.475,2711258.559,321725.1827,300393166.9,247872505.6,301933845.9,207173380.9,247294929.4,246431327.2,3605778.023,825013.7718,3250688.982,70816928.95,70082199.44,69838110.26,23049283.52,28706320.52,22925705.53,230112680.1,246816670.5,214254933.7
175.1187,7.13,DL-Arginine,D-Arginine,0.00025000000002251,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",55522604.07,44919962.4,48286117.93,115924291.9,145542549.2,96571544.27,91101499.17,33900958.72,76325043.19,216847466.5,268960902.7,272984037.7,63486280.66,464193.4606,49910529.99,143143813.7,137633293.0,144443108.1,79866318.31,66946259.95,35631457.54,244784454.3,295173926.0,246437950.9
134.04446000000002,5.18,DL-Aspartic acid,L-Aspartate,0.0010499999999922238,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",46044506.01,39565690.02,35984595.13,33981980.82,29937870.84,28175428.31,120246453.4,55680824.15,112482866.2,64727075.8,197653216.1,180946347.5,29657480.5,675010.7614,29523503.82,39585460.15,43455868.02,34398647.0,87512810.79,76938924.61,69097266.81,128912393.0,167657681.5,118026381.4
162.11223999999999,4.53,DL-Carnitine,Tryptamine cytosol,0.003080000000011296,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",11045067.16,10614450.29,11448978.91,11874034.82,11589860.04,10428871.84,19861.2299,19603.98156,19114.30855,27656.831960000003,24755.61305,29073.64595,20309.93792,15776.000740000001,20703.66351,24398.27872,25165.71598,22511.923319999998,19691.37571,18619.47574,18392.30196,22447.27421,24934.490530000003,24064.6959
148.05999,5.02,DL-Glutamic acid,O-Acetyl-L-serine,0.0011700000000303135,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",1409678023.0,2384567668.0,1400776642.0,1329766907.0,1236472000.0,2203555556.0,1127088048.0,1942557974.0,1233436436.0,1866862547.0,1450297614.0,1462118928.0,1352325740.0,8275175.348999999,1295102020.0,2169566542.0,2297702618.0,1324567327.0,1195515989.0,1815040582.0,1502197946.0,1344362091.0,1423856368.0,1310359980.0
147.07603999999998,5.19,DL-Glutamine,L-Glutamine,0.0011000000000365162,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",953781637.0,1002438317.0,1024366092.0,339790324.4,254769969.5,281023891.0,783792023.8,849009548.0,874723900.1,20654590.85,42197995.64,25614340.89,603593858.9,3139180.4839999997,553399850.4,422644153.6,408343062.2,392189065.4,540968446.7,489864686.6,423317927.1,440571444.6,507637893.0,454506323.8
120.06538,4.77,DL-Homoserine,L-Homoserine,0.0008599999999745478,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",6420674.847999999,6227955.509,6911789.455,5476439.781,2964297.692,5230225.947,9597939.991,6350685.602000001,13743412.25,4508898.826,15618369.72,11945411.78,1895831.696,1519936.189,1496829.78,2406403.707,2486768.69,2927508.002,3558229.962,8989377.957,9816482.577,13351678.98,15687077.52,9153169.33
166.08614,4.14,DL-Phenylalanine,L-Phenylalanine,0.0008400000000108321,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",34075519.68,29169773.58,30140682.07,14586920.35,11101398.14,10231186.26,28803840.09,23123240.48,30267186.5,20389012.61,22225653.93,20653094.24,4394673.638,61438.29806,5261312.775,48626910.66,47801975.46,35037802.25,12500486.25,11906646.68,7910095.21,47207442.09,67317487.1,47020373.02
116.07043999999999,4.61,DL-Proline,D-Proline,0.0008900000000124919,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",144807530.2,138119465.6,160160706.6,152621144.4,165633544.4,114799076.0,196649024.4,156766848.0,174762410.9,501170481.8,452337306.1,492291227.1,112660547.9,861564.0015,110693534.7,385583851.4,399264951.2,359777288.9,167461775.3,172927326.1,140918877.8,363586313.2,412916345.3,331643789.7
106.04975,5.24,DL-Serine,D-Serine,0.0008399999999824104,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",7964111.492000001,7267034.107999999,7559204.397000001,8309397.655,10923032.5,8574956.208999999,4889031.88,4234697.539,3802405.772,11571532.06,23104077.16,19314919.72,4665936.671,11674.32769,4583775.005,7532643.946,7305667.634,6757244.664,4490796.908,3964388.37,2734177.5810000002,16012879.04,17743289.37,13711930.3
120.06533,5.0,DL-Threonine,L-Homoserine,0.0009099999999762076,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",33936918.77,12571814.64,16049874.43,23351047.03,13813107.14,21516888.0,48003696.42,24119884.52,51164902.34,29273260.65,64197149.37,50877127.85,8586578.885,869996.4539,3467430.7460000003,10819157.28,13581462.52,11656547.66,28723853.92,28527803.35,20313269.75,59212335.66,84803243.46,55594403.81
118.08615,4.5,DL-Valine/DL-Norvaline,Glycine betaine,0.0008299999999934471,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",137263096.4,119642795.6,127445604.3,86690050.3,196468451.8,169520820.1,80709681.13,54356822.42,72253482.17,79430529.69,106869085.0,102909755.2,50660373.41,25406385.39,47203659.51,72414475.14,72558273.66,54366830.73,54849929.28,53300569.14,44437005.39,112881458.9,132566562.8,109099201.7
161.09156000000002,4.95,Ethyl 3-Ureidopropionic acid,D-Alanyl-D-alanine,0.0012299999999925149,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",111963495.6,110396508.9,113268685.1,111567985.0,128389634.5,109371450.8,7453807.416,135337183.9,166980505.8,139774066.6,173798959.1,163852005.5,64535629.75,1317666.002,62722116.09,80286313.07,85585455.15,74927534.54,89848896.16,84143846.46,66624151.9,156698981.5,194825565.9,176011938.3
786.16029,4.93,Flavin adenine dinucleotide (FAD),"Phosphatidylserine (dioctadec-11-enoyl, n-C18:1)",0.6385099999999966,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",561977.9687,138544.5349,476531.5309,806465.6321,436504.179,270025.0428,1430468.4019999998,557722.7127,797011.7757,1647146.705,250700.6489,1607561.966,338887.6384,7127.97512,221305.2674,2036814.229,1824518.554,1158148.7859999998,1810843.879,1179817.3,913937.7572,500418.4559,639005.5213,415131.5265
173.02049,5.21,Glycerophosphoric acid,Shikimate,0.025059999999996307,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",3705218.805,4197503.478999999,4720651.562,3968635.3710000003,4574854.677,5238012.2530000005,3675097.091,4419109.656,3467544.537,6930057.75,2546752.723,4667994.41,15744571.71,10406.097679999999,14436974.02,5906561.995,5344438.315,5367859.299,2383746.364,2308464.514,1600751.989,1935673.0219999999,2652699.88,2234730.466
152.05653,3.86,Guanine,Guanine,0.0008800000000235286,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",2439456.413,1404300.697,1295116.855,920507.7883,1239373.05,1496353.561,2778435.4680000003,1581514.09,2556515.181,594498.7843,453778.7941,486669.4135,388330.3976,13552.244419999999,430938.3694,1191330.258,911274.4489,991914.7763,1006795.905,749839.6084,900450.4414,766689.9714,797981.4354,921856.6942
112.08685,5.92,Histamine,Cytosine,0.03558999999999912,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",19155309.83,18060443.31,19882096.96,34632919.54,33951182.46,30523790.97,26816172.83,16311706.85,25684241.91,43035172.32,81208176.65,71686446.13,27578197.02,955521.4035,29844768.86,49510022.62,50405745.01,49292262.15,58143521.71,64098857.38,52600264.49,78286806.84,74421219.16,70471454.0
118.03205,3.53,Homocysteine thiolactone,L-2-Amino-3-oxobutanoate,0.018539999999987344,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",1853965.134,2052664.468,1045251.729,7409792.539,11401033.97,11165811.11,1152392.738,925771.3949,881824.5652,15062112.73,12806336.25,13301126.5,4271011.632,33674.792239999995,4167025.106,1485161.378,786671.4418,857769.0254,170893.2284,1365950.11,1346007.688,910319.1225,610630.3505,923767.0522
137.04574,3.18,Hypoxanthine,Hypoxanthine,0.0007700000000170348,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",18453823.53,16004740.96,13141237.78,16226733.5,15341243.97,15199853.66,58009398.21,34479513.31,59992496.54,20159419.1,27956600.09,23182659.87,2020207.8480000002,22915.85707,2212067.502,17624155.85,18738449.91,20744946.39,16164934.1,16269335.68,14646878.69,47949447.57,56874430.13,51046146.07
269.08777000000003,3.73,Inosine,Inosine,0.0009999999999763531,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",429339.4164,265460.7554,214934.6993,478404.8623,561235.255,563320.4098,2873227.758,730152.5863,2253777.921,1009997.877,464411.6092,756567.2751,32635.7161,14278.584159999999,68142.88501,498201.9963,160822.7138,493042.4099,311236.4388,352574.8961,319493.6372,2024931.4430000002,2439024.616,2169151.809
349.05408,5.31,Inosine-5'-monophosphate (IMP),Arbutin 6-phosphate,0.9873000000000047,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",1251885.933,1380436.572,1928088.7130000002,406677.1096,391417.7212,450323.6779,397755.9095,933936.0103,689724.3329,207494.8355,223247.2637,293360.043,2716748.373,7914.846140000001,2851682.555,369260.9736,515669.17100000003,503575.4462,552069.5624,394693.5702,281909.5952,558428.1474,723625.8005,585831.1496
131.03365,5.11,Itaconic acid,4-Hydroxy-2-oxopentanoate,0.0013300000000242562,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",2458771.762,3098459.189,2351116.762,2513065.255,2456098.374,2466846.595,2150306.837,2054011.935,2132976.313,2221708.212,1680515.009,1618849.991,2748682.034,10632.078370000001,2532666.671,2819183.3030000003,3064940.2339999997,2584356.1859999998,2220415.776,2131192.99,1773040.119,1554670.6069999998,1559335.5259999998,1343579.0159999998
170.01131999999998,4.76,L-Cysteic acid,Gallic acid,0.010930000000030304,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",1110514.3190000001,834255.5083,799519.2221,230832.80899999998,388125.3412,367160.6309,599233.2219,798904.8065,552291.4983,1311059.295,717576.3119,1009201.5809999999,452737.2205,13280.1697,441785.5055,490377.4254,262163.3317,523533.1344,6393442.157000001,5963807.252,4392293.26,1218827.897,841436.8154,1107310.5459999999
156.07651,5.36,DL-Histidine,4-Imidazolone-5-propanoate,0.023020000000030905,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",1558677.799,2183339.42,2505796.221,3445113.8219999997,7760933.786,2395786.562,8464360.977,1911865.476,3657177.035,16138025.93,39585215.63,20110599.78,1543191.646,963516.2355,1772297.697,17906247.62,11310356.17,9481098.392,2564923.12,3059593.008,1230538.4640000002,22660237.97,12547037.94,19832121.76
217.11811,4.43,DL-Tyrosine,L-alanine-L-glutamate,0.03511000000000308,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",496202.4736,500936.9929,558858.3238,549936.5591,514689.5668,529301.129,700012.3797,760093.3468,928341.7103,540948.2719,877660.7451,799168.2371,401777.723,23058.20367,294421.9378,1251166.36,1523851.575,1123896.884,1001247.349,962917.7866,783220.8575,1137545.25,1375589.937,1235178.48
244.19055,0.85,Methyl Dehydrojasmonate,Leucylleucine,0.01186000000001286,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",631033.7933,2055729.929,486101.3595,335392.0598,894754.6261,285295.1236,270275.1425,591505.5463,185169.1414,153670.3423,437164.6375,462637.0364,4735034.244,7789.753487999999,688333.7793,701982.6882,762549.3371,364938.3623,439279.8463,543228.1327,493178.164,951552.6149,1563616.2119999998,348030.2947
189.15956,7.13,"N6,N6,N6-Trimethyl-L-lysine","7,8-Diaminononanoate",0.00019000000000346517,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",10022251.44,8537253.995,9259570.875,14081250.82,15021763.35,12510626.86,6219509.192000001,4210086.26,7447068.391,10572312.72,8170220.495,8366951.372,8507583.277999999,15439.981819999999,6760928.012999999,7685007.035,7585188.9,8178417.499,2465465.818,2025518.361,1321142.246,5571055.272000001,8501136.471,5836986.003
