,reaction_name,reaction_string,WT-LN-G-R1 trans,WT-LN-G-R2 trans,WT-LN-G-R3 trans,EVOL33-LN-G-R1 trans,EVOL33-LN-G-R2 trans,EVOL33-LN-G-R3 trans,EVOL40-LN-G-R1 trans,EVOL40-LN-G-R2 trans,EVOL40-LN-G-R3 trans,WT-P-R1 trans,WT-P-R2 trans,WT-P-R3 trans,PVHG-P-R1 trans,PVHG-P-R2 trans,PVHG-P-R3 trans
2AGPEAT181,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1),2agpe181_c + atp_c + ocdcea_c --> amp_c + pe181_c + ppi_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPG120tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm),2agpg120_p --> 2agpg120_c,,,,,,,,,,,,,,,
2AGPG140tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm),2agpg140_p --> 2agpg140_c,,,,,,,,,,,,,,,
2AGPG141tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm),2agpg141_p --> 2agpg141_c,,,,,,,,,,,,,,,
2AGPG160tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm),2agpg160_p --> 2agpg160_c,,,,,,,,,,,,,,,
2AGPG161tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm),2agpg161_p --> 2agpg161_c,,,,,,,,,,,,,,,
2AGPG180tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm),2agpg180_p --> 2agpg180_c,,,,,,,,,,,,,,,
2AGPG181tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm),2agpg181_p --> 2agpg181_c,,,,,,,,,,,,,,,
2AGPGAT120,2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0),2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT140,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0),2agpg140_c + atp_c + ttdca_c --> amp_c + pg140_c + ppi_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT141,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1),2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT160,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0),2agpg160_c + atp_c + hdca_c --> amp_c + pg160_c + ppi_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT161,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1),2agpg161_c + atp_c + hdcea_c --> amp_c + pg161_c + ppi_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT180,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0),2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT181,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1),2agpg181_c + atp_c + ocdcea_c --> amp_c + pg181_c + ppi_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2DHGLCK,2DHGLCK,2dhglcn_c + atp_c + 2.0 h_c --> 6p2dhglcn_c + adp_c,6.66604,6.753610000000001,4.87588,8.50765,9.99085,7.090739999999999,7.894080000000001,7.121110000000001,6.8162,18.98852,16.69831,20.72404,9.65901,10.94004,14.84651
2DHGLCNkt_tpp,2DHGLCNkt tpp,2dhglcn_p + h_p --> 2dhglcn_c + h_c,22.11332,25.92515,24.20524,24.4595,26.88713,26.6335,23.68223,26.72728,22.76612,19.51598,36.69235,59.10643,7.85818,5.009930000000001,8.15404
2HH24DDH,2hh24dd hydratase,2hh24dd_c + h2o_c --> 4h2kpi_c,6.40966,7.18933,9.75175,7.12516,5.068890000000001,6.5719,5.7849699999999995,6.751180000000001,5.65745,2.90102,2.19715,2.82043,0.8185600000000001,0.7157,1.30772
2HH24DDH1,2hh24dd hydratase,2hh24dd_c + h2o_c --> 24dhhed_c,6.40966,7.18933,9.75175,7.12516,5.068890000000001,6.5719,5.7849699999999995,6.751180000000001,5.65745,2.90102,2.19715,2.82043,0.8185600000000001,0.7157,1.30772
2HXMPt6,2  hydroxymethyl phenol transport inout via proton symport,2hxmp_e + h_e <=> 2hxmp_c + h_c,,,,,,,,,,,,,,,
2PGLYCt6,2 Phosphoglycolate transport inout via proton symport,2pglyc_e + h_e <=> 2pglyc_c + h_c,,,,,,,,,,,,,,,
3_4DHBZ1t_pp,"3,4DHBZ1t LPAREN pp RPAREN ",34dhbz_p + h_p <=> 34dhbz_c + h_c,3.5253099999999997,2.39644,1.74138,2.23326,3.67311,4.32362,2.35014,4.99402,1.9767,1.23074,2.0872900000000003,5.15035,1.9645400000000002,1.43141,1.2308
34DHCINMtex,34DHCINMtex,34dhcinm_e <=> 34dhcinm_p,,,,,,,,,,,,,,,
34DHCINMtpp,34DHCINMtpp,34dhcinm_p <=> 34dhcinm_c,,,,,,,,,,,,,,,
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,34hpp_c + o2_c --> co2_c + hgentis_c,1123.16416,1130.90296,825.2420900000001,727.72327,581.52612,686.2448700000001,670.09248,570.1511099999999,879.97181,22.153270000000003,25.26718,19.375130000000002,10.31385,11.75799,6.615539999999999
3AMACHYD,3-aminoacrylate hydrolase,3amac_c + h2o_c + h_c --> msa_c + nh4_c,242.15683,268.61941,226.55410999999998,226.62257000000002,228.98141999999999,243.16036,255.08107,246.46435,282.87243,263.28987,245.53112,223.3046,162.07487,192.11536999999998,188.38918999999999
3HAD100,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0),3hdecACP_c --> h2o_c + tdec2eACP_c,,,,,,,,,,,,,,,
3HAD120,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0),3hddecACP_c --> h2o_c + tddec2eACP_c,,,,,,,,,,,,,,,
3HAD121,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1),3hcddec5eACP_c --> h2o_c + t3c5ddeceACP_c,,,,,,,,,,,,,,,
3HAD140,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),3hmrsACP_c --> h2o_c + tmrs2eACP_c,,,,,,,,,,,,,,,
3HAD141,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1),3hcmrs7eACP_c --> h2o_c + t3c7mrseACP_c,,,,,,,,,,,,,,,
3HAD160,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),3hpalmACP_c --> h2o_c + tpalm2eACP_c,,,,,,,,,,,,,,,
3HAD161,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1),3hcpalm9eACP_c --> h2o_c + t3c9palmeACP_c,,,,,,,,,,,,,,,
3HAD180,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0),3hoctaACP_c --> h2o_c + toctd2eACP_c,,,,,,,,,,,,,,,
3HAD181,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1),3hcvac11eACP_c --> h2o_c + t3c11vaceACP_c,,,,,,,,,,,,,,,
3HAD40,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),3haACP_c --> but2eACP_c + h2o_c,,,,,,,,,,,,,,,
3HAD60,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0),3hhexACP_c --> h2o_c + thex2eACP_c,,,,,,,,,,,,,,,
3HAD80,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),3hoctACP_c --> h2o_c + toct2eACP_c,,,,,,,,,,,,,,,
3HBCOAHL,3-hydroxyisobutyryl-CoA hydrolase,3hibutcoa_c + h2o_c --> 3hmp_c + coa_c + h_c,11.280999999999999,10.67506,11.66728,10.63457,11.2397,10.72257,14.16113,14.70463,11.24673,80.17375000000001,88.65486999999999,82.28302,257.35523,249.37167,256.31391
3HCINNMH,3-hydroxycinnamate hydroxylase,3hcinnm_c + h_c + nadh_c + o2_c --> dhcinnm_c + h2o_c + nad_c,1.66651,2.1785799999999997,0.87069,1.5951799999999998,1.61617,1.03767,1.38598,1.57219,1.5677299999999998,0.43955,0.769,1.47153,0.8185600000000001,1.12468,1.1538700000000002
3HOXPACt2pp,HPA permease,3hoxpac_p + h_p --> 3hoxpac_c + h_c,12.11425,14.81437,16.194879999999998,11.80437,11.607009999999999,9.16607,14.70347,11.745199999999999,11.04225,48.174580000000006,43.61336,43.90063,37.65375,46.21402,44.46262
3hoxpactex,3 hydroxyphenylacetic acid transport via diffusion extracellular to periplasm ,3hoxpac_e <=> 3hoxpac_p,9.99906,10.67506,10.62245,8.08227,11.2397,11.93319,9.58136,11.83769,10.974089999999999,5.3625,5.60272,7.23502,6.5484800000000005,7.668260000000001,5.61552
3HPAOX,HPA monooxygenase,3hoxpac_c + nadh_c + o2_c --> 34dhpha_c + h2o_c + nad_c,0.7691600000000001,0.87144,0.34828000000000003,1.27614,1.1754,2.07534,1.32572,1.4797200000000001,1.22692,0.17582,0.43942,0.4905,0.9822799999999999,0.61346,0.3077
3HPPPNH,3-(3-hydroxy-phenyl)propionate hydroxylase,3hpppn_c + h_c + nadh_c + o2_c --> dhpppn_c + h2o_c + nad_c,1.66651,2.1785799999999997,0.87069,1.5951799999999998,1.61617,1.03767,1.38598,1.57219,1.5677299999999998,0.43955,0.769,1.47153,0.8185600000000001,1.12468,1.1538700000000002
3MBt2pp,H+/Isovalerate symport (periplasm),3mb_p + h_p --> 3mb_c + h_c,216.7105,129.62575,118.93656000000001,88.69227,35.70259,71.42619,78.03685,78.79460999999999,71.50197,528.2500200000001,1157.3469300000002,1903.05546,176.31781,116.86421999999999,118.00286000000001
3MBt4pp,Na+/Isovalerate symport (periplasm),3mb_p + na1_p --> 3mb_c + na1_c,216.7105,129.62575,118.93656000000001,88.69227,35.70259,71.42619,78.03685,78.79460999999999,71.50197,528.2500200000001,1157.3469300000002,1903.05546,176.31781,116.86421999999999,118.00286000000001
3MBtex,3-methylbutanoic acid transport via diffusion (extracellular to periplasm),3mb_e <=> 3mb_p,,,,,,,,,,,,,,,
3MBZALDH,3MBZALDH,3mbzalc_c + nad_c --> 3mbzald_c + h_c + nadh_c,0.38458000000000003,1.7428700000000001,0.0,0.63807,0.7346199999999999,0.17294,0.48208,0.46241000000000004,0.5453,0.43955,0.43943000000000004,0.7357600000000001,0.0,0.10224,0.07692
3MBZDH,3MBZDH,3mbzald_c + h2o_c + nad_c --> 2.0 h_c + m_tol_c + nadh_c,2.94844,2.83216,1.9155200000000001,4.78555,3.59964,2.94006,4.64003,3.79176,4.1578800000000005,22.94446,15.48988,15.2058,7.53075,8.38396,11.61567
3MCAT23DOX,3MCAT23DOX,3mcat_c + o2_c --> cchoxod_c + h_c,6.21737,8.27862,5.22415,10.84726,9.25623,10.72258,9.28006,12.48506,8.92923,2.37356,2.0872900000000003,3.31094,3.11053,2.76057,3.46162
3OADPCOAT,3OADPCOAT,3oxoadp_c + succoa_c --> oxadpcoa_c + succ_c,5.5123,6.31789,3.83105,7.01881,6.538130000000001,8.1284,5.36315,4.99402,4.29421,3.95594,2.96615,4.04671,3.2742400000000003,1.63589,3.00007
3OAR100,3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0),3odecACP_c + h_c + nadph_c <=> 3hdecACP_c + nadp_c,165.30506,176.68314999999998,152.37114000000003,144.31104,137.52109000000002,141.64176999999998,217.96084,227.69051,206.66726,185.05014,167.31270999999998,151.19965000000002,52.551550000000006,52.85984,54.53977999999999
3OAR120,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),3oddecACP_c + h_c + nadph_c <=> 3hddecACP_c + nadp_c,165.30506,176.68314999999998,152.37114000000003,144.31104,137.52109000000002,141.64176999999998,217.96084,227.69051,206.66726,185.05014,167.31270999999998,151.19965000000002,52.551550000000006,52.85984,54.53977999999999
3OAR121,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1),3ocddec5eACP_c + h_c + nadph_c --> 3hcddec5eACP_c + nadp_c,165.30506,176.68314999999998,152.37114000000003,144.31104,137.52109000000002,141.64176999999998,217.96084,227.69051,206.66726,185.05014,167.31270999999998,151.19965000000002,52.551550000000006,52.85984,54.53977999999999
3OAR140,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),3omrsACP_c + h_c + nadph_c <=> 3hmrsACP_c + nadp_c,165.30506,176.68314999999998,152.37114000000003,144.31104,137.52109000000002,141.64176999999998,217.96084,227.69051,206.66726,185.05014,167.31270999999998,151.19965000000002,52.551550000000006,52.85984,54.53977999999999
3OAR141,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1),3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,165.30506,176.68314999999998,152.37114000000003,144.31104,137.52109000000002,141.64176999999998,217.96084,227.69051,206.66726,185.05014,167.31270999999998,151.19965000000002,52.551550000000006,52.85984,54.53977999999999
3OAR160,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),3opalmACP_c + h_c + nadph_c <=> 3hpalmACP_c + nadp_c,165.30506,176.68314999999998,152.37114000000003,144.31104,137.52109000000002,141.64176999999998,217.96084,227.69051,206.66726,185.05014,167.31270999999998,151.19965000000002,52.551550000000006,52.85984,54.53977999999999
3OAR161,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1),3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,165.30506,176.68314999999998,152.37114000000003,144.31104,137.52109000000002,141.64176999999998,217.96084,227.69051,206.66726,185.05014,167.31270999999998,151.19965000000002,52.551550000000006,52.85984,54.53977999999999
3OAR180,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0),3ooctdACP_c + h_c + nadph_c <=> 3hoctaACP_c + nadp_c,165.30506,176.68314999999998,152.37114000000003,144.31104,137.52109000000002,141.64176999999998,217.96084,227.69051,206.66726,185.05014,167.31270999999998,151.19965000000002,52.551550000000006,52.85984,54.53977999999999
3OAR181,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1),3ocvac11eACP_c + h_c + nadph_c --> 3hcvac11eACP_c + nadp_c,165.30506,176.68314999999998,152.37114000000003,144.31104,137.52109000000002,141.64176999999998,217.96084,227.69051,206.66726,185.05014,167.31270999999998,151.19965000000002,52.551550000000006,52.85984,54.53977999999999
3OAR40,3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0),actACP_c + h_c + nadph_c <=> 3haACP_c + nadp_c,165.30506,176.68314999999998,152.37114000000003,144.31104,137.52109000000002,141.64176999999998,217.96084,227.69051,206.66726,185.05014,167.31270999999998,151.19965000000002,52.551550000000006,52.85984,54.53977999999999
3OAR60,3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0),3ohexACP_c + h_c + nadph_c <=> 3hhexACP_c + nadp_c,165.30506,176.68314999999998,152.37114000000003,144.31104,137.52109000000002,141.64176999999998,217.96084,227.69051,206.66726,185.05014,167.31270999999998,151.19965000000002,52.551550000000006,52.85984,54.53977999999999
3OAR80,3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0),3ooctACP_c + h_c + nadph_c <=> 3hoctACP_c + nadp_c,165.30506,176.68314999999998,152.37114000000003,144.31104,137.52109000000002,141.64176999999998,217.96084,227.69051,206.66726,185.05014,167.31270999999998,151.19965000000002,52.551550000000006,52.85984,54.53977999999999
3OAS100,3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0),h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c,15.31908,16.33938,16.36901,25.52296,20.34901,18.50509,13.618789999999999,14.982070000000002,15.6091,19.95553,16.918029999999998,12.63063,2.45568,0.61346,1.07695
3OAS120,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0),dcaACP_c + h_c + malACP_c --> 3oddecACP_c + ACP_c + co2_c,15.31908,16.33938,16.36901,25.52296,20.34901,18.50509,13.618789999999999,14.982070000000002,15.6091,19.95553,16.918029999999998,12.63063,2.45568,0.61346,1.07695
3OAS121,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1),cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c,15.31908,16.33938,16.36901,25.52296,20.34901,18.50509,13.618789999999999,14.982070000000002,15.6091,19.95553,16.918029999999998,12.63063,2.45568,0.61346,1.07695
3OAS140,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0),ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,15.31908,16.33938,16.36901,25.52296,20.34901,18.50509,13.618789999999999,14.982070000000002,15.6091,19.95553,16.918029999999998,12.63063,2.45568,0.61346,1.07695
3OAS141,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1),cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c,15.31908,16.33938,16.36901,25.52296,20.34901,18.50509,13.618789999999999,14.982070000000002,15.6091,19.95553,16.918029999999998,12.63063,2.45568,0.61346,1.07695
3OAS160,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0),h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c,15.31908,16.33938,16.36901,25.52296,20.34901,18.50509,13.618789999999999,14.982070000000002,15.6091,19.95553,16.918029999999998,12.63063,2.45568,0.61346,1.07695
3OAS161,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1),h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,15.31908,16.33938,16.36901,25.52296,20.34901,18.50509,13.618789999999999,14.982070000000002,15.6091,19.95553,16.918029999999998,12.63063,2.45568,0.61346,1.07695
3OAS180,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0),h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c,15.31908,16.33938,16.36901,25.52296,20.34901,18.50509,13.618789999999999,14.982070000000002,15.6091,19.95553,16.918029999999998,12.63063,2.45568,0.61346,1.07695
3OAS181,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1),h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + ACP_c + co2_c,15.31908,16.33938,16.36901,25.52296,20.34901,18.50509,13.618789999999999,14.982070000000002,15.6091,19.95553,16.918029999999998,12.63063,2.45568,0.61346,1.07695
3OAS60,3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0),butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c,15.31908,16.33938,16.36901,25.52296,20.34901,18.50509,13.618789999999999,14.982070000000002,15.6091,19.95553,16.918029999999998,12.63063,2.45568,0.61346,1.07695
3OAS80,3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0),h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c,15.31908,16.33938,16.36901,25.52296,20.34901,18.50509,13.618789999999999,14.982070000000002,15.6091,19.95553,16.918029999999998,12.63063,2.45568,0.61346,1.07695
3OXCOAT,3-oxoadipyl-CoA thiolase,coa_c + oxadpcoa_c --> accoa_c + succoa_c,35.18902,23.96443,25.598349999999996,27.11814,26.88713,29.40061,25.97211,32.92357,31.49086,388.2097,376.26133999999996,457.27777000000003,204.47626999999997,200.49933,228.77478000000002
3OXOADPt_pp,3OXOADPt LPAREN pp RPAREN ,3oxoadp_p + h_p <=> 3oxoadp_c + h_c,211.07,232.67277,254.93867999999998,175.25763,157.6497,193.69815,169.39118,194.11958,171.15486,198.32452,221.9118,192.77036,118.52748000000001,127.29305,152.08061
3PEPTabcpp,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),LalaDgluMdap_p + atp_c + h2o_c --> LalaDgluMdap_c + adp_c + h_c + pi_c,17.882939999999998,12.20008,18.80696,25.09758,25.93212,23.86639,23.38092,19.60617,23.106920000000002,8.52725,10.43645,14.592669999999998,6.54848,7.361530000000001,10.30795
4ABUTD,4-Aminobutyraldehyde:NAD+ oxidoreductase,4abutn_c + h2o_c + nadp_c --> 4abut_c + 2.0 h_c + nadph_c,12113.225859999999,13425.08821,5702.51167,10375.40039,5471.4584700000005,13607.98679,5874.69837,8444.80265,12815.21136,1679.78055,4567.86763,8359.39093,608.5174400000001,306.4235,339.16207
4CMLCL_kt,4CMLCL kt,4cml_c + h_c --> 5odhf2a_c + co2_c,8.07617,4.13931,9.75175,13.186860000000001,4.9219599999999994,9.33902,17.59595,14.61215,13.42792,39.207770000000004,32.627629999999996,83.87718000000001,214.95382999999998,88.64504000000001,12.76954
4H2KPILY,4h2kpi Lyase,4h2kpi_c --> pyr_c + sucsal_c,4.16628,3.92145,3.83104,5.6363199999999996,3.52618,4.8424499999999995,3.13353,4.16169,2.8628,5.01086,6.59144,8.583929999999999,8.84045,6.9525500000000005,6.07707
4HBALDt2pp,4-hydroxybenzoaldehyde transport in via proton symport  (periplasm),4hbald_p + h_p --> 4hbald_c + h_c,,,,,,,,,,,,,,,
4HBCOAH,4-hydroxybutanoyl-CoA dehydratase,4hbutcoa_c --> h2o_c + vaccoa_c,3.33302,4.57503,1.9155200000000001,2.65864,4.2608,2.7671200000000002,2.89249,3.51431,2.18118,0.96701,1.42815,3.18831,3.2742400000000003,2.55609,2.69237
4HBHYOX,4HBHYOX,4hbz_c + h_c + nadph_c + o2_c --> 34dhbz_c + h2o_c + nadp_c,15.254979999999998,15.6858,20.722479999999997,16.05819,14.47204,17.64037,14.763729999999999,16.92419,15.540939999999999,32.614540000000005,47.23865,65.11518000000001,15.22521,15.94997,12.92339
