Pathway,Forward Reactions,Reaction,Location on map,Flux,90% Confidence Lower Bound,90% Confidence Upper Bound,SPOT WT Value,SPOT WT std Value
ED Pathway,G6PDH2r and PGL,G6P <-> 6PG + NADPH,"(50, 380)",100.0,96.96,100.0,-38.717411611765954,8.725858471652977
ED Pathway,EDD,6PG <-> KDPG,"(-300, 350)",93.38,89.08,94.98,7.834460401664686,8.725858487888178
ED Pathway,EDA,KDPG <-> Pyr + GAP,"(-300, 50)",93.38,89.08,94.98,7.834460429084472,8.725858487592678
TCA Cycle,PDH,Pyr <-> AcCoA + CO2 + NADH,"(-220, -370)",135.41,116.26,196.6,15.834644440033824,21.41862713599875
TCA Cycle,CS or reverse_CITL,OAC + AcCoA <-> Cit,"(-55, -340)",69.04,58.52,82.65,18.055509937234945,11.482407356664574
TCA Cycle,ACONT or ( ACONTa and ACONTb),Cit <-> ICit,"(145, -310)",69.04,58.52,82.65,18.055509941122267,11.509412546041732
TCA Cycle,ICDHx or ICDHyr,ICit <-> AKG + CO2 + NADPH,"(290, -310)",69.04,10.08,82.65,18.05550994869263,11.942552642850675
TCA Cycle,AKGDH or reverse_KGD2,AKG <-> SucCoA + CO2 + NADH,"(290, -195)",61.6,2.27,75.99,-1.0256741942376551e-08,8.960067192562892e-09
TCA Cycle,SUCBZT2 or OCOAT1 or SUCBZT1 or reverse_SUCOAS or BZSCT or OCOAT4 or 3OADPCOAT,SucCoA <-> Suc + ATP,"(290, -55)",59.88,0.87,74.45,18.05551019423274,13.967476217035085
TCA Cycle,reverse_FRD3 or reverse_FRD2 or reverse_ASPO5 or reverse_FRD or SUCD1 or reverse_FRDx,Suc <-> Fum + FADH2,"(160, -55)",61.6,50.51,75.99,18.055510164631585,24.665125131611482
TCA Cycle,FUM,Fum <-> Mal,"(10, -55)",63.27,22.17,77.49,22.745999706396756,12.288242019461421
TCA Cycle,MDH or MDH2 or MDH3 or MDH3_1 or DMALRED,Mal <-> OAC + NADH,"(-60, -180)",25.97,-50.27,78.9,22.745999696348967,38.460071503509454
Glyoxylate Shunt,ICL,ICit -> Glyox + Suc,"(180, -140)",0.0,0.0,60.46,4.107827428984624e-09,4.550463698716342e-09
Glyoxylate Shunt,MALS,Glyox + AcCoA -> Mal,"(90, -140)",0.0,0.0,60.46,-3.784688908943493e-09,3.1456623249829055e-09
Anaplerotic Pathways,PC or reverse_OAADC,Pyr + CO2 + ATP -> OAC,,0.0,0.0,45.19,-9.86956611151233e-09,1.4321792202607813e-08
Anaplerotic Pathways,ME1 or ME2,Mal -> Pyr + CO2 + NADH,,37.31,0.0,125.96,-3.852770080942517e-09,1.0088346429808018e-08
Anaplerotic Pathways,PPC or reverse_PEPCK_re,PEP + CO2 -> OAC,,55.51,13.63,127.98,-2.749102408924322e-07,2.389133464226637e-07
Anaplerotic Pathways,PEPCK_re,OAC + ATP -> PEP + CO2,,0.0,0.0,54.45,2.6845942638230207e-07,2.3472921345942642e-07
Acetate Formation,BUTCT or A4HBCT or ACOXT or reverse_ACS or reverse_ACACCT,AcCoA <-> Ac + ATP,,-1.89,-2.44,-1.69,-11.072530025386598,1.314804878099065
Energy Reactions,reverse_NADTRHD,NADH <-> NADPH,,21.31,-12.18,134.28,-1.9443922513077385e-07,7.765083967985365e-08
Energy Reactions,ATPM,ATP -> ATP.ext,,527.47,0.0,737.68,-7.438318684109157e-09,4.494538527499655e-09
Transport,EX_co2_e,CO2 -> CO2.ext,,264.28,165.71,299.18,201.8302818773493,16.072253188381794
Transport,reverse_EX_o2_e,O2.ext -> O2,,198.14,80.16,239.92,168.53112954851235,15.90698734615926
Transport,reverse_EX_so4_e,NH3.ext -> NH3,,39.38,35.29,50.94,1.4406560566785843e-08,8.558029403131829e-09
Transport,SO4t2,SO4.ext -> SO4,,0.64,0.57,0.83,2.665310860962269e-08,1.3897368895835151e-08
Biomass Equation,Growth or Growth_Phenol or Growth_Glucose,0.515*Ala + 0.174*Arg + 0.153*Asn + 0.439*Asp + 0.03*Cys + 0.314*Glu + 0.314*Gln + 0.399*Gly + 0.059*His + 0.155*Ile + 0.302*Leu + 0.181*Lys + 0.059*Met + 0.138*Phe + 0.147*Pro + 0.176*Ser + 0.201*Thr + 0.067*Tyr + 0.28*Val + 0.048*Trp + 9.035*AcCoA + 0.245*R5P + 0.325*MEETHF + 0.225*G6P + 0.071*F6P + 1.02*GAP + 0.43*3PG + 0.083*Pyr + 0.051*PEP + 0.087*AKG + 0.223*OAC + 33.25*ATP + 19.3*NADPH -> Biomass,,7.18,6.43,9.28,-6.749187563664277e-09,3.866904486218869e-09
