Pathway,Reaction Ids,Reaction,Location on map,13C Flux,13C Lower Bound,13C Upper Bound,FBA WT Flux,pFBA WT Flux
TCA Cycle,MDH or MDH2 or MDH3 or MDH3_1 or DMALRED,Mal <-> OAC + NADH,"(-60, -180)",171.0231,129.2999,174.5648,182.96451826601216,160.39454352943355
Glyoxylate Shunt,ICL,ICit -> Glyox + Suc,"(180, -140)",0.9714,7.109999999999999e-15,4.5567,6.766575033993718,6.766575034009074
Glyoxylate Shunt,MALS,Glyox + AcCoA -> Mal,"(90, -140)",0.9714,0.0,4.5567,0.0,0.0
Anaplerotic Reactions,PC or reverse_OAADC,Pyr + CO2 + ATP -> OAC,,1e-07,0.0,44.8577,0.0,0.0
Anaplerotic Reactions,ME1 or ME2,Mal -> Pyr + CO2 + NADH,,39.6187,37.0434,100.0,0.0,22.569974736586694
Anaplerotic Reactions,PPC or reverse_PEPCK_re,PEP + CO2 -> OAC,,48.9039,0.0,59.1635,-75.37541027083294,-52.80543553424628
Anaplerotic Reactions,PEPCK_re,OAC + ATP -> PEP + CO2,,97.7718,12.9269,100.0,75.37541027083294,52.80543553424628
Acetate Formation,BUTCT or A4HBCT or ACOXT or reverse_ACS or reverse_ACACCT,AcCoA <-> Ac + ATP,,-1.2344,-1.2951,-1.1565,-2.1388585499398913,0.0
Energy Reactions,reverse_NADTRHD,NADH <-> NADPH,,14.4316,1.1087,27.2447,0.0,0.0
Energy Reactions,ATPM,ATP -> ATP.ext,,680.0864,613.1475,787.5166,0.0,0.0
Transport,EX_co2_e,CO2 -> CO2.ext,,376.457,365.0427,386.6854,227.02633829397348,227.02633829397604
Transport,reverse_EX_o2_e,O2.ext -> O2,,433.6956,420.7564,445.9396,368.9917949549721,368.9917949549707
Transport,reverse_EX_so4_e,NH3.ext -> NH3,,25.7527,24.1274,27.0206,0.8736295794435613,0.8736295794435588
Transport,SO4t2,SO4.ext -> SO4,,0.4177,0.3913,0.4383,0.8736295794435613,0.8736295794435588
Biomass Equation,Growth or Growth_Phenol or Growth_Glucose,0.515*Ala + 0.174*Arg + 0.153*Asn + 0.439*Asp + 0.03*Cys + 0.314*Glu + 0.314*Gln + 0.399*Gly + 0.059*His + 0.155*Ile + 0.302*Leu + 0.181*Lys + 0.059*Met + 0.138*Phe + 0.147*Pro + 0.176*Ser + 0.201*Thr + 0.067*Tyr + 0.28*Val + 0.048*Trp + 9.035*AcCoA + 0.245*R5P + 0.325*MEETHF + 0.225*G6P + 0.071*F6P + 1.02*GAP + 0.43*3PG + 0.083*Pyr + 0.051*PEP + 0.087*AKG + 0.223*OAC + 33.25*ATP + 19.3*NADPH -> 39.68*Biomass + 1.455*NADH,,4.6934,4.3972,4.9245,11.300292659337275,11.300292659337275
