Pathway,Forward Reactions,Reaction,Location on map,Flux,90% Confidence Lower Bound,90% Confidence Upper Bound,SPOT WT Value,SPOT WT std Value
Pentose Phosphate Pathway,TKT2,TKC2 + E4P <-> F6P,"(10, 280)",0.15,-1.36,1.11,15.883153833644137,1.5009362703089744
Pentose Phosphate Pathway,TKT1,TKC2 + R5P <-> S7P,"(120, 230)",1.96,0.46,3.34,15.883153815255126,1.500936273776675
Pentose Phosphate Pathway,TALA,TAC3 + GAP <-> F6P,"(-70, 190)",1.96,0.46,3.34,15.883153815255133,1.5009362737766787
Pentose Phosphate Pathway,TALA,S7P <-> TAC3 + E4P,"(50, 230)",1.97,0.46,3.34,15.883153815255133,1.5009362737766787
ED Pathway,G6PDH2r and PGL,G6P <-> 6PG + NADPH,"(50, 380)",100.0,96.96,100.0,-34.34895858125327,6.838747252197596
ED Pathway,EDD,6PG <-> KDPG,"(-300, 350)",93.38,89.08,94.98,38.18501188309529,10.384712294460746
ED Pathway,EDA,KDPG <-> Pyr + GAP,"(-300, 50)",93.38,89.08,94.98,38.18501195890502,10.38471227232919
TCA Cycle,PDH,Pyr <-> AcCoA + CO2 + NADH,"(-220, -370)",135.41,116.26,196.6,13.008159224574536,20.170234160273157
TCA Cycle,CS or reverse_CITL,OAC + AcCoA <-> Cit,"(-55, -340)",69.04,58.52,82.65,35.99191064576336,18.373026069720773
TCA Cycle,ACONT or ( ACONTa and ACONTb),Cit <-> ICit,"(145, -310)",69.04,58.52,82.65,35.991910598060386,18.447884785669736
TCA Cycle,ICDHx or ICDHyr,ICit <-> AKG + CO2 + NADPH,"(290, -310)",69.04,10.08,82.65,34.21259142568022,20.120148079166473
TCA Cycle,AKGDH or reverse_KGD2,AKG <-> SucCoA + CO2 + NADH,"(290, -195)",61.6,2.27,75.99,-3.699162114409107e-08,2.1968873332132523e-08
TCA Cycle,SUCBZT2 or OCOAT1 or SUCBZT1 or reverse_SUCOAS or BZSCT or OCOAT4 or 3OADPCOAT,SucCoA <-> Suc + ATP,"(290, -55)",59.88,0.87,74.45,34.21259218021435,20.062487321503593
TCA Cycle,reverse_FRD3 or reverse_FRD2 or reverse_ASPO5 or reverse_FRD or SUCD1 or reverse_FRDx,Suc <-> Fum + FADH2,"(160, -55)",61.6,50.51,75.99,35.991911243685614,37.672399168013804
TCA Cycle,FUM,Fum <-> Mal,"(10, -55)",63.27,22.17,77.49,36.317034308747445,18.260986020502806
TCA Cycle,MDH or MDH2 or MDH3 or MDH3_1 or DMALRED,Mal <-> OAC + NADH,"(-60, -180)",25.97,-50.27,78.9,36.31703424508657,55.80310200516915
Glyoxylate Shunt,ICL,ICit -> Glyox + Suc,"(180, -140)",0.0,0.0,60.46,1.7793191712070568,2.9384207477971644
Glyoxylate Shunt,MALS,Glyox + AcCoA -> Mal,"(90, -140)",0.0,0.0,60.46,-1.0429185309546342e-08,8.001129760683922e-09
Anaplerotic Pathways,PC or reverse_OAADC,Pyr + CO2 + ATP -> OAC,,0.0,0.0,45.19,0.6377742818788721,1.562221978597699
Anaplerotic Pathways,ME1 or ME2,Mal -> Pyr + CO2 + NADH,,37.31,0.0,125.96,-1.2701085016582162e-08,3.000692612488648e-08
Anaplerotic Pathways,PPC or reverse_PEPCK_re,PEP + CO2 -> OAC,,55.51,13.63,127.98,-0.6377749772296545,1.5622217721122105
Anaplerotic Pathways,PEPCK_re,OAC + ATP -> PEP + CO2,,0.0,0.0,54.45,0.6377749583806798,1.5622217563593932
Acetate Formation,BUTCT or A4HBCT or ACOXT or reverse_ACS or reverse_ACACCT,AcCoA <-> Ac + ATP,,-1.89,-2.44,-1.69,-13.689719414823225,2.1094848949946163
Energy Reactions,reverse_NADTRHD,NADH <-> NADPH,,21.31,-12.18,134.28,-2.2817484739870343e-07,1.3074420329192227e-07
Energy Reactions,ATPM,ATP -> ATP.ext,,527.47,0.0,737.68,-2.0954878725431695e-08,1.585333215826133e-08
Transport,EX_co2_e,CO2 -> CO2.ext,,264.28,165.71,299.18,250.4295859475915,38.414962605875026
Transport,reverse_EX_o2_e,O2.ext -> O2,,198.14,80.16,239.92,214.07242158316888,37.58802334865888
Transport,reverse_EX_so4_e,NH3.ext -> NH3,,39.38,35.29,50.94,1.4415225518718329e-08,1.6837926022151928e-08
Transport,SO4t2,SO4.ext -> SO4,,0.64,0.57,0.83,2.259072311582407e-08,1.587800614190773e-08
Biomass Equation,Growth or Growth_Phenol or Growth_Glucose,0.515*Ala + 0.174*Arg + 0.153*Asn + 0.439*Asp + 0.03*Cys + 0.314*Glu + 0.314*Gln + 0.399*Gly + 0.059*His + 0.155*Ile + 0.302*Leu + 0.181*Lys + 0.059*Met + 0.138*Phe + 0.147*Pro + 0.176*Ser + 0.201*Thr + 0.067*Tyr + 0.28*Val + 0.048*Trp + 9.035*AcCoA + 0.245*R5P + 0.325*MEETHF + 0.225*G6P + 0.071*F6P + 1.02*GAP + 0.43*3PG + 0.083*Pyr + 0.051*PEP + 0.087*AKG + 0.223*OAC + 33.25*ATP + 19.3*NADPH -> Biomass,,7.18,6.43,9.28,-1.9617288481022098e-08,1.5542503785404384e-08
