Pathway,Reaction Ids,Reaction,Location on map,13C Flux,13C Lower Bound,13C Upper Bound,E-Flux2 WT Flux,E-Flux2 WT Flux Std
TCA Cycle,SUCBZT2 or OCOAT1 or SUCBZT1 or reverse_SUCOAS or BZSCT or OCOAT4 or 3OADPCOAT,SucCoA <-> Suc + ATP,"(290, -55)",59.88,0.87,74.45,29.850123982459422,4.970376725926088
TCA Cycle,reverse_FRD3 or reverse_FRD2 or reverse_ASPO5 or reverse_FRD or SUCD1 or reverse_FRDx,Suc <-> Fum + FADH2,"(160, -55)",61.6,50.51,75.99,32.826353790920905,4.971378386142412
TCA Cycle,FUM,Fum <-> Mal,"(10, -55)",63.27,22.17,77.49,42.08687569080947,4.974515811883912
TCA Cycle,MDH or MDH2 or MDH3 or MDH3_1 or DMALRED,Mal <-> OAC + NADH,"(-60, -180)",25.97,-50.27,78.9,30.666894480160085,1.4556860588644367
Glyoxylate Shunt,ICL,ICit -> Glyox + Suc,"(180, -140)",0.0,0.0,60.46,0.0,0.0
Glyoxylate Shunt,MALS,Glyox + AcCoA -> Mal,"(90, -140)",0.0,0.0,60.46,0.0,0.0
Anaplerotic Pathways,PC or reverse_OAADC,Pyr + CO2 + ATP -> OAC,,0.0,0.0,45.19,38.350896640203665,3.28748640833403
Anaplerotic Pathways,ME1 or ME2,Mal -> Pyr + CO2 + NADH,,37.31,0.0,125.96,11.419981210649382,4.026709387585531
Anaplerotic Pathways,PPC or reverse_PEPCK_re,PEP + CO2 -> OAC,,55.51,13.63,127.98,-4.094689108797917,5.790764871363416
Anaplerotic Pathways,PEPCK_re,OAC + ATP -> PEP + CO2,,0.0,0.0,54.45,4.094689108797917,5.790764871363416
Acetate Formation,BUTCT or A4HBCT or ACOXT or reverse_ACS or reverse_ACACCT,AcCoA <-> Ac + ATP,,-1.89,-2.44,-1.69,2.2797204293126976,0.16259485052287734
Energy Reactions,reverse_NADTRHD,NADH <-> NADPH,,21.31,-12.18,134.28,0.0,0.0
Energy Reactions,ATPM,ATP -> ATP.ext,,527.47,0.0,737.68,0.0,0.0
Transport,EX_co2_e,CO2 -> CO2.ext,,264.28,165.71,299.18,168.8991902545695,0.59990207296501
Transport,reverse_EX_o2_e,O2.ext -> O2,,198.14,80.16,239.92,208.50419877016722,2.0787466274289548
Transport,reverse_EX_so4_e,NH3.ext -> NH3,,39.38,35.29,50.94,0.5564654700855022,0.0007743543539209522
Transport,SO4t2,SO4.ext -> SO4,,0.64,0.57,0.83,0.5564654700855022,0.0007743543539209522
Biomass Equation,Growth or Growth_Phenol or Growth_Glucose,0.515*Ala + 0.174*Arg + 0.153*Asn + 0.439*Asp + 0.03*Cys + 0.314*Glu + 0.314*Gln + 0.399*Gly + 0.059*His + 0.155*Ile + 0.302*Leu + 0.181*Lys + 0.059*Met + 0.138*Phe + 0.147*Pro + 0.176*Ser + 0.201*Thr + 0.067*Tyr + 0.28*Val + 0.048*Trp + 9.035*AcCoA + 0.245*R5P + 0.325*MEETHF + 0.225*G6P + 0.071*F6P + 1.02*GAP + 0.43*3PG + 0.083*Pyr + 0.051*PEP + 0.087*AKG + 0.223*OAC + 33.25*ATP + 19.3*NADPH -> Biomass,,7.18,6.43,9.28,12.65760324608464,0.017613797640610197
