Pathway,Forward Reactions,Reaction,Location on map,Flux,90% Confidence Lower Bound,90% Confidence Upper Bound,E-Flux2 WT Value,E-Flux2 WT std Value,E-Flux2 PVHG Value,E-Flux2 PVHG std Value
Anaplerotic Reactions,ME1 or ME2,Mal -> Pyr + CO2 + NADH,,39.6187,37.0434,100.0,41.14223602379573,20.601400896661954,49.70445361724204,13.757377816263652
Anaplerotic Reactions,PPC or reverse_PEPCK_re,PEP + CO2 -> OAC,,48.9039,0.0,59.1635,-25.08538749372335,1.9655680351940361,-45.071339334285376,51.37338300259117
Anaplerotic Reactions,PEPCK_re,OAC + ATP -> PEP + CO2,,97.7718,12.9269,100.0,25.08538749372335,1.9655680351940361,45.071339334285376,51.37338300259117
Acetate Formation,BUTCT or A4HBCT or ACOXT or reverse_ACS or reverse_ACACCT,AcCoA <-> Ac + ATP,,-1.2344,-1.2951,-1.1565,0.0,0.0,0.0,0.0
Energy Reactions,reverse_NADTRHD,NADH <-> NADPH,,14.4316,1.1087,27.2447,0.0,0.0,0.0,0.0
Energy Reactions,ATPM,ATP -> ATP.ext,,680.0864,613.1475,787.5166,0.0,0.0,0.0,0.0
Transport,EX_co2_e,CO2 -> CO2.ext,,376.457,365.0427,386.6854,434.55959310097126,107.54205871835119,207.02188794933156,77.06399969010039
Transport,reverse_EX_o2_e,O2.ext -> O2,,433.6956,420.7564,445.9396,550.307393127727,106.94207284714984,311.42399494458726,118.33741713535088
Transport,reverse_EX_so4_e,NH3.ext -> NH3,,25.7527,24.1274,27.0206,0.28401746012779594,0.029068291896486177,0.1981649507308268,0.0730953983946295
Transport,SO4t2,SO4.ext -> SO4,,0.4177,0.3913,0.4383,0.28401746012779594,0.029068291896486177,0.1981649507308268,0.0730953983946295
Biomass Equation,Growth or Growth_Phenol or Growth_Glucose,0.515*Ala + 0.174*Arg + 0.153*Asn + 0.439*Asp + 0.03*Cys + 0.314*Glu + 0.314*Gln + 0.399*Gly + 0.059*His + 0.155*Ile + 0.302*Leu + 0.181*Lys + 0.059*Met + 0.138*Phe + 0.147*Pro + 0.176*Ser + 0.201*Thr + 0.067*Tyr + 0.28*Val + 0.048*Trp + 9.035*AcCoA + 0.245*R5P + 0.325*MEETHF + 0.225*G6P + 0.071*F6P + 1.02*GAP + 0.43*3PG + 0.083*Pyr + 0.051*PEP + 0.087*AKG + 0.223*OAC + 33.25*ATP + 19.3*NADPH -> 39.68*Biomass + 1.455*NADH,,4.6934,4.3972,4.9245,1.9427841313912264,0.19883783270776645,1.3555213172614953,0.4999994719161589
