,name,reaction,glu FBA flux,glu pFBA flux,WT-Glu-R1-T1 transcripts,WT-Glu-R2-T1 transcripts,WT-Glu-R3-T1 transcripts,WT-Glu-R1-T2 transcripts,WT-Glu-R2-T2 transcripts,WT-Glu-R3-T2 transcripts,WT-Glu-R1-T1 E-Flux2 flux,WT-Glu-R2-T1 E-Flux2 flux,WT-Glu-R3-T1 E-Flux2 flux,WT-Glu-R1-T2 E-Flux2 flux,WT-Glu-R2-T2 E-Flux2 flux,WT-Glu-R3-T2 E-Flux2 flux
PGI,Glucose-6-phosphate isomerase,g6p_c <=> f6p_c,97.90949907818786,97.90949907818786,1401.52567423005,1486.03378370502,1246.46284900926,1079.56314004131,1515.3575339413296,1278.57356855133,95.03041564027555,90.67866468421614,95.53952828373498,8.013105839072276,89.8362713546381,112.47085196735827
FBA,Fructose-bisphosphate aldolase,fdp_c <=> dhap_c + g3p_c,95.64575118393319,95.64575118393321,1630.570051884314,1419.4083573554428,1245.728663853013,1292.9863367367666,1548.5117448320395,1508.3497993704882,65.114511275259,62.1570544122196,66.0766640617482,68.40876290475501,60.82542245327859,72.7831127998972
PFK,Phosphofructokinase,atp_c + f6p_c --> adp_c + fdp_c + h_c,95.64575118393319,95.64575118393321,65.114511275259,62.1570544122196,66.0766640617482,68.40876290475501,60.8254224532786,72.7831127998972,65.114511275259,62.1570544122196,66.0766640617482,68.40876290475501,60.82542245327859,72.7831127998972
TPI,Triose-phosphate isomerase,dhap_c <=> g3p_c,89.15984604752845,89.15984604752848,530.2515040049759,708.4703744860609,577.069532805935,588.457035933654,1059.80740284643,638.4424326190519,38.75726244226095,35.78829695711925,40.05053244926603,42.268365189973224,34.87111849284831,40.80448528222769
PYK,Pyruvate kinase,adp_c + h_c + pep_c --> atp_c + pyr_c,70.42995781493825,70.4255464290695,2951.1110113741693,1787.4154670621201,2433.82379294106,2356.35805360535,2010.87719284883,1547.24626568505,88.82999089769241,106.00004230327264,66.25453569016103,44.92752168237096,49.30139815957466,32.99003684325728
ACOADH2,Acyl CoA dehydrogenase  isobutyryl CoA ,2.0 ibcoa_c + o2_c --> 2.0 2mp2coa_c + 2.0 h2o_c,62.02369164433527,68.04264475875225,2.1004681056535177,2.000763554041402,1.9272360351343192,1.821535106931344,1.7935044531295343,2.81450552203779,2.1004681056535177,2.000763554041402,1.927236035134319,1.821535106931344,1.7935044531295343,2.81450552203779
NH4t,Ammonia reversible transport,nh4_e <=> nh4_c,33.684634592061876,33.68463459206172,182.087246225652,183.80347849793705,179.416497556553,147.038361687291,188.01050967235,152.71506962576998,22.198117521178013,28.005669216426128,23.620544174195402,28.144596125411926,29.013478711524243,35.43231140598323
EX_h_e,R_EX_h_e,h_e <=> ,24.2211285419049,24.25511709002715,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,52.262425851803755,37.96248388515699,47.44626245727943,90.21090336161365,81.70922742485605,78.18002456992154
ACCOAL,Acetate-CoA ligase (ADP-forming),atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,23.700941207709477,22.774210322956662,6.6281438000622,5.2686773589757,7.34185156241647,5.161016136305482,6.7640739375170895,5.3475604918718,6.6281438000622,5.2686773589757,7.34185156241647,5.161016136305482,6.7640739375170895,5.3475604918718
MDH3,Malate dehydrogenase (menaquinone 8 as acceptor),mal__L_c + mqn8_c --> mql8_c + oaa_c,0.0,12.33782876616175,419.813558716616,468.912284948837,437.75789940908203,405.8987396612009,398.15798859475603,928.9556926037932,34.36772004641769,27.744470299831786,35.81063705785007,22.74214172651191,37.2695255819129,20.434004697416817
CYTBD2,CYTBD2,2.0 h_c + mql8_c + 0.5 o2_c --> h2o_c + 2.0 h_e + mqn8_c,12.320394261206268,12.337388535267394,39.5354774553006,27.7439212827075,42.399192772955104,37.84745166624021,39.9182848282258,20.4333100899944,39.5354774553006,27.7439212827075,42.399192772955104,37.84745166624021,39.9182848282258,20.4333100899944
ICDHyr,Isocitrate dehydrogenase (NADP),icit_c + nadp_c <=> akg_c + co2_c + nadph_c,0.0,10.471412260749615,3417.881701519404,4127.708596224349,2331.6802830789447,2775.3111281995616,4876.999794918569,3966.595212428737,146.09657573700542,253.9023202083372,148.1245640251018,139.57430938806644,170.8677129910884,243.45450643570894
PIabc,Phosphate transport via ABC system,atp_c + h2o_c + pi_e --> adp_c + h_c + 2.0 pi_c,9.765508683938414,9.765508683938467,505.27927208220706,558.4798000514237,450.33082020972074,448.7048146740881,601.3876646265192,463.8868001422684,9.653180688113098,12.178680692155528,10.271744019060861,11.726802993457149,12.616941599931298,15.408266213256864
DXPS,1-deoxy-D-xylulose 5-phosphate synthase,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,9.095076191547612,9.095076191547673,545.328197296667,470.24612731819803,594.414657122144,637.942073005289,480.351735532463,591.2713200696991,7.6594896873610745,7.141671366671675,9.566556898537229,5.571208078767003,7.0261055997320625,6.930787198264884
OHPBAT,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,glu__L_c + ohpb_c <=> akg_c + phthr_c,9.090574036421831,9.090574036421891,,,,,,,7.655039318381701,7.13605667608101,9.561821355671041,5.565801715623549,7.02028885939273,6.92368358421296
E4PD,Erythrose 4-phosphate dehydrogenase,e4p_c + h2o_c + nad_c <=> 4per_c + 2.0 h_c + nadh_c,9.090574036421831,9.090574036421891,,,,,,,7.655039318381701,7.13605667608101,9.561821355671041,5.565801715623549,7.02028885939273,6.92368358421296
PERD,Erythronate 4-phosphate (4per) dehydrogenase,4per_c + nad_c <=> h_c + nadh_c + ohpb_c,9.090574036421831,9.090574036421891,7.655039318381702,7.13605667608101,9.72795332020182,5.565801715623549,7.02028885939273,6.92368358421296,7.655039318381701,7.13605667608101,9.561821355671041,5.565801715623549,7.02028885939273,6.92368358421296
PDX5PS,Pyridoxine 5'-phosphate synthase,dxyl5p_c + nad_c + phthr_c --> co2_c + 2.0 h2o_c + h_c + nadh_c + pdx5p_c + pi_c,9.090574036421831,9.090574036421891,13.0695793240663,13.205039456673301,14.133064257651696,11.8399781950537,12.5545311719067,10.751411094184403,7.655039318381701,7.13605667608101,9.561821355671041,5.565801715623549,7.02028885939273,6.92368358421296
PDX5POi,Pyridoxine 5'-phosphate oxidase,o2_c + pdx5p_c --> h2o2_c + pydx5p_c,9.090574036421831,9.090574036421891,143.5786642886714,133.78438964690187,166.66003046685339,152.0981814287673,121.0871720784308,130.08644522858657,7.655039318381701,7.13605667608101,9.561821355671041,5.565801715623549,7.02028885939273,6.92368358421296
PGCD,Phosphoglycerate dehydrogenase,3pg_c + nad_c --> 3php_c + h_c + nadh_c,7.8833050532755085,7.887716439144311,714.0658017841664,791.6354462157151,584.0442917902303,546.7641212638922,976.896254127468,587.7813332223718,7.7974723092595495,9.83686390409389,8.297124247594184,24.32374300224165,10.191485680351038,12.445438188833306
PSP_L,Phosphoserine phosphatase (L-serine),h2o_c + pser__L_c --> pi_c + ser__L_c,7.8833050532755085,7.887716439144311,129.5288665153,128.849172880266,179.32472441202202,157.663983144391,114.63055604716499,133.35127163415,7.7974723092595495,9.83686390409389,8.297124247594184,24.32374300224165,10.191485680351038,12.445438188833306
PSERT,Phosphoserine transaminase,3php_c + glu__L_c --> akg_c + pser__L_c,7.8833050532755085,7.887716439144311,224.329993683795,280.973895105881,200.43254765397,148.353914820075,245.761353063121,270.023659784305,7.7974723092595495,9.83686390409389,8.297124247594184,24.32374300224165,10.191485680351038,12.445438188833306
GHMT2r,"Glycine hydroxymethyltransferase, reversible",ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c,7.2916667944290605,7.2960781802978625,195.7636274469079,277.3725207086066,202.0844642555137,143.0917022889405,217.7314406099251,213.39580868090496,7.212639383552554,9.099024875403188,7.674815984520556,23.613280748605312,9.427094842992204,11.511936403182311
MALS,Malate synthase,accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c,7.166937773187139,7.166937773187158,58.71975282026939,73.4947145517876,54.97211357359329,52.723321706179505,73.17498168768479,66.7037808722956,7.085468933041317,8.937972356676946,7.53949661600072,32.718262643117285,9.260879975642345,11.308175407552403
GLYO1,Glycine oxidase,gly_c + h2o_c + o2_c --> glx_c + h2o2_c + nh4_c,7.163016541303395,7.1630165413034135,717.3798736841969,628.506524442873,705.368388859162,785.1828274822391,740.3586382518698,530.6468711250051,4.783297962166579,5.621927502551538,6.124859148162629,19.229428361070635,6.870863308089131,7.572185666199553
G3PD1ir,Glycerol 3 phosphate dehydrogenase  NAD ,dhap_c + h_c + nadh_c <=> glyc3p_c + nad_c,6.475866056628294,6.475866056628295,125.3279303039931,166.9970646439892,141.05532314292617,103.72630470025717,122.06078878155839,196.17103488603396,15.31235469362953,17.926149857309625,15.159168042540841,27.47689933777821,23.309945842278466,24.38604024304194
NDPK3,Nucleoside-diphosphate kinase (ATP:CDP),atp_c + cdp_c <=> adp_c + ctp_c,6.27502461259125,6.275024612591251,264.052179415154,214.348468756302,212.54660273195702,187.31452682944,178.37682860982605,211.988555919886,6.085175904116361,7.67720160947133,6.475106103677382,7.392346765337192,7.9534726934188535,9.713069019887604
CYTK1,Cytidylate kinase (CMP),atp_c + cmp_c <=> adp_c + cdp_c,6.27502461259125,6.275024612591251,171.304843283298,151.457801040934,194.100200681385,139.246239285418,183.91107092234,131.718858431369,6.202845992786429,7.825656971873159,6.600316339399967,7.535293840830718,8.107270357088112,9.900892299089033
G3PCT,Glycerol-3-phosphate cytidylyltransferase,ctp_c + glyc3p_c + h_c --> cdpglyc_c + ppi_c,6.271502765436405,6.271502765436406,,,,,,,6.199364655762247,7.821264834878849,6.596611922803027,7.531064669662048,8.102720165048469,9.895335439709704
NDPK2,Nucleoside-diphosphate kinase (ATP:UDP),atp_c + udp_c <=> adp_c + utp_c,6.060641987684025,6.060641987684025,264.052179415154,214.348468756302,212.54660273195702,187.31452682944,178.37682860982605,211.988555919886,5.990929309119506,7.558297879784935,6.374820308799636,7.2778548389496605,7.830290104851706,9.562633979632665
TALA,Transaldolase,g3p_c + s7p_c <=> e4p_c + f6p_c,5.03634898090376,5.036348980903806,758.9224651071222,624.638381571726,761.808872745239,632.9834496586419,667.4398714860611,617.277351093328,-10.062950766054781,-10.035982566782161,-8.427000250022074,35.789783367936,-9.077813161909107,-12.892531706281732
TKT1,Transketolase,r5p_c + xu5p__D_c <=> g3p_c + s7p_c,5.03634898090376,5.036348980903806,276.9350504631626,328.9255282844065,220.0720005834342,110.91124873315297,243.0454748912386,307.7380337796119,-10.062950766054781,-10.035982566782161,-8.427000250022074,35.789783367936,-9.07781316190912,-12.892531706281732
Growth_Glucose,Glucose biomass reaction,0.000216 10fthf_c + 0.182767992209545 ala__L_c + 0.000216 amet_c + 0.105241228119441 arg__L_c + 0.0857662686755743 asn__L_c + 0.0857662686755743 asp__L_c + 52.547151 atp_c + 0.005053 ca2_c + 0.005053 cl_c + 0.000559 coa_c + 9.7e-05 cobalt2_c + 0.129616 ctp_c + 0.000688 cu2_c + 0.0325838452252242 cys__L_c + 0.025403 datp_c + 0.026229 dctp_c + 0.026229 dgtp_c + 0.025403 dttp_c + 0.000216 fad_c + 0.006519 fe2_c + 0.00758 fe3_c + 0.0936308671901935 gln__L_c + 0.0936308671901935 glu__L_c + 0.217973248113943 gly_c + 0.00223078268030533 gtca1_45_BS_c + 0.00223078268030533 gtca2_45_BS_c + 0.00223078268030533 gtca3_45_BS_c + 0.208826 gtp_c + 47.184845 h2o_c + 0.0337070975293858 his__L_c + 0.103368530150676 ile__L_c + 0.189503 k_c + 0.160296716015654 leu__L_c + 0.00011257296738925 lipo1_24_BS_c + 0.00011257296738925 lipo2_24_BS_c + 0.00011257296738925 lipo3_24_BS_c + 0.00011257296738925 lipo4_24_BS_c + 0.122094776884134 lys__L_c + 0.0546805818253624 met__L_c + 0.008422 mg2_c + 0.000216 mlthf_c + 0.000671 mn2_c + 9.7e-05 mql8_c + 0.001778 nad_c + 0.000434 nadp_c + 0.147733889286367 peptido_BS_c + 0.0659164031608568 phe__L_c + 0.078650016394266 pro__L_c + 0.000216 pydx5p_c + 0.000216 ribflv_c + 0.0767776849025982 ser__L_c + 0.004212 so4_c + 0.000216 thf_c + 0.000216 thmpp_c + 0.0902603773235135 thr__L_c + 0.0202244051084705 trp__L_c + 0.0490624879190664 tyr__L_c + 0.139904 utp_c + 0.150558686578074 val__L_c + 0.000331 zn2_c --> 52.37741576 adp_c + 52.37741576 h_c + 52.37320421 pi_c + 0.751344563 ppi_c,4.538462828408237,4.538462828408237,,,,,,,4.486259051815464,5.659970353495349,4.773732727995194,5.449962846220857,5.863649535600167,7.160901262016445
MTHFC,Methenyltetrahydrofolate cyclohydrolase,h2o_c + methf_c <=> 10fthf_c + h_c,4.089824783527284,4.0986475552657655,224.28331661478103,247.7612201087944,225.94548183336684,223.03685420425992,306.1768316413981,217.67385707440283,4.051502764310883,5.111471550678036,4.311117820174928,4.921815539907408,5.295412509184792,6.46694961725553
MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP),mlthf_c + nadp_c <=> methf_c + nadph_c,4.089824783527284,4.0986475552657655,223.72319178660675,247.09429892411393,224.84420409900437,222.73326501977138,305.56191582889653,217.27982630131754,4.051502764310883,5.111471550678036,4.311117820174916,4.921815539907408,5.295412509184792,6.46694961725553
HCO3E,HCO3 equilibration reaction,co2_c + h2o_c <=> h_c + hco3_c,0.0,3.770352171008245,inf,inf,inf,inf,inf,inf,2.484655737010161,3.1347003478162323,2.6438692622455555,9.877257204900696,3.2475053915021213,3.9659712462730785
PRPPS,Phosphoribosylpyrophosphate synthetase,atp_c + r5p_c <=> amp_c + h_c + prpp_c,3.6851761870850446,3.685176187085071,393.16095230932297,500.857809695031,270.180137496926,154.324502115017,311.04491515703603,381.9846894509689,3.6427873603732963,4.595826546087989,3.8762124616418516,4.425303025026222,4.76121155003053,5.814564051003241
ALAR,Alanine racemase,ala__L_c <=> ala__D_c,3.022743869473065,3.022743869473065,371.03602159644004,317.05433119709403,435.92243651847804,420.066234937334,342.918051438366,344.38289567654397,2.9879746862440175,3.769699419005229,3.179440238604161,3.6298285135559643,3.9053554819331606,4.769361611639295
GLYCL_2,"Glycine cleavage system, cytosol",co2_c + mlthf_c + nadh_c + nh4_c --> gly_c + nad_c + thf_c,2.8334478040642725,2.829036418195111,15.8235263959231,18.0735641048407,26.889531347350307,16.191423172723102,15.3728953125388,15.9863913651746,2.7969798755274144,3.528124578047925,2.9762067275186928,16.19142307538054,3.655720625733053,4.463725103193888
G1PACT,Glucosamine-1-phosphate N-acetyltransferase,accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,2.6278952228329824,2.627895222832982,,,,,,,2.5976677955500524,3.277279029416086,2.764122987293444,3.155678887255341,3.395214896664669,4.146359445722663
GF6PTA,Glutamine-fructose-6-phosphate transaminase,f6p_c + gln__L_c --> gam6p_c + glu__L_c,2.6278952228329824,2.627895222832982,741.8853349168213,610.6997288119042,814.7619771391685,691.5761622649336,700.4915964080193,701.2621958709356,2.5976677955500524,3.277279029416086,2.764122987293444,3.155678887255341,3.395214896664669,4.146359445722663
UAGDP,UDP-N-acetylglucosamine diphosphorylase,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c,2.6278952228329824,2.627895222832982,315.723694814231,338.595885462274,307.99067304337103,235.48401076829103,271.690303156936,267.603185035353,2.5976677955500524,3.277279029416086,2.764122987293444,3.155678887255341,3.395214896664669,4.146359445722663
ASPK,Aspartate kinase,asp__L_c + atp_c <=> 4pasp_c + adp_c,2.5609816235675065,2.5609816235675065,1023.34806107439,1192.3216939717402,878.26899315407,805.219713658484,1131.9062818622301,974.1003611772792,2.5315238715511037,3.1938302930471187,2.693740646214849,3.075326432318158,3.3087631816032603,4.04078147900959
UMPK,UMP kinase,atp_c + ump_c <=> adp_c + udp_c,2.158394152109785,2.1583941521097847,171.304843283298,151.457801040934,194.100200681385,139.246239285418,183.91107092234,131.718858431369,2.133567172055966,2.6917587240400014,2.2702833962515165,2.591883723904897,2.788624110445669,3.405568799864497
AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,10fthf_c + aicar_c <=> fprica_c + thf_c,2.124832674257243,2.124832674257271,836.126337257142,781.164783616232,820.727231533631,781.843346452865,865.545249080311,868.7252744321838,2.1003917359010664,2.6499038081020134,2.234982121139085,2.5515817925734683,2.745263009680013,3.352614652573715
GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),g1p_c + h_c + utp_c --> ppi_c + udpg_c,2.0905009218121346,2.0905009218121346,211.68050798086003,231.15488261025,213.647880466319,204.61911034528802,235.820214094346,224.766410989938,2.066454885254082,2.6070882782929496,2.1988706409343424,2.5103548898873496,2.700906721682178,3.298445146569902
NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),atp_c + gdp_c <=> adp_c + gtp_c,0.0,2.0057933327309514,264.052179415154,214.348468756302,212.54660273195702,187.31452682944,178.37682860982605,211.988555919886,1.3218144314873326,1.6676322972419464,1.4065145902568474,1.6057564780533085,1.7276435640071708,2.1098609155815238
GARFT,Phosphoribosylglycinamide formyltransferase,10fthf_c + gar_c <=> fgam_c + h_c + thf_c,1.964011801299105,1.9728345730375585,177.0461227720838,171.5321286998162,193.9166543923252,188.83247275188307,179.04298740670242,147.70524979654328,1.9501419964546245,2.4603451889796686,2.075104572766577,2.3690565553591565,2.5488829512050897,3.11278821000922
PRFGS,Phosphoribosylformylglycinamidine synthase,atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + 2.0 h_c + pi_c,1.9728345730375305,1.9728345730375585,737.544367498471,652.649071328306,668.200265324429,566.396221860819,730.315013314344,581.420550742566,0.9750709982273122,1.2301725944898343,1.0375522863832884,1.1845282776795782,1.2744414756025448,1.55639410500461
GLUPRT,Glutamine phosphoribosyldiphosphate amidotransferase,gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c,1.9728345730375305,1.9728345730375585,554.943673513659,497.389819534693,520.812595208918,461.7591496070961,520.67996423569,520.345780914347,1.9501419964546245,2.4603451889796686,2.075104572766577,2.3690565553591565,2.5488829512050897,3.11278821000922
PRAIS,Phosphoribosylaminoimidazole synthase,atp_c + fpram_c --> adp_c + air_c + h_c + pi_c,1.9728345730375305,1.9728345730375585,759.715975280369,677.258463043015,858.3542207910159,920.1788181848179,749.1724315643919,531.7726733338201,1.9501419964546245,2.4603451889796686,2.075104572766577,2.3690565553591565,2.5488829512050897,3.11278821000922
PRAGSr,Phosphoribosylglycinamide synthase,atp_c + gly_c + pram_c <=> adp_c + gar_c + h_c + pi_c,1.9728345730375305,1.9728345730375585,411.738425777103,303.515831148081,444.4573389597869,349.228758556671,340.150930282109,297.211783127191,1.9501419964546245,2.4603451889796686,2.075104572766577,2.3690565553591565,2.5488829512050897,3.11278821000922
AIRCr,Phosphoribosylaminoimidazole carboxylase,air_c + co2_c <=> 5aizc_c + h_c,1.9718542650665944,1.9718542650666222,85.6524216416489,80.1639263985923,80.668594042051,75.2901177531622,94.6970351252392,61.6376709326276,1.949172964499433,2.4591226353833138,2.07407344649733,2.3678793633843727,2.5476164029054003,3.1112414553366246
ADSL2r,Adenylosuccinate lyase,25aics_c <=> aicar_c + fum_c,1.9718542650665944,1.9718542650666222,766.7175356325471,579.0209725395824,756.9448960851387,644.7222314588669,631.1598385484695,508.468567611347,1.949172964499433,2.4591226353833138,2.07407344649733,2.3678793633843727,2.5476164029054003,3.1112414553366246
PRASCSi,Phosphoribosylaminoimidazolesuccinocarboxamide synthase,5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c,1.9718542650665944,1.9718542650666222,133.96318807168,148.990192657617,109.94422714718701,89.5588094241245,145.22261771911698,149.562823441088,1.949172964499433,2.4591226353833138,2.07407344649733,2.3678793633843727,2.5476164029054003,3.1112414553366246
CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,1.9351698161050774,1.935169816105077,180.6402570862026,173.999737083134,163.7232898418871,136.21034744053281,216.2453940630458,133.4638518550315,1.91291047928366,2.4133730300872207,2.035487308069296,2.3238272511311275,2.5002204540456168,3.053359805355771
ACCOAC,Acetyl-CoA carboxylase,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,1.8351823549031678,1.8351823549031678,2689.2059771336844,2959.329372782636,2663.8072931337547,1108.4041125677238,2530.0711105376445,1585.2983803430088,1.8140731262315815,2.288677491637128,1.9303165852992452,12.492058556219916,2.371037633207566,2.895597064053847
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",23dhmb_c --> 3mob_c + h2o_c,1.5482224625892382,1.5482224625892393,552.5631429939181,661.8525836768963,465.0145233345527,407.7202747681329,713.353585486177,670.0774746867567,1.5304139969019195,1.930806436050738,2.546212391317283,2.769933358676175,3.025147949630235,3.456046487198007
ACLS,Acetolactate synthase,h_c + 2.0 pyr_c --> alac__S_c + co2_c,1.5482224625892382,1.5482224625892393,575.0614902589182,546.9420635564514,467.67594452592937,430.7930527892635,602.9249541577732,431.46369652839263,1.5304139969019195,1.930806436050738,2.546212391317283,2.769933358676175,3.025147949630235,3.456046487198007
OMPDC,Orotidine-5'-phosphate decarboxylase,h_c + orot5p_c --> co2_c + ump_c,1.4575364142689626,1.4575364142689622,121.31370236874399,98.10410626649693,133.346379002389,131.656509673204,149.21957050037702,88.1503129502236,1.4407710670086398,1.8177107989657433,1.5330938130611127,1.7502664679895203,1.883122775657065,2.299737762099105
ASPCT,Aspartate carbamoyltransferase,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,1.4575364142689626,1.4575364142689622,62.8273348935474,63.5575889000486,61.85509941335879,53.026910890668,77.73560729707141,45.1446685734861,1.4407710670086398,1.8177107989657433,1.5330938130611127,1.7502664679895203,1.883122775657065,2.299737762099105
DHORDi,Dihydoorotic acid dehydrogenase  irreversible ,dhor__S_c + o2_c --> h2o2_c + orot_c,1.4575364142689626,1.4575364142689622,127.24169013358801,129.249325591075,110.12777343624701,99.7796453019059,143.890300125363,150.23830476637698,1.4407710670086398,1.8177107989657433,1.5330938130611127,1.7502664679895203,1.883122775657065,2.299737762099105
