name,genes,reaction_id,reaction
Menaquinone:FAD oxidoreductase,WP_226955698_1,FADMQOR,fadh2_c + mqn8_c --> fad_c + mql8_c
Lactate racemase,WP_226955693_1,LacR,lac__L_c <=> lac__D_c
Phosphoribosylaminoimidazole carboxylase (mutase rxn),WP_226955692_1,AIRC3,5aizc_c <=> 5caiz_c
Phosphoribosylaminoimidazole carboxylase,WP_226955692_1,AIRC2,air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c
L-arabinose transport via ABC system (periplasm),WP_226955687_1 or ( WP_005248812_1 and WP_037182463_1 ),ARBabcpp,arab__L_p + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c
D-arabinose transport via ABC system (periplasm),WP_226955687_1,DARBabcpp,arab__D_p + atp_c + h2o_c --> adp_c + arab__D_c + h_c + pi_c
Murein polymerizing transglycosylase 2 (three linked units),WP_226955645_1 or ( WP_005249076_1 and WP_226955645_1 ) or ( WP_025432873_1 and WP_226955645_1 ) or ( WP_005249076_1 and WP_226955645_1 and WP_226955766_1 ),MPTG2,murein5p5p_p + uaagmda_c --> h_c + murein5p5p5p_p + udcpdp_c
L LACt3,WP_226955565_1,L_LACt3,h_e + lac__L_c --> h_c + lac__L_e
Manganese (Mn+2) transport in via proton symport (periplasm),WP_226955563_1 or ( WP_005246096_1 and WP_025432560_1 and WP_187300223_1 ),MNt2pp,h_p + mn2_p --> h_c + mn2_c
Iron (II) transport in via proton symport (periplasm),WP_226955563_1,FE2t2pp,fe2_p + h_p --> fe2_c + h_c
Benzoate transport in via proton symport (periplasm),WP_226955557_1,BZt1pp,bz_p + h_p --> bz_c + h_c
CAATPS,WP_226955541_1,CAATPS,atp_c + 2.0 ca2_c + h2o_c --> adp_c + 2.0 ca2_e + h_e + pi_c
Adenosylcobinamide-phosphate synthase,WP_226955525_1,ADCPS1,adcobhex_c + appl_c + atp_c --> adocbi_c + adp_c + h_c + pi_c
Malate synthase,WP_226955522_1,MALS,accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
Sn-Glycerol 3-phosphate transport via ABC system (periplasm),WP_226955514_1 or ( WP_025432776_1 and WP_226955514_1 ),GLYC3Pabcpp,atp_c + glyc3p_p + h2o_c --> adp_c + glyc3p_c + h_c + pi_c
Sn-glycerol-3-phosphoglycerol transport via ABC system (periplasm),WP_226955514_1 or ( WP_025432776_1 and WP_226955514_1 ),G3PGabcpp,atp_c + g3pg_p + h2o_c --> adp_c + g3pg_c + h_c + pi_c
Sn-glycerol-3-phosphoethanolamine transport via ABC system (periplasm),WP_226955514_1 or ( WP_025432776_1 and WP_226955514_1 ),G3PEabcpp,atp_c + g3pe_p + h2o_c --> adp_c + g3pe_c + h_c + pi_c
GABA transport via ABC system  periplasm ,WP_226955505_1,4ABUTabcpp,4abut_p + atp_c + h2o_c --> 4abut_c + adp_c + h_c + pi_c
Selenate transport via proton symport (periplasm),WP_226955505_1,SELtpp,2.0 h_p + sel_p --> 2.0 h_c + sel_c
Selenite transport via proton symport (periplasm),WP_226955505_1,SLNTtpp,h_p + slnt_p --> h_c + slnt_c
Selenite ABC transporter (periplasm),WP_226955505_1,SLNTabcpp,atp_c + h2o_c + slnt_p --> adp_c + h_c + pi_c + slnt_c
3 carboxy cis cis muconate cycloisomerase,WP_226955498_1,MUCCY_kt,CCbuttc_c + h_c --> 4cml_c
O-succinylbenzoate-CoA ligase,WP_226955493_1 or ( WP_005252057_1 and WP_025433126_1 ),SUCBZL,atp_c + coa_c + sucbz_c --> amp_c + ppi_c + sbzcoa_c
Dimethylallyltranstransferase,WP_187300232_1,DMATT,dmpp_c + ipdp_c --> grdp_c + ppi_c
Farnesyltranstransferase,WP_187300232_1,FRTT,frdp_c + ipdp_c --> ggdp_c + ppi_c
L-lysine transport via ABC system (periplasm),WP_164709508_1 or WP_179443303_1 or ( WP_005247432_1 and WP_005251656_1 ) or ( WP_005249318_1 and WP_164709508_1 ) or ( WP_005250338_1 and WP_025432387_1 ),LYSabcpp,atp_c + h2o_c + lys__L_p --> adp_c + h_c + lys__L_c + pi_c
Ornithine transport via ABC system (periplasm),WP_164709508_1 or WP_179443303_1 or ( WP_005247432_1 and WP_005251656_1 ),ORNabcpp,atp_c + h2o_c + orn_p --> adp_c + h_c + orn_c + pi_c
NADPH Quinone Reductase (Menaquinone-8),WP_143767587_1,NADPHQR3,h_c + mqn8_c + nadph_c --> mql8_c + nadp_c
Gamma-glutamylcysteine synthetase,WP_143548665_1,GLUCYS,atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c
SKMt2,WP_085990781_1,SKMt2,h_e + skm_e --> h_c + skm_c
Ketol-acid reductoisomerase (2-Acetolactate),WP_061700158_1,KARA2,2ahbut_c + h_c + nadph_c <=> 23dhmp_c + nadp_c
"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",WP_061700158_1,KARA1,23dhmb_c + nadp_c <=> alac__S_c + h_c + nadph_c
L-aspartate oxidase,WP_061697445_1,ASPO5,asp__L_c + fum_c --> h_c + iasp_c + succ_c
L-aspartate oxidase,WP_061697445_1,ASPO6,asp__L_c + o2_c --> h2o2_c + h_c + iasp_c
VanillinNAD oxidoreductase,WP_061044647_1,VNDH,h2o_c + nad_c + vanln_c --> 2.0 h_c + nadh_c + vanlt_c
8-amino-7-oxononanoate synthase,WP_061044208_1,AOXSr,ala__L_c + h_c + pmcoa_c <=> 8aonn_c + co2_c + coa_c
L-cysteine,WP_043944116_1,CYS,h2s_c + ser__L_c <=> cys__L_c + h2o_c
Hydroxypyruvate reductase (NADPH),WP_043944104_1,HPYRRy,h_c + hpyr_c + nadph_c --> glyc__R_c + nadp_c
Erythronate 4-phosphate (4per) dehydrogenase,WP_043944104_1,PERD,4per_c + nad_c <=> h_c + nadh_c + ohpb_c
"D-galactonate transport via proton symport, reversible",WP_043943943_1,GALCTNt2r,galctn__D_e + h_e --> galctn__D_c + h_c
Phosphate acetyltransferase,WP_043943826_1,PTA2,pi_c + ppcoa_c --> coa_c + ppap_c
Urea carboxylase,WP_043943824_1,UREASE,atp_c + hco3_c + urea_c <=> adp_c + allphn_c + h_c + pi_c
B-galactosidase,WP_043943654_1,LACZ,h2o_c + lcts_c --> gal_c + glc__D_c
,WP_037183117_1,FGFT,fgam_c + 2.0 h_c + thf_c --> gar_c + h2o_c + methf_c
GAR transformylase-T,WP_037183117_1,GART,atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c
Murein polymerizing transglycosylase,WP_037182782_1 or WP_226955645_1 or ( WP_005249076_1 and WP_226955645_1 ) or ( WP_025432873_1 and WP_226955645_1 ) or ( WP_005249076_1 and WP_226955645_1 and WP_226955766_1 ),MPTG,2.0 uaagmda_c --> 2.0 h_c + murein5p5p_p + 2.0 udcpdp_c
L-aspartate oxidase,WP_037182666_1,ASPO1,asp__L_c + h2o_c + o2_c --> h2o2_c + nh4_c + oaa_c
Thiazole synthesis from xylulose,WP_037182604_1,THZSN_1,cys__L_c + dxyl_c + fdxo_2_2_c + tyr__L_c --> 4hba_c + 4mhetz_c + co2_c + fdxrd_c + h2o_c + 2.0 h_c + nh4_c + pyr_c
Glycine oxidase,WP_037182604_1,GOX,gly_c + h2o_c + o2_c --> glx_c + h2o2_c + h_c + nh3_c
Glycine oxidase,WP_037182604_1,GLYO1,gly_c + h2o_c + o2_c --> glx_c + h2o2_c + nh4_c
TNT nitroreductase 2 Hydroxylamino 4 6 dinitrotoluene ,WP_037182464_1,TNTR2x,h_c + 2.0 nadh_c + tnt_c --> 2hadnt_c + h2o_c + 2.0 nad_c
TNT nitroreductase 4 Hydroxylamino 2 6 dinitrotoluene ,WP_037182464_1,TNTR1x,h_c + 2.0 nadh_c + tnt_c --> 4hadnt_c + h2o_c + 2.0 nad_c
D-glucose transport via ABC system (periplasm),WP_037182463_1 or ( WP_005243514_1 and WP_025432954_1 ) or ( WP_025432067_1 and WP_226955514_1 ) or ( WP_025432954_1 and WP_037182463_1 ),GLCabcpp,atp_c + glc__D_p + h2o_c --> adp_c + glc__D_c + h_c + pi_c
Quinateproton symport transport,WP_037182371_1,QUINtpp,h_p + quin_p --> h_c + quin_c
4-aminobutyrate/glutamate antiport (periplasm),WP_037182248_1,GLUABUTt7pp,4abut_c + glu__L_p <=> 4abut_p + glu__L_c
4-aminobutyrate/glutamate antiport,WP_037182248_1,GLUABUTt7,4abut_c + glu__L_e <=> 4abut_e + glu__L_c
Peroxyaminoacrylate reductase,WP_037180756_1,POAACR,nadh_c + poaac_c --> 3amac_c + h2o_c + nad_c
Methylmalonate-semialdehyde dehydrogenase (malonic semialdehyde),WP_037179827_1 or WP_226955528_1,MMSAD3,coa_c + msa_c + nad_c --> accoa_c + co2_c + nadh_c
(S)-Methylmalonate semialdehyde:NAD+ oxidoreductase (CoA-propanoylating),WP_037179827_1,MMTSAO,coa_c + mmtsa_c + nad_c --> co2_c + nadh_c + ppcoa_c
,WP_037179827_1,PPNDH2,fad_c + ppcoa_c <=> fadh2_c + prpncoa_c
D-lactate dehydrogenase,WP_037179823_1,LDH_D,lac__D_c + nad_c <=> h_c + nadh_c + pyr_c
MNXR84838,WP_037179071_1 or ( WP_005251358_1 and WP_005251360_1 ),KGD2,co2_c + 2.0 fdxrd_c + h_c + succoa_c <-- akg_c + coa_c + 2.0 fdxox_c
Oxoglutarate dehydrogenase (lipoamide),WP_037179071_1,AKGDa,akg_c + h_c + lpam_c <=> co2_c + sdhlam_c
,WP_037179006_1,TREP,pi_c + tre_c --> g1p_c + glc__D_c
4-hydroxybutanoyl-CoA dehydratase,WP_025433939_1,4HBCOAH,4hbutcoa_c --> h2o_c + vaccoa_c
,WP_025433939_1,VACOAI_2,4.0 h_c + vaccoa_c <=> ctncoa_c
Vinylacetyl-CoA Delta-isomerase,WP_025433939_1,VACOAI,vaccoa_c <=> b2coa_c
Acetoacetyl CoA reductase,WP_025433919_1,AACOAR_syn,aacoa_c + h_c + nadph_c <=> 3hbcoa__R_c + nadp_c
"D-galacturonate transport via proton symport, reversible",WP_025433886_1 or WP_043943943_1,GALURt2r,galur_e + h_e --> galur_c + h_c
"D-glucuronate transport via proton symport, reversible",WP_025433886_1 or WP_043943943_1,GLCURt2r,glcur_e + h_e --> glcur_c + h_c
"D-glycerate transport via proton symport, reversible (periplasm)",WP_025433886_1,GLYCAt2rpp,glyc__R_p + h_p --> glyc__R_c + h_c
Purine-nucleoside phosphorylase (Xanthosine),WP_025433646_1,PUNP7,pi_c + xtsn_c <=> r1p_c + xan_c
Purine-nucleoside phosphorylase (Deoxyinosine),WP_025433646_1,PUNP6,din_c + pi_c <=> 2dr1p_c + hxan_c
Purine-nucleoside phosphorylase (Guanosine),WP_025433646_1,PUNP3,gsn_c + pi_c <=> gua_c + r1p_c
Purine-nucleoside phosphorylase (Inosine),WP_025433646_1,PUNP5,ins_c + pi_c <=> hxan_c + r1p_c
Purine-nucleoside phosphorylase (Deoxyadenosine),WP_025433646_1,PUNP2,dad_2_c + pi_c <=> 2dr1p_c + ade_c
Purine-nucleoside phosphorylase (Adenosine),WP_025433646_1,PUNP1,adn_c + pi_c <=> ade_c + r1p_c
Histidinol-phosphatase,WP_025433624_1,HISTP_1,h2o_c + hisp_c --> histd_c + pi_c
Iron (III) transport via ABC system (periplasm to cytoplasm),WP_025433614_1 or ( WP_025432765_1 and WP_226955505_1 ) or ( WP_005249236_1 and WP_025432541_1 and WP_226955505_1 ),FE3abcpp,atp_c + fe3_p + h2o_c --> adp_c + fe3_c + h_c + pi_c
"Nitrate transport, extracellular",WP_025433549_1 or WP_187300236_1,NO3t,no3_e <=> no3_c
2-oxopent-4-enoate hydratase,WP_025433537_1 or WP_025433817_1,OP4ENH,h2o_c + op4en_c --> 4h2opntn_c
"2-oxo-hept-3-ene-1,7-dioate hydratase",WP_025433537_1,OHEDH,2ohed_c + h2o_c --> 24dhhed_c
2hh24dd hydratase,WP_025433537_1,2HH24DDH,2hh24dd_c + h2o_c --> 4h2kpi_c
2hh24dd hydratase,WP_025433537_1,2HH24DDH1,2hh24dd_c + h2o_c --> 24dhhed_c
D-xylose transport in via proton symport (periplasm),WP_025433533_1,XYLt2pp,h_p + xyl__D_p --> h_c + xyl__D_c
Pyruvate dehydrogenase,WP_025433506_1 or ( WP_005252807_1 and WP_025432670_1 ) or ( WP_025432898_1 and WP_226955526_1 ) or ( WP_005251816_1 and WP_025432898_1 and WP_226955526_1 ),PDH,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c
Na+/succinate symporter,WP_025433491_1,HMR_9610,na1_e + succ_e --> na1_c + succ_c
Na+/fumarate symporter,WP_025433491_1,MFUMt8,fum_e + na1_e --> fum_c + na1_c
Namalate symporter,WP_025433491_1,MALt4,mal__L_e + na1_e --> mal__L_c + na1_c
N Formyl maleate deformylase,WP_025433443_1,NFMLDF,h2o_c + nfmalm_c --> for_c + h_c + malm_c
"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:1)",WP_025433436_1,LPLIPAL2A181,2odec11eg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + ocdcea_c
"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0)",WP_025433436_1,LPLIPAL2E120,2agpe120_c + h2o_c --> ddca_c + g3pe_c + h_c
"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:1)",WP_025433436_1,LPLIPAL2E181,2agpe181_c + h2o_c --> g3pe_c + h_c + ocdcea_c
"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C14:1)",WP_025433436_1,LPLIPAL2A141,2tdec7eg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + ttdcea_c
"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:1)",WP_025433436_1,LPLIPAL2E141,2agpe141_c + h2o_c --> g3pe_c + h_c + ttdcea_c
"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:0)",WP_025433436_1,LPLIPAL2G180,2agpg180_c + h2o_c --> g3pg_c + h_c + ocdca_c
"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:1)",WP_025433436_1,LPLIPAL2G161,2agpg161_c + h2o_c --> g3pg_c + h_c + hdcea_c
"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:1)",WP_025433436_1,LPLIPAL2G181,2agpg181_c + h2o_c --> g3pg_c + h_c + ocdcea_c
"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:0)",WP_025433436_1,LPLIPAL2G160,2agpg160_c + h2o_c --> g3pg_c + h_c + hdca_c
"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:1)",WP_025433436_1,LPLIPAL2A161,2hdec9eg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + hdcea_c
"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:1)",WP_025433436_1,LPLIPAL2G141,2agpg141_c + h2o_c --> g3pg_c + h_c + ttdcea_c
"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C12:0)",WP_025433436_1,LPLIPAL2G120,2agpg120_c + h2o_c --> ddca_c + g3pg_c + h_c
"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C12:0)",WP_025433436_1,LPLIPAL2A120,2ddecg3p_c + h2o_c --> ddca_c + glyc3p_c + 2.0 h_c
"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:1)",WP_025433436_1,LPLIPAL2E161,2agpe161_c + h2o_c --> g3pe_c + h_c + hdcea_c
"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:0)",WP_025433436_1,LPLIPAL2A160,2hdecg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + hdca_c
"2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase",WP_025433435_1,HKNDDH,h2o_c + hkndd_c --> h_c + op4en_c + succ_c
2-hydroxy-6-ketononotrienedioate hydrolase,WP_025433435_1,HKNTDH,h2o_c + hkntd_c --> fum_c + h_c + op4en_c
Galactitol-1-phosphate dehydrogenase,WP_025433427_1,GLTPD,galt1p_c + nad_c <=> h_c + nadh_c + tag6p__D_c
L-alanyl-gamma-glutamate epimerase,WP_025433404_1,ALAGLUE,LalaDglu_c <=> LalaLglu_c
"Protoporphyrinogen oxidase (anaerobic, FAD)",WP_025433380_1,PPPGO4,3.0 fad_c + pppg9_c --> 3.0 fadh2_c + ppp9_c
,WP_025433341_1 or WP_226955743_1,HBCH,3hbcoa_c + 4.0 h_c --> ctncoa_c + h2o_c
,WP_025433336_1,ANDO2,anth_c + 2.0 h_c + nadph_c + o2_c --> catechol_c + co2_c + nadp_c + nh3_c
,WP_025433336_1,ANDO1,anth_c + 2.0 h_c + nadh_c + o2_c --> catechol_c + co2_c + nad_c + nh3_c
Hexokinase (D-fructose:ATP),WP_025433325_1,HEX7,atp_c + fru_c --> adp_c + f6p_c + h_c
Mannonate oxidoreductase,WP_025433324_1,MANAO,mana_c + nad_c <=> fruur_c + h_c + nadh_c
Succinyl:4-hydroxybenzoate CoA transferase,WP_025433310_1,SUCBZT2,4hbz_c + succoa_c <=> 4hbzcoa_c + succ_c
,WP_025433310_1,A4HBCT,accoa_c + h4but_c --> 4hbutcoa_c + ac_c + h_c
Succinyl:benzoate CoA transferase,WP_025433310_1,SUCBZT1,bz_c + 4.0 h_c + succoa_c <=> benzcoa_c + succ_c
(S)-alpha-hydroxyglutarate dehydrogenase,WP_025433303_1,AHGDx,S2hglut_c + nad_c <=> akg_c + h_c + nadh_c
2-dehydro-3-deoxygluconokinase,WP_025433301_1,DDGLK,2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c
Dehydrogluconokinase,WP_025433301_1,2DHGLCK,2dhglcn_c + atp_c + 2.0 h_c --> 6p2dhglcn_c + adp_c
Propanoyl-CoA:NADP+ 2-oxidoreductase,WP_025433300_1,PCNO,nadp_c + ppcoa_c <=> h_c + nadph_c + prpncoa_c
Glyoxalate carboligase,WP_025433274_1,GLXCL,2.0 glx_c + h_c --> 2h3oppan_c + co2_c
,WP_025433273_1,DHR_1,cbasp_c + h_c <=> dhor__S_c + h2o_c
Allantoate amidinohydrolase  reversible,WP_025433273_1,ALLTAHr,alltt_c + h2o_c <=> urdglyc_c + urea_c
Glycine C-acetyltransferase,WP_025433265_1,GLYAT,accoa_c + gly_c <=> 2aobut_c + coa_c
Copper transport via ABC system (periplasm),WP_025433261_1,CUabcpp,atp_c + cu2_p + h2o_c --> adp_c + cu2_c + h_c + pi_c
"N-acetyl-L,L-diaminopimelate deacetylase",WP_025433253_1,DAPDA,h2o_c + n6all26d_c <=> 26dap_LL_c + ac_c
Glucose dehydrogenase (ubiquinone-8 as acceptor) (periplasm),WP_025433244_1,GLCDpp,glc__D_p + h2o_p + q8_c --> glcn_p + h_p + q8h2_c
,WP_025433243_1,DACL,abg4_c + h2o_c + h_c <=> 4abz_c + glu__D_c
FMNH2 dependent dimethylsulfone monooxygenase,WP_025433231_1,FDMO7,dmso2_c + 2.0 fmnh2_c + 2.0 o2_c --> fald_c + 2.0 fmn_c + 2.0 h2o_c + 5.0 h_c + mso3_c
FMN dependent monooxygenase  butanesulfonate ,WP_025433229_1,FDMO2_1,buts_c + fmnRD_c + o2_c --> btal_c + fmn_c + h2o_c + h_c + so3_c
FMN dependent monooxygenase  taurine ,WP_025433229_1,FDMO4_1,fmnRD_c + o2_c + taur_c --> amacald_c + fmn_c + h2o_c + h_c + so3_c
FMN dependent monooxygenase  hexanesulfonate ,WP_025433229_1,FDMO3_1,fmnRD_c + hexs_c + o2_c --> fmn_c + h2o_c + h_c + hxal_c + so3_c
FMN dependent monooxygenase  ethanesulfonate ,WP_025433229_1,FDMO1,eths_c + fmnRD_c + o2_c --> acald_c + fmn_c + h2o_c + h_c + so3_c
FMNH2 dependent monooxygenase  pentanesulfonate ,WP_025433229_1,FDMO5,fmnh2_c + o2_c + pentso3_c --> fmn_c + h2o_c + h_c + ptal_c + so3_c
FMN dependent monooxygenase  sulfoacetate ,WP_025433229_1,FDMO5_1,fmnRD_c + o2_c + sula_c --> fmn_c + glx_c + h2o_c + h_c + so3_c
FMN dependent monooxygenase  isethionate ,WP_025433229_1,FDMO6_1,fmnRD_c + istnt_c + o2_c --> fmn_c + gcald_c + h2o_c + h_c + so3_c
FmnRD dependent monooxygenase  methanesulfonate ,WP_025433229_1,FDMO_1,fmnRD_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
FMNH2 dependent monooxygenase,WP_025433229_1,FDMOtau,fmnh2_c + o2_c + taur_c --> aacald_c + fmn_c + h2o_c + h_c + so3_c
Muconate cycloisomerase,WP_025433213_1,MUCCYCI,ccmuac_c + h_c <=> mucl_c
Hexokinase (D-glucose:ATP),WP_025433212_1,HEX1_1,atp_c + glc__D_c --> adp_c + g6p_c + h_c
ATP D-glucose 6-phosphotransferase ,WP_025433212_1,GLCBPP,atp_c + glc_D_B_c --> adp_c + g6p_B_c + h_c
6-phosphogluconate dehydratase,WP_025433211_1,EDD,6pgc_c --> 2ddg6p_c + h2o_c
Enterochelin transport (secretion),WP_025433202_1,FEENTERtpp,enter_c + h_p --> enter_p + h_c
Iron transport from ferric-dicitrate via ABC system,WP_025433201_1,FE3DCITabc,atp_c + fe3dcit_e + h2o_c --> adp_c + 2.0 cit_c + fe3_c + h_c + pi_c
Fumarate reductase NADH ,WP_025433196_1,FRDx,fum_c + h_c + nadh_c --> nad_c + succ_c
M-diaminopimelic acid ABC transport (periplasm),WP_025433179_1,DAPabcpp,26dap__M_p + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c
FASm280,WP_025433174_1,FASm280,3.0 h_c + mmcoa__S_c + 2.0 nadph_c + tmhexc_c --> co2_c + coa_c + h2o_c + 2.0 nadp_c + tamocta_c
FASm220,WP_025433174_1,FASm220,arach_c + 3.0 h_c + mmcoa__S_c + 2.0 nadph_c --> co2_c + coa_c + h2o_c + mbhn_c + 2.0 nadp_c
FASm240,WP_025433174_1,FASm240,3.0 h_c + mbhn_c + mmcoa__S_c + 2.0 nadph_c --> co2_c + coa_c + dmlgnc_c + h2o_c + 2.0 nadp_c
