,reaction_id,reaction_name,reaction_reaction,old_flux,new_flux
1768,PPA,Inorganic diphosphatase,h2o_c + ppi_c --> h_c + 2.0 pi_c,32.047277243526864,0.0
1690,PGK,Phosphoglycerate kinase,3pg_c + atp_c <=> 13dpg_c + adp_c,29.991186639350893,6.419850950634444
217,ADK1,Adenylate kinase,amp_c + atp_c <=> 2.0 adp_c,21.312766273554868,-4.036123432016291
996,GLNS,Glutamine synthetase,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,18.11493371993944,0.0
1659,PDH,Pyruvate dehydrogenase,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,13.427962769320104,72.95681597170693
1739,PIt2r,Phosphate reversible transport via symport,h_e + pi_e <=> h_c + pi_c,11.054672135802832,no rxn
823,FBP,Fructose-bisphosphatase,fdp_c + h2o_c --> f6p_c + pi_c,11.0203540950722,1.2569486554518998
1688,PGCD,Phosphoglycerate dehydrogenase,3pg_c + nad_c --> 3php_c + h_c + nadh_c,9.940357670584227,2.70188075543943
1826,PSP_L,Phosphoserine phosphatase (L-serine),h2o_c + pser__L_c --> pi_c + ser__L_c,9.940357670584227,2.70188075543943
1825,PSERT,Phosphoserine transaminase,3php_c + glu__L_c --> akg_c + pser__L_c,9.940357670584227,2.70188075543943
2390,Growth_Phenol,Phenol biomass reaction,0.000216 10fthf_c + 0.295287388411761 ala__L_c + 0.000216 amet_c + 0.170032000838564 arg__L_c + 0.138567465697142 asn__L_c + 0.138567465697142 asp__L_c + 52.547151 atp_c + 0.005053 ca2_c + 0.005053 cl_c + 0.000559 coa_c + 9.7e-05 cobalt2_c + 0.129616 ctp_c + 0.000688 cu2_c + 0.0526437832174587 cys__L_c + 0.025403 datp_c + 0.026229 dctp_c + 0.026229 dgtp_c + 0.025403 dttp_c + 0.000216 fad_c + 0.006519 fe2_c + 0.00758 fe3_c + 0.151273830352209 gln__L_c + 0.151273830352209 glu__L_c + 0.35216642914915 gly_c + 0.000780164434642303 gtca1_45_BS_c + 0.000780164434642303 gtca2_45_BS_c + 0.000780164434642303 gtca3_45_BS_c + 0.208826 gtp_c + 47.184845 h2o_c + 0.0544585552429843 his__L_c + 0.167006393970559 ile__L_c + 0.189503 k_c + 0.258981882281531 leu__L_c + 3.93697809448742e-05 lipo1_24_BS_c + 3.93697809448742e-05 lipo2_24_BS_c + 3.93697809448742e-05 lipo3_24_BS_c + 3.93697809448742e-05 lipo4_24_BS_c + 0.197261278460057 lys__L_c + 0.088344167974088 met__L_c + 0.008422 mg2_c + 0.000216 mlthf_c + 0.000671 mn2_c + 9.7e-05 mql8_c + 0.001778 nad_c + 0.000434 nadp_c + 0.17366804881273 peptido_BS_c + 0.106497217086842 phe__L_c + 0.127070159598723 pro__L_c + 0.000216 pydx5p_c + 0.000216 ribflv_c + 0.124045144825995 ser__L_c + 0.004212 so4_c + 0.000216 thf_c + 0.000216 thmpp_c + 0.145828330085078 thr__L_c + 0.0326753699839016 trp__L_c + 0.0792673473700723 tyr__L_c + 0.139904 utp_c + 0.243248726567904 val__L_c + 0.000331 zn2_c --> 52.37741576 adp_c + 52.37741576 h_c + 52.37320421 pi_c + 0.751344563 ppi_c,8.852336988820824,2.4091589470645496
1503,NDPK2,Nucleoside-diphosphate kinase (ATP:UDP),atp_c + udp_c <=> adp_c + utp_c,8.221583697146263,2.176299899232124
1456,MTHFD2i,Methylenetetrahydrofolate dehydrogenase  NAD ,mlthf_c + nad_c --> methf_c + nadh_c,8.178169872745897,0.0
1454,MTHFC,Methenyltetrahydrofolate cyclohydrolase,h2o_c + methf_c <=> 10fthf_c + h_c,8.178169872745897,2.221001309045802
966,GHMT2r,"Glycine hydroxymethyltransferase, reversible",ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c,8.080133789851836,2.1956217854669644
1816,PRPPS,Phosphoribosylpyrophosphate synthetase,atp_c + r5p_c <=> amp_c + h_c + prpp_c,7.481908162225512,2.036197448527312
377,ASPK,Aspartate kinase,asp__L_c + atp_c <=> 4pasp_c + adp_c,6.979068197678627,1.899349811450275
618,DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",23dhmb_c --> 3mob_c + h2o_c,4.542870897991021,1.236339972492632
167,ACLS,Acetolactate synthase,h_c + 2.0 pyr_c --> alac__S_c + co2_c,4.542870897991021,1.236339972492632
1238,KARA1i,Acetohydroxy acid isomeroreductase,alac__S_c + h_c + nadph_c --> 23dhmb_c + nadp_c,4.542870897991021,no rxn
2087,UMPK,UMP kinase,atp_c + ump_c <=> adp_c + udp_c,4.401032656361494,1.1977387681678058
455,CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,4.348126298940218,1.1833403302751877
261,AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,10fthf_c + aicar_c <=> fprica_c + thf_c,4.3282155730509695,1.177921636490804
1504,NDPK3,Nucleoside-diphosphate kinase (ATP:CDP),atp_c + cdp_c <=> adp_c + ctp_c,4.289905318730649,1.166669179012221
559,CYTK1,Cytidylate kinase (CMP),atp_c + cmp_c <=> adp_c + cdp_c,4.284956862353907,1.166148800679655
915,G3PCT,Glycerol-3-phosphate cytidylyltransferase,ctp_c + glyc3p_c + h_c --> cdpglyc_c + ppi_c,4.278087448850582,1.164279293336733
2066,UAGDP,UDP-N-acetylglucosamine diphosphorylase,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c,3.952608818895619,1.0757004520178195
904,G1PACT,Glucosamine-1-phosphate N-acetyltransferase,accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,3.952608818895619,1.0757004520178195
959,GF6PTA,Glutamine-fructose-6-phosphate transaminase,f6p_c + gln__L_c --> gam6p_c + glu__L_c,3.952608818895619,1.0757004520178195
948,GARFT,Phosphoribosylglycinamide formyltransferase,10fthf_c + gar_c <=> fgam_c + h_c + thf_c,3.848042194905343,1.042559294222432
1795,PRAIS,Phosphoribosylaminoimidazole synthase,atp_c + fpram_c --> adp_c + air_c + 2.0 h_c + pi_c,3.848042194905343,1.0472426992155255
1014,GLUPRT,Glutamine phosphoribosyldiphosphate amidotransferase,gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c,3.848042194905343,1.0472426992155255
1806,PRFGS_1,Phosphoribosylformylglycinamidine synthase,atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c,3.848042194905343,0.0
1793,PRAGSr,Phosphoribosylglycinamide synthase,atp_c + gly_c + pram_c <=> adp_c + gar_c + h_c + pi_c,3.848042194905343,1.0472426992155255
233,ADSL2r,Adenylosuccinate lyase,25aics_c <=> aicar_c + fum_c,3.8461300901157576,1.0467223208829595
264,AIRCr,Phosphoribosylaminoimidazole carboxylase,air_c + co2_c <=> 5aizc_c + h_c,3.8461300901157576,1.0467223208829595
1797,PRASCSi,Phosphoribosylaminoimidazolesuccinocarboxamide synthase,5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c,3.8461300901157576,1.0467223208829595
2016,THDPS,Tetrahydrodipicolinate succinylase,h2o_c + succoa_c + thdp_c --> coa_c + sl2a6o_c,3.2835914040553176,0.8936277075278694
1937,SDPDS,Succinyl-diaminopimelate desuccinylase,h2o_c + sl26da_c --> 26dap_LL_c + succ_c,3.2835914040553176,0.8936277075278694
631,DHDPS,Dihydrodipicolinate synthase,aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c,3.2835914040553176,0.8936277075278694
630,DHDPRy,Dihydrodipicolinate reductase (NADPH),23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c,3.2835914040553176,0.8936277075278694
580,DAPE,Diaminopimelate epimerase,26dap_LL_c <=> 26dap__M_c,3.2835914040553176,0.8936277075278694
641,DHORD3,DHORD3,dhor__S_c + mqn6_c <=> mql6_c + orot_c,2.8429457286337847,no rxn
885,FRD5,FRD5,fum_c + mql6_c --> mqn6_c + succ_c,2.8429457286337847,no rxn
376,ASPCT,Aspartate carbamoyltransferase,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,2.8429457286337847,0.7737062141676742
1600,OMPDC,Orotidine-5'-phosphate decarboxylase,h_c + orot5p_c --> co2_c + ump_c,2.8429457286337847,0.7737062141676742
163,ACGK,Acetylglutamate kinase,acglu_c + atp_c --> acg5p_c + adp_c,2.6300484442975742,0.0
1615,ORNTAC,Ornithine transacetylase,acorn_c + glu__L_c <=> acglu_c + orn_c,2.6300484442975742,0.0
1178,HSST,Homoserine O-succinyltransferase,hom__L_c + succoa_c --> coa_c + suchms_c,2.404555273193201,no rxn
1231,IPPS,2-isopropylmalate synthase,3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c,2.3678740426648552,0.6444156997877484
1598,OMCDC,2-Oxo-4-methyl-3-carboxypentanoate decarboxylation,3c4mop_c + h_c --> 4mop_c + co2_c,2.3678740426648552,0.6444156997877484
1228,IPMD,3-isopropylmalate dehydrogenase,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,2.3678740426648552,0.6444156997877484
234,ADSS,Adenylosuccinate synthase,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,2.237868978195765,0.6090348885257169
232,ADSL1r,Adenylsuccinate lyase,dcamp_c <=> amp_c + fum_c,2.237868978195765,0.6090348885257169
1062,GMPS,GMP synthase,atp_c + nh4_c + xmp_c --> amp_c + gmp_c + 2.0 h_c + ppi_c,2.090346594855205,0.5688867479650874
1216,IMPD,IMP dehydrogenase,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,2.090346594855205,0.5688867479650874
967,GK1,Guanylate kinase (GMP:ATP),atp_c + gmp_c <=> adp_c + gdp_c,2.090346594855205,0.5688867479650874
650,DHQS,3-dehydroquinate synthase,2dda7p_c --> 3dhq_c + pi_c,1.942211007332287,0.5285717242024143
1817,PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,pep_c + skm5p_c <=> 3psme_c + pi_c,1.942211007332287,0.5285717242024143
605,DDPA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c,1.942211007332287,0.5285717242024143
1954,SHK3Dr,Shikimate dehydrogenase,3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c,1.942211007332287,0.5285717242024143
651,DHQTi,"3-dehydroquinate dehydratase, irreversible",3dhq_c --> 3dhsk_c + h2o_c,1.942211007332287,0.5285717242024143
480,CHORS,Chorismate synthase,3psme_c --> chor_c + pi_c,1.942211007332287,0.5285717242024143
1955,SHKK,Shikimate kinase,atp_c + skm_c --> adp_c + h_c + skm5p_c,1.942211007332287,0.5285717242024143
579,DAPDC,Diaminopimelate decarboxylase,26dap__M_c + h_c --> co2_c + lys__L_c,1.746223311774047,0.47523377391143784
1266,Kt1,Potassium transport via uniport (facilitated diffusion),k_e --> k_c,1.6775444163925126,0.45654284794557337
479,CHORM,Chorismate mutase,chor_c --> pphn_c,1.6463626299437175,0.4480567408414902
165,ACHBS,2-aceto-2-hydroxybutanoate synthase,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,1.6205908224999963,0.44104295673414384
619,DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",23dhmp_c --> 3mop_c + h2o_c,1.6205908224999963,0.44104295673414384
1956,SHSL1,O-succinylhomoserine lyase (L-cysteine),cys__L_c + suchms_c --> cyst__L_c + h_c + succ_c,1.6205908224999963,0.0
545,CYSTGL,Cystathionine g lyase,cyst__L_c + h2o_c --> 2obut_c + cys__L_c + nh4_c,1.6205908224999963,0.12869433952964138
1239,KARA2,Ketol-acid reductoisomerase (2-Acetolactate),2ahbut_c + h_c + nadph_c <=> 23dhmp_c + nadp_c,1.6205908224999963,0.44104295673414384
1792,PPTGS_BS,Peptidoglycan subunit synthesis,uaagmda_c --> h_c + peptido_BS_c + udcpdp_c,1.5373680922812702,0.41839393361643146
1651,PAPPT3,"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",udcpp_c + ugmda_c --> uagmda_c + ump_c,1.5373680922812702,0.41839393361643146
275,ALAALAr,D-alanine-D-alanine ligase (reversible),2.0 ala__D_c + atp_c <=> adp_c + alaala_c + h_c + pi_c,1.5373680922812702,0.41839393361643146
2080,UGMDDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase",alaala_c + atp_c + ugmd_c --> adp_c + h_c + pi_c + ugmda_c,1.5373680922812702,0.41839393361643146
2071,UDCPDP,Undecaprenyl-diphosphatase,h2o_c + udcpdp_c --> h_c + pi_c + udcpp_c,1.5373680922812702,0.41839393361643146
2070,UAPGR,UDP-N-acetylenolpyruvoylglucosamine reductase,h_c + nadph_c + uaccg_c --> nadp_c + uamr_c,1.5373680922812702,0.41839393361643146
2069,UAMAS,UDP-N-acetylmuramoyl-L-alanine synthetase,ala__L_c + atp_c + uamr_c --> adp_c + h_c + pi_c + uama_c,1.5373680922812702,0.41839393361643146
2068,UAMAGS,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,atp_c + glu__D_c + uama_c --> adp_c + h_c + pi_c + uamag_c,1.5373680922812702,0.41839393361643146
2067,UAGPT3,UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,uacgam_c + uagmda_c --> h_c + uaagmda_c + udp_c,1.5373680922812702,0.41839393361643146
2065,UAGCVT,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,pep_c + uacgam_c --> pi_c + uaccg_c,1.5373680922812702,0.41839393361643146
2059,UAAGDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",26dap__M_c + atp_c + uamag_c --> adp_c + h_c + pi_c + ugmd_c,1.5373680922812702,0.41839393361643146
1586,OCBT,Ornithine carbamoyltransferase,cbp_c + orn_c <=> citr__L_c + h_c + pi_c,1.5051805703064336,0.4096341161075135
355,ARGSS,Argininosuccinate synthase,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,1.5051805703064336,0.4096341161075135
354,ARGSL,Argininosuccinate lyase,argsuc_c <=> arg__L_c + fum_c,1.5051805703064336,0.4096341161075135
2037,TRDR,Thioredoxin reductase (NADPH),h_c + nadph_c + trdox_c --> nadp_c + trdrd_c,1.4890334681466886,0.5296293853353478
943,GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),g1p_c + h_c + utp_c --> ppi_c + udpg_c,1.4260291496168604,0.38809309777891104
530,CTPS1,CTP synthase  NH3 ,atp_c + nh4_c + utp_c --> adp_c + ctp_c + 2.0 h_c + pi_c,1.3795924580227799,0.0
1965,SO4t2,SO4t2,h_e + so4_e --> h_c + so4_c,1.2941315646638205,0.35219723804299075
2026,THRS,Threonine synthase,h2o_c + phom_c --> pi_c + thr__L_c,1.2909215204301085,0.6636722433644505
1177,HSK,Homoserine kinase,atp_c + hom__L_c --> adp_c + h_c + phom_c,1.2909215204301085,0.6636722433644505
231,ADSK,Adenylyl-sulfate kinase,aps_c + atp_c --> adp_c + h_c + paps_c,1.2568455212669072,0.0
1920,SADT,Sulfate adenylyltransferase,atp_c + h_c + so4_c --> aps_c + ppi_c,1.2568455212669072,0.3420498605579549
408,BPNT,"3',5'-bisphosphate nucleotidase",h2o_c + pap_c --> amp_c + pi_c,1.2568455212669072,0.0
1652,PAPSR,Phosphoadenylyl-sulfate reductase (thioredoxin),paps_c + trdrd_c --> 2.0 h_c + pap_c + so3_c + trdox_c,1.2568455212669072,0.0
156,ACCOAC,Acetyl-CoA carboxylase,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,1.2518643286154987,0.34069423154627587
364,ASNS2,Asparagine synthetase,asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c,1.226645902037971,0.33383104975632977
1611,ORNCD,Ornithine cyclodeaminase,orn_c --> nh4_c + pro__L_c,1.124867873991141,0.30613221190218376
1041,GLYCL,Glycine Cleavage System,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,1.1145956879685244,0.0
1788,PPNDH,Prephenate dehydratase,h_c + pphn_c --> co2_c + h2o_c + phpyr_c,0.9427492540243324,0.256568723382241
1399,METS,Methionine synthase,5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c,0.7848231273811201,0.21358920944617876
1459,MTHFR3,5 10 methylenetetrahydrofolatereductase  NADPH ,2.0 h_c + mlthf_c + nadph_c --> 5mthf_c + nadp_c,0.7848231273811201,0.21358920944617876
1957,SHSL2r,SHSL2r,h2s_c + suchms_c --> h_c + hcys__L_c + succ_c,0.7839644506932045,0.0
1787,PPND,Prephenate dehydrogenase,nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c,0.7036133759193852,0.1914880174592492
868,FLDR,Flavodoxin reductase (NADPH),fldox_c + h_c + nadph_c --> fldrd_c + nadp_c,0.681939779933812,no rxn
1796,PRAMPC,Phosphoribosyl-AMP cyclohydrolase,h2o_c + prbamp_c --> prfp_c,0.4820854829352121,0.13119931560784465
1798,PRATPP,Phosphoribosyl-ATP pyrophosphatase,h2o_c + prbatp_c --> h_c + ppi_c + prbamp_c,0.4820854829352121,0.13119931560784465
389,ATPPRT,ATP phosphoribosyltransferase,atp_c + prpp_c --> ppi_c + prbatp_c,0.4820854829352121,0.13119931560784465
1141,HISTD,Histidinol dehydrogenase,h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c,0.4820854829352121,0.13119931560784465
1807,PRMICI,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,prfp_c <=> prlp_c,0.4820854829352121,0.13119931560784465
1207,IGPDH,Imidazoleglycerol-phosphate dehydratase,eig3p_c --> h2o_c + imacp_c,0.4820854829352121,0.13119931560784465
1142,HISTP,Histidinol-phosphatase,h2o_c + hisp_c --> histd_c + pi_c,0.4820854829352121,0.0
1179,HSTPT,Histidinol-phosphate transaminase,glu__L_c + imacp_c --> akg_c + hisp_c,0.4820854829352121,0.13119931560784465
1206,IG3PS,Imidazole-glycerol-3-phosphate synthase,gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + h_c,0.4820854829352121,0.13119931560784465
542,CYS,L-cysteine,h2s_c + ser__L_c --> cys__L_c + h2o_c,0.4728810705737027,0.0
2045,TRPS1,Tryptophan synthase (indoleglycerol phosphate),3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c,0.28925338633189784,0.07872015994536097
327,ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c --> ppi_c + pran_c,0.28925338633189784,0.07872015994536097
1794,PRAIi,Phosphoribosylanthranilate isomerase (irreversible),pran_c --> 2cpr5p_c,0.28925338633189784,0.07872015994536097
328,ANS,Anthranilate synthase,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,0.28925338633189784,0.0
1208,IGPS,Indole-3-glycerol-phosphate synthase,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c,0.28925338633189784,0.07872015994536097
1906,RNTR3c,Ribonucleoside-triphosphate reductase (CTP) (flavodoxin),ctp_c + fldrd_c --> dctp_c + fldox_c + h2o_c,0.23218794687978137,no rxn
1506,NDPK5,Nucleoside-diphosphate kinase (ATP:dGDP),atp_c + dgdp_c <=> adp_c + dgtp_c,0.23218794687978137,0.06318983002255607
1894,RNDR2,Ribonucleoside-diphosphate reductase (GDP),gdp_c + trdrd_c --> dgdp_c + h2o_c + trdox_c,0.23218794687978137,0.06318983002255607
633,DHFR,Dihydrofolate reductase,dhf_c + h_c + nadph_c <=> nadp_c + thf_c,0.2306122308957711,0.06276099972997853
1908,RNTR4c,Ribonucleoside-triphosphate reductase (UTP) (flavodoxin),fldrd_c + utp_c --> dutp_c + fldox_c + h2o_c,0.22487591652701536,no rxn
1902,RNTR1c,Ribonucleoside-triphosphate reductase (ATP) (flavodoxin),atp_c + fldrd_c --> datp_c + fldox_c + h2o_c,0.22487591652701536,no rxn
688,DUTPDP,DUTP diphosphatase,dutp_c + h2o_c --> dump_c + h_c + ppi_c,0.22487591652701536,0.06119986473228075
2033,TMDS,Thymidylate synthase,dump_c + mlthf_c --> dhf_c + dtmp_c,0.22487591652701536,0.06119986473228075
682,DTMPK,DTMP kinase,atp_c + dtmp_c <=> adp_c + dtdp_c,0.22487591652701536,0.06119986473228075
1505,NDPK4,Nucleoside-diphosphate kinase (ATP:dTDP),atp_c + dtdp_c <=> adp_c + dttp_c,0.22487591652701536,0.06119986473228075
1900,RNF,Ferredoxin:NAD oxidoreductase ( 2 protons traslocation),fdxr_42_c + 3.0 h_c + nad_c --> fdxo_42_c + 2.0 h_e + nadh_c,0.2230493235840532,no rxn
1597,OIVD3,2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxopentanoate),3mop_c + coa_c + nad_c --> 2mbcoa_c + co2_c + nadh_c,0.1421939437848339,0.038698008482984554
255,AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,0.01 1ag3p_BS_c + 0.07 fa11coa_c + 0.17 fa12coa_c + 0.01 fa1coa_c + 0.2 fa3coa_c + 0.34 fa4coa_c + 0.05 fa6coa_c + 0.1 pmtcoa_c + 0.03 strcoa_c + 0.03 tdcoa_c <=> 0.01 12dag3p_BS_c + coa_c,0.13940582724003325,0.03793922400292604
1650,PAP_BS,Phosphatidic acid phosphatase,0.01 12dag3p_BS_c + h2o_c --> 0.01 12dgr_BS_c + pi_c,0.13940582724003325,0.03793922400292604
920,G3POA_BS,Glycerol 3 phosphate O acyltransferase,0.07 fa11coa_c + 0.17 fa12coa_c + 0.01 fa1coa_c + 0.2 fa3coa_c + 0.34 fa4coa_c + 0.05 fa6coa_c + glyc3p_c + 0.1 pmtcoa_c + 0.03 strcoa_c + 0.03 tdcoa_c --> 0.01 1ag3p_BS_c + coa_c,0.13940582724003325,0.03793922400292604
2081,UGT_BS,UDP glucosyltransferase  diglucosyl ,0.01 12dgr_BS_c + 2.0 udpg_c --> 0.01 d12dg_BS_c + 2.0 h_c + 2.0 udp_c,0.13940582724003325,0.03793922400292604
768,FACOAL150_anteiso,Fatty acid  CoA ligase  anteiso C150 ,atp_c + coa_c + fa4_c --> amp_c + fa4coa_c + ppi_c,0.09479596252322262,0.025798672321989707
1250,KAS4,B-ketoacyl synthetase (Anteiso-C15:0),2mbcoa_c + 14.0 h_c + 5.0 malcoa_c + 10.0 nadph_c --> 5.0 co2_c + 6.0 coa_c + fa4_c + 4.0 h2o_c + 10.0 nadp_c,0.09479596252322262,0.025798672321989707
1595,OIVD1r,2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate),4mop_c + coa_c + nad_c --> co2_c + ivcoa_c + nadh_c,0.07527914670961795,0.02048718096158006
855,FE3t,"Ferric iron uptake, plasma membrane",fe3_e --> fe3_c,0.06710071437526184,0.0
842,FE2abc,Iron (II) transport via ABC system,atp_c + fe2_e + h2o_c --> adp_c + fe2_c + h_c + pi_c,0.057708384830122944,0.0
769,FACOAL150_ISO,Fatty acid  CoA ligase  Iso C150 ,atp_c + coa_c + fa3_c --> amp_c + fa3coa_c + ppi_c,0.0557623308960133,0.015175689601170416
