name,genes,reaction_id,reaction
Uracil transport in via proton symport (periplasm),WP_187300167_1,URAt2pp,h_p + ura_p --> h_c + ura_c
Maltose transport via ABC system,WP_187300152_1 or ( WP_005238326_1 and WP_025432067_1 ) or ( WP_005248578_1 and WP_025432775_1 ) or ( WP_025432120_1 and WP_025432775_1 ) or ( WP_005239291_1 and WP_005239292_1 and WP_005239295_1 ),MALTabc,atp_c + h2o_c + malt_e --> adp_c + h_c + malt_c + pi_c
Nitrogenase,WP_179443331_1,NIT1b_1,16.0 atp_c + 4.0 fdxr_42_c + 16.0 h2o_c + n2_c --> 16.0 adp_c + 4.0 fdxo_42_c + h2_c + 6.0 h_c + 2.0 nh4_c + 16.0 pi_c
L-lysine transport via ABC system (periplasm),WP_179443303_1 or ( WP_005242885_1 and WP_179443303_1 ) or ( WP_005247430_1 and WP_164709508_1 ) or ( WP_005247430_1 and WP_179443303_1 ) or ( WP_005250338_1 and WP_025432387_1 ) or ( WP_005255435_1 and WP_164709508_1 ) or ( WP_005247430_1 and WP_005247432_1 and WP_005251656_1 ),LYSabcpp,atp_c + h2o_c + lys__L_p --> adp_c + h_c + lys__L_c + pi_c
Ornithine transport via ABC system (periplasm),WP_179443303_1 or ( WP_005242885_1 and WP_179443303_1 ) or ( WP_005247430_1 and WP_164709508_1 ) or ( WP_005247430_1 and WP_179443303_1 ),ORNabcpp,atp_c + h2o_c + orn_p --> adp_c + h_c + orn_c + pi_c
PUTA3,WP_143767524_1,PUTA3,glu5sa_c + h2o_c + nad_c --> glu__L_c + 2.0 h_c + nadh_c
Benzoylsuccinyl-CoA thiolase,WP_143767471_1,BSCT,coa_c + 4.0 h_c + sbzcoa_c <=> benzcoa_c + succoa_c
Deoxyuridine transport in via proton symport (periplasm),WP_143767469_1,DURIt2pp,duri_p + h_p --> duri_c + h_c
Deoxyuridine transport in via proton symport,WP_143767469_1,DURIt2,duri_e + h_e --> duri_c + h_c
Uridine transport in via proton symport,WP_143767469_1,URIt2,h_e + uri_e --> h_c + uri_c
Adenosine transport in via proton symport (periplasm),WP_143767469_1,ADNt2pp,adn_p + h_p <=> adn_c + h_c
Deoxyinosine transport in via proton symport (periplasm),WP_143767469_1,DINSt2pp,din_p + h_p --> din_c + h_c
Deoxyinosine transport in via proton symport,WP_143767469_1,DINSt2,din_e + h_e --> din_c + h_c
Deoxyguanosine transport in via proton symport (periplasm),WP_143767469_1,DGSNt2pp,dgsn_p + h_p --> dgsn_c + h_c
Uridine transport in via proton symport (periplasm),WP_143767469_1,URIt2pp,h_p + uri_p <=> h_c + uri_c
Deoxyguanosine transport in via proton symport,WP_143767469_1,DGSNt2,dgsn_e + h_e --> dgsn_c + h_c
Deoxycytidine transport in via proton symport (periplasm),WP_143767469_1,DCYTt2pp,dcyt_p + h_p --> dcyt_c + h_c
Deoxycytidine transport in via proton symport,WP_143767469_1,DCYTt2,dcyt_e + h_e --> dcyt_c + h_c
Inosine transport in via proton symport (periplasm),WP_143767469_1,INSt2pp,h_p + ins_p <=> h_c + ins_c
Deoxyadenosine transport in via proton symport (periplasm),WP_143767469_1,DADNt2pp,dad_2_p + h_p --> dad_2_c + h_c
Cytidine transport in via proton symport (periplasm),WP_143767469_1,CYTDt2pp,cytd_p + h_p <=> cytd_c + h_c
Cytidine transport in via proton symport,WP_143767469_1,CYTDt2,cytd_e + h_e --> cytd_c + h_c
Thymidine transport in via proton symport (periplasm),WP_143767469_1,THMDt2pp,h_p + thymd_p <=> h_c + thymd_c
Thymidine transport in via proton symport,WP_143767469_1,THMDt2,h_e + thymd_e --> h_c + thymd_c
Guanosine transport in via proton symport (periplasm),WP_143767469_1,GSNt2pp,gsn_p + h_p --> gsn_c + h_c
Gamma-glutamylcysteine synthetase,WP_143548665_1,GLUCYS,atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c
Iron (III) transport via ABC system (periplasm to cytoplasm),WP_085990787_1 or ( WP_005240579_1 and WP_085990787_1 ),FE3abcpp,atp_c + fe3_p + h2o_c --> adp_c + fe3_c + h_c + pi_c
Thiosulfate transport via ABC system (periplasm),WP_085990787_1 or ( WP_005240575_1 and WP_085990787_1 ),TSULabcpp,atp_c + h2o_c + tsul_p --> adp_c + h_c + pi_c + tsul_c
Sulfite transport via ABC system (periplasm),WP_085990787_1,SO3abcpp,atp_c + h2o_c + so3_p --> adp_c + h_c + pi_c + so3_c
Chromate transport via ABC system (periplasm),WP_085990787_1,CRO4abcpp,atp_c + cro4_p + h2o_c --> adp_c + cro4_c + h_c + pi_c
SKMt2,WP_085990781_1,SKMt2,h_e + skm_e <=> h_c + skm_c
DASYN HP,WP_080578250_1,DASYN_HP,ctp_c + h_c + pa_Hp_c <=> cdpdag_HP_c + ppi_c
Alpha-amylase,WP_080578204_1,AAMYL,14glucan_c --> malthx_c
"3,4DHBZ1t LPAREN pp RPAREN ",WP_080578199_1,3_4DHBZ1t_pp,34dhbz_p + h_p <=> 34dhbz_c + h_c
UHBZ1t LPAREN pp RPAREN ,WP_080578199_1,UHBZ1t_pp,4hbz_p + h_p <=> 4hbz_c + h_c
Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin),WP_080578170_1,RNDR2b,gdp_c + grxrd_c --> dgdp_c + grxox_c + h2o_c
Ribonucleoside-diphosphate reductase (CDP) (glutaredoxin),WP_080578170_1,RNDR3b,cdp_c + grxrd_c --> dcdp_c + grxox_c + h2o_c
Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),WP_080578170_1,RNDR1b,adp_c + grxrd_c --> dadp_c + grxox_c + h2o_c
Ribonucleoside-diphosphate reductase (UDP) (glutaredoxin),WP_080578170_1,RNDR4b,grxrd_c + udp_c --> dudp_c + grxox_c + h2o_c
UDP-N-acetylmuramoyl-L-alanine synthetase,WP_063624754_1,UAMAS,ala__L_c + atp_c + uamr_c --> adp_c + h_c + pi_c + uama_c
L-cysteine,WP_043944116_1,CYS,h2s_c + ser__L_c --> cys__L_c + h2o_c
Guanylate cyclase,WP_043943784_1,GUACYC,gtp_c --> 35cgmp_c + ppi_c
B-galactosidase,WP_043943654_1,LACZ,h2o_c + lcts_c --> gal_c + glc__D_c
GAR transformylase-T,WP_037183117_1,GART,atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c
Lipoate synthase,WP_037183009_1,LIPOS,4fe4s_c + 2.0 amet_c + h_c + nad_c + octapb_c --> 2fe2s_c + 2.0 dad_5_c + 2.0 fe2_c + lipopb_c + 2.0 met__L_c + nadh_c
CAATPS,WP_037182701_1,CAATPS,atp_c + 2.0 ca2_c + h2o_c --> adp_c + 2.0 ca2_e + h_e + pi_c
Gamma-glutamyl-gamma aminobutyric acid dehydrogenase,WP_037182429_1,GGGABADr,ggbutal_c + h2o_c + nadp_c <=> gg4abut_c + 2.0 h_c + nadph_c
4-aminobutyrate/glutamate antiport,WP_037182248_1,GLUABUTt7,4abut_c + glu__L_e <=> 4abut_e + glu__L_c
4-aminobutyrate/glutamate antiport (periplasm),WP_037182248_1,GLUABUTt7pp,4abut_c + glu__L_p <=> 4abut_p + glu__L_c
Prephenate dehydratase,WP_037181750_1,PPNDH,h_c + pphn_c --> co2_c + h2o_c + phpyr_c
Oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase),WP_037181377_1,AKGDb,coa_c + sdhlam_c --> dhlam_c + succoa_c
5 10 methylenetetrahydrofolatereductase  NADPH ,WP_037181361_1,MTHFR3,2.0 h_c + mlthf_c + nadph_c --> 5mthf_c + nadp_c
"5,10-methylenetetrahydrofolate reductase (NADH)",WP_037181361_1,MTHFR2,2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c
"5,10-methylenetetrahydrofolate reductase (NADH)",WP_037181361_1,MTHFR2_1,2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c
Cytochrome oxidase bd (ubiquinol-8: 2 protons),WP_037181097_1 or ( WP_005244367_1 and WP_025431869_1 and WP_025431870_1 and WP_080578207_1 ),CYTBD,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c
Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm),WP_037181097_1,CYTBDpp,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_p + q8_c
Peroxyaminoacrylate reductase,WP_037180756_1,POAACR,nadh_c + poaac_c --> 3amac_c + h2o_c + nad_c
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0),WP_037180448_1,EAR80y,h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0),WP_037180448_1,EAR120y,h_c + nadph_c + tddec2eACP_c --> ddcaACP_c + nadp_c
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0),WP_037180448_1,EAR100y,h_c + nadph_c + tdec2eACP_c --> dcaACP_c + nadp_c
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1),WP_037180448_1,EAR181y,h_c + nadph_c + t3c11vaceACP_c --> nadp_c + octeACP_c
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0),WP_037180448_1,EAR60y,h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0),WP_037180448_1,EAR40y,but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0),WP_037180448_1,EAR180y,h_c + nadph_c + toctd2eACP_c --> nadp_c + ocdcaACP_c
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1),WP_037180448_1,EAR141y,h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1),WP_037180448_1,EAR121y,h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1),WP_037180448_1,EAR161y,h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:0),WP_037180448_1,EAR160y,h_c + nadph_c + tpalm2eACP_c --> nadp_c + palmACP_c
Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0),WP_037180448_1,EAR140y,h_c + nadph_c + tmrs2eACP_c --> myrsACP_c + nadp_c
VNDH 3,WP_037180246_1,VNDH_3,34dhbald_c + h2o_c + nad_c --> 34dhbz_c + 2.0 h_c + nadh_c
VNDH,WP_037180246_1,VNDH,h2o_c + nad_c + vanln_c --> 2.0 h_c + nadh_c + vanlt_c
MMTSAO,WP_037179827_1,MMTSAO,coa_c + mmtsa_c + nad_c --> co2_c + nadh_c + ppcoa_c
D-lactate dehydrogenase,WP_037179823_1,LDH_D,lac__D_c + nad_c <=> h_c + nadh_c + pyr_c
Laminarinase (extracellular),WP_037179298_1,LMNe,14.0 h2o_e + lmn30_e --> 15.0 lmn2_e
Glycine C-acetyltransferase,WP_037179256_1,GLYAT,accoa_c + gly_c <=> 2aobut_c + coa_c
Dihydroorotase,WP_037179235_1,DHORTS,dhor__S_c + h2o_c <=> cbasp_c + h_c
Bis-molybdopterin guanine dinucleotide synthase,WP_037179130_1,BMOGDS2,bmoco1gdp_c + gtp_c + h_c --> bmocogdp_c + ppi_c
Bis-molybdopterin guanine dinucleotide synthase (single GDP),WP_037179130_1,BMOGDS1,bmoco_c + gtp_c + h_c --> bmoco1gdp_c + ppi_c
OXGDC,WP_037179071_1,OXGDC,akg_c + h_c --> co2_c + sucsal_c
Maltose phosphorylase,WP_037179006_1,MPL,malt_c + pi_c --> g1p_B_c + glc__D_c
4-hydroxybutanoyl-CoA dehydratase,WP_025433939_1,4HBCOAH,4hbutcoa_c --> h2o_c + vaccoa_c
Vinylacetyl-CoA Delta-isomerase,WP_025433939_1,VACOAI,vaccoa_c <=> b2coa_c
"D-glucuronate transport via proton symport, reversible",WP_025433886_1 or WP_043943943_1,GLCURt2r,glcur_e + h_e <=> glcur_c + h_c
"D-galacturonate transport via proton symport, reversible",WP_025433886_1 or WP_043943943_1,GALURt2r,galur_e + h_e <=> galur_c + h_c
Sodium transport out via proton antiport (cytoplasm to periplasm),WP_025433874_1,NAt3pp,h_p + na1_c --> h_c + na1_p
Purine-nucleoside phosphorylase (Deoxyguanosine),WP_025433646_1,PUNP4,dgsn_c + pi_c <=> 2dr1p_c + gua_c
Purine-nucleoside phosphorylase (Deoxyinosine),WP_025433646_1,PUNP6,din_c + pi_c <=> 2dr1p_c + hxan_c
Purine-nucleoside phosphorylase (Inosine),WP_025433646_1,PUNP5,ins_c + pi_c <=> hxan_c + r1p_c
Purine-nucleoside phosphorylase (Xanthosine),WP_025433646_1,PUNP7,pi_c + xtsn_c <=> r1p_c + xan_c
Purine-nucleoside phosphorylase (Adenosine),WP_025433646_1,PUNP1,adn_c + pi_c <=> ade_c + r1p_c
Purine-nucleoside phosphorylase (Deoxyadenosine),WP_025433646_1,PUNP2,dad_2_c + pi_c <=> 2dr1p_c + ade_c
Purine-nucleoside phosphorylase (Guanosine),WP_025433646_1,PUNP3,gsn_c + pi_c <=> gua_c + r1p_c
L-arginine transport out via proton antiport (cytoplasm to periplasm),WP_025433626_1,ARGt3pp,arg__L_c + h_p --> arg__L_p + h_c
Choline dehydrogenase  FAD dependent ,WP_025433620_1,CHOLD2,chol_c + fad_c --> betald_c + fadh2_c
ARGt5r,WP_025433611_1,ARGt5r,arg__L_e <=> arg__L_c
LYSt5r,WP_025433611_1,LYSt5r,lys__L_e <=> lys__L_c
ORNt,WP_025433611_1,ORNt,orn_e <=> orn_c
OPAH,WP_025433599_1,OPAH,5oxpro_c + atp_c + 2.0 h2o_c --> adp_c + glu__L_c + h_c + pi_c
Crotonobetainyl-CoA: carnitine CoA transferase,WP_025433593_1,CRNCBCT,crn_c + ctbtcoa_c <=> crncoa_c + ctbt_c
Ydroxyphenylacetate transport in via proton symporter,WP_025433549_1,HPACt2r,4hphac_e + h_e <=> 4hphac_c + h_c
TARTRt7,WP_025433549_1,TARTRt7,succ_c + tartr__L_e <=> succ_e + tartr__L_c
GTP cyclohydrolase II (25drapp),WP_025433534_1,GTPCII2,gtp_c + 3.0 h2o_c --> 25drapp_c + for_c + 2.0 h_c + ppi_c
D-xylose transport in via proton symport (periplasm),WP_025433533_1,XYLt2pp,h_p + xyl__D_p --> h_c + xyl__D_c
Dihydroxy acid dehydratase  2 3 dihydroxy 3 methylpentanoate ,WP_025433531_1,DHAD3,23dhmp_c --> 2o3mpt_c + h2o_c
Alpha ketoglutaratemalate transporter,WP_025433491_1,AKGMAL,akg_c + mal__L_e <=> akg_e + mal__L_c
"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:1)",WP_025433436_1,LPLIPAL2G181,2agpg181_c + h2o_c --> g3pg_c + h_c + ocdcea_c
"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0)",WP_025433436_1,LPLIPAL2E120,2agpe120_c + h2o_c --> ddca_c + g3pe_c + h_c
"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:0)",WP_025433436_1,LPLIPAL2E140,2agpe140_c + h2o_c --> g3pe_c + h_c + ttdca_c
"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:1)",WP_025433436_1,LPLIPAL2E141,2agpe141_c + h2o_c --> g3pe_c + h_c + ttdcea_c
"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:1)",WP_025433436_1,LPLIPAL2E161,2agpe161_c + h2o_c --> g3pe_c + h_c + hdcea_c
"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:1)",WP_025433436_1,LPLIPAL2E181,2agpe181_c + h2o_c --> g3pe_c + h_c + ocdcea_c
"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C12:0)",WP_025433436_1,LPLIPAL2G120,2agpg120_c + h2o_c --> ddca_c + g3pg_c + h_c
"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:0)",WP_025433436_1,LPLIPAL2G140,2agpg140_c + h2o_c --> g3pg_c + h_c + ttdca_c
"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:1)",WP_025433436_1,LPLIPAL2G141,2agpg141_c + h2o_c --> g3pg_c + h_c + ttdcea_c
"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:0)",WP_025433436_1,LPLIPAL2G160,2agpg160_c + h2o_c --> g3pg_c + h_c + hdca_c
"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:1)",WP_025433436_1,LPLIPAL2G161,2agpg161_c + h2o_c --> g3pg_c + h_c + hdcea_c
"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:0)",WP_025433436_1,LPLIPAL2G180,2agpg180_c + h2o_c --> g3pg_c + h_c + ocdca_c
L-alanyl-gamma-glutamate epimerase,WP_025433404_1,ALAGLUE,LalaDglu_c <=> LalaLglu_c
"Protoporphyrinogen oxidase (anaerobic, FAD)",WP_025433380_1,PPPGO4,3.0 fad_c + pppg9_c --> 3.0 fadh2_c + ppp9_c
Glycolate transport via sodium symport (periplasm),WP_025433374_1,GLYCLTt4pp,glyclt_p + na1_p --> glyclt_c + na1_c
NO3t2,WP_025433371_1,NO3t2,h_e + no3_e --> h_c + no3_c
D-galactose transport via ABC system,WP_025433359_1,GALabc,atp_c + gal_e + h2o_c --> adp_c + gal_c + h_c + pi_c
Nitrate transport via ABC system (periplasm),WP_025433347_1,NO3abcpp,atp_c + h2o_c + no3_p --> adp_c + h_c + no3_c + pi_c
HPA monooxygenase,WP_025433337_1 or ( WP_005251125_1 and WP_025433337_1 ),3HPAOX,3hoxpac_c + nadh_c + o2_c --> 34dhpha_c + h2o_c + nad_c
FAD reductase,WP_025433337_1,FADRx,fad_c + h_c + nadh_c --> fadh2_c + nad_c
Glutamine synthetase,WP_025433328_1 or ( WP_005246580_1 and WP_005247755_1 and WP_005247775_1 and WP_025433050_1 ),GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c
Mannonate oxidoreductase,WP_025433324_1,MANAO,mana_c + nad_c <=> fruur_c + h_c + nadh_c
3MBZALDH,WP_025433317_1,3MBZALDH,3mbzalc_c + nad_c --> 3mbzald_c + h_c + nadh_c
4MBZALDH,WP_025433317_1,4MBZALDH,4mbzalc_c + nad_c --> 4mbzald_c + h_c + nadh_c
Succinyl:benzoate CoA transferase,WP_025433310_1,SUCBZT1,bz_c + 4.0 h_c + succoa_c <=> benzcoa_c + succ_c
Succinyl:4-hydroxybenzoate CoA transferase,WP_025433310_1,SUCBZT2,4hbz_c + succoa_c <=> 4hbzcoa_c + succ_c
Salicin transport via PEPPyr  periplasm ,WP_025433305_1,SALCptspp,pep_c + salcn_p --> pyr_c + salcn6p_c
2-dehydro-3-deoxygluconokinase,WP_025433301_1,DDGLK,2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c
2DHGLCK,WP_025433301_1,2DHGLCK,2dhglcn_c + atp_c + 2.0 h_c --> 6p2dhglcn_c + adp_c
Glyoxalate carboligase,WP_025433274_1 or WP_080578309_1,GLXCL,2.0 glx_c + h_c --> 2h3oppan_c + co2_c
Allantoate amidinohydrolase  reversible,WP_025433273_1,ALLTAHr,alltt_c + h2o_c <=> urdglyc_c + urea_c
Uracil transport in via proton symport,WP_025433272_1 or WP_187300167_1,URAt2,h_e + ura_e --> h_c + ura_c
Allantoin transport in via proton symport,WP_025433272_1,ALLTNt2r,alltn_e + h_e <=> alltn_c + h_c
4CMLCL kt,WP_025433264_1,4CMLCL_kt,4cml_c + h_c --> 5odhf2a_c + co2_c
Glucose dehydrogenase (ubiquinone-8 as acceptor) (periplasm),WP_025433244_1,GLCDpp,glc__D_p + h2o_p + q8_c --> glcn_p + h_p + q8h2_c
FMN dependent monooxygenase  hexanesulfonate ,WP_025433229_1,FDMO3_1,fmnRD_c + hexs_c + o2_c --> fmn_c + h2o_c + h_c + hxal_c + so3_c
FMN dependent monooxygenase  taurine ,WP_025433229_1,FDMO4_1,fmnRD_c + o2_c + taur_c --> amacald_c + fmn_c + h2o_c + h_c + so3_c
FMN dependent monooxygenase  butanesulfonate ,WP_025433229_1,FDMO2_1,buts_c + fmnRD_c + o2_c --> btal_c + fmn_c + h2o_c + h_c + so3_c
FmnRD dependent monooxygenase  methanesulfonate ,WP_025433229_1,FDMO_1,fmnRD_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
FMN dependent monooxygenase  isethionate ,WP_025433229_1,FDMO6_1,fmnRD_c + istnt_c + o2_c --> fmn_c + gcald_c + h2o_c + h_c + so3_c
FDMOtau,WP_025433229_1,FDMOtau,fmnh2_c + o2_c + taur_c --> aacald_c + fmn_c + h2o_c + so3_c
FMN dependent monooxygenase  ethanesulfonate ,WP_025433229_1,FDMO1,eths_c + fmnRD_c + o2_c --> acald_c + fmn_c + h2o_c + h_c + so3_c
FMN dependent monooxygenase  sulfoacetate ,WP_025433229_1,FDMO5_1,fmnRD_c + o2_c + sula_c --> fmn_c + glx_c + h2o_c + h_c + so3_c
PXMO,WP_025433214_1,PXMO,h_c + nadh_c + o2_c + p_xyl_c --> 4mbzalc_c + h2o_c + nad_c
XMO,WP_025433214_1,XMO,h_c + nadh_c + o2_c + tol_c --> bzalc_c + h2o_c + nad_c
MXMO,WP_025433214_1,MXMO,h_c + m_xyl_c + nadh_c + o2_c --> 3mbzalc_c + h2o_c + nad_c
MUCCYCI,WP_025433213_1,MUCCYCI,ccmuac_c + h_c <=> mucl_c
N-acetyl-D-mannosamine kinase,WP_025433212_1,AMANK,acmana_c + atp_c --> acmanap_c + adp_c + h_c
Enterochelin transport (secretion),WP_025433202_1,FEENTERtpp,enter_c + h_p --> enter_p + h_c
Thiamine-phosphate diphosphorylase,WP_025433170_1,TMPPP,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c
Porphobilinogen synthase,WP_025433135_1,PPBNGS,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c
O-succinylbenzoate-CoA synthase,WP_025433126_1 or WP_025433404_1,SUCBZS,2shchc_c --> h2o_c + sucbz_c
Pyruvate flavodoxin oxidoreductase,WP_025433092_1 or ( WP_005244090_1 and WP_025433092_1 ),PFOR,coa_c + fldox_c + h_c + pyr_c --> accoa_c + co2_c + fldrd_c
DHPS,WP_025433075_1,DHPS,2ahhmp_c + 4abz_c --> dhpt_c + h2o_c
Pyrimidine oxygenase,WP_025433065_1 or ( WP_005250614_1 and WP_025433065_1 ),PYROX,h_c + nadh_c + o2_c + ura_c --> nad_c + uracp_c
O acetylhomoserine  thiol  lyase,WP_025433060_1,AHSERL2,achms_c + h2s_c --> ac_c + h_c + hcys__L_c
Galactitol transport via PEP:Pyr PTS,WP_025432990_1,GALTpts,galt_e + pep_c --> galt1p_c + pyr_c
N-acetyl-D-mannosamine transport via PTS,WP_025432990_1,ACMANApts,acmana_e + pep_c --> acmanap_c + pyr_c
Mannitol transport via PEP:Pyr PTS,WP_025432990_1,MNLpts,mnl_e + pep_c --> mnl1p_c + pyr_c
D-mannose transport via PEP:Pyr PTS,WP_025432990_1,MANpts,man_e + pep_c --> man6p_c + pyr_c
D-sorbitol transport via PEP:Pyr PTS,WP_025432990_1,SBTpts,pep_c + sbt__D_e --> pyr_c + sbt6p_c
Fructose transport via PEP:Pyr PTS (f6p generating),WP_025432990_1,FRUpts2,fru_e + pep_c --> f6p_c + pyr_c
Fructose transport via PEP:Pyr PTS (f6p generating) (periplasm),WP_025432990_1,FRUpts2pp,fru_p + pep_c --> f6p_c + pyr_c
"D-galactonate transport via proton symport, reversible",WP_025432978_1 or WP_043943943_1,GALCTNt2r,galctn__D_e + h_e <=> galctn__D_c + h_c
D-galactonate transport via proton symport (periplasm),WP_025432978_1,GALCTNt2pp,galctn__D_p + h_p --> galctn__D_c + h_c
Nicotinic acid mononucleotide pyrophosphorylase,WP_025432974_1,NAMNPP,atp_c + h2o_c + nac_c + prpp_c --> adp_c + nicrnt_c + pi_c + ppi_c
NAPRTase,WP_025432974_1,NAPRT,h_c + nac_c + prpp_c --> nicrnt_c + ppi_c
