#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
Un,NZ_NWMZ01000001.1,26092,26832,+,57596012,,COO55_RS00165,WP_120659074.1,246,hypothetical protein
Un,NZ_NWMZ01000001.1,27187,27342,+,58575311,,COO55_RS41425,WP_005257862.1,51,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,28411,28800,+,57596016,,COO55_RS00185,WP_037204117.1,129,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,29251,29943,+,57596017,,COO55_RS00190,WP_120659076.1,230,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,29949,31229,+,57596018,,COO55_RS00195,WP_120661223.1,426,SRPBCC family protein
Un,NZ_NWMZ01000001.1,31226,31594,+,57596019,gvpA,COO55_RS00200,WP_005255135.1,122,MULTISPECIES: gas vesicle structural protein GvpA
Un,NZ_NWMZ01000001.1,31594,32382,+,57596020,,COO55_RS00205,WP_005255132.1,262,GvpL/GvpF family gas vesicle protein
Un,NZ_NWMZ01000001.1,32648,32938,+,57596022,,COO55_RS00215,WP_120659077.1,96,MULTISPECIES: gas vesicle protein
Un,NZ_NWMZ01000001.1,32935,33345,+,57596023,,COO55_RS00220,WP_005255126.1,136,MULTISPECIES: gas vesicle protein
Un,NZ_NWMZ01000001.1,34775,35320,-,57596028,,COO55_RS00245,WP_120659079.1,181,Lrp/AsnC family transcriptional regulator
Un,NZ_NWMZ01000001.1,37068,37697,+,57596030,,COO55_RS00255,WP_120659080.1,209,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,37725,38312,-,57596031,,COO55_RS00260,WP_043787672.1,195,MULTISPECIES: CGNR zinc finger domain-containing protein
Un,NZ_NWMZ01000001.1,40000,40926,+,57596033,,COO55_RS00270,WP_183102267.1,308,zinc ABC transporter substrate-binding protein
Un,NZ_NWMZ01000001.1,40923,41660,+,57596034,,COO55_RS00275,WP_120659081.1,245,metal ABC transporter ATP-binding protein
Un,NZ_NWMZ01000001.1,43326,43802,+,57596037,,COO55_RS00290,WP_120659082.1,158,hypothetical protein
Un,NZ_NWMZ01000001.1,43816,45027,-,57596038,,COO55_RS00295,WP_120659083.1,403,RNA polymerase sigma factor
Un,NZ_NWMZ01000001.1,45029,45388,-,57596039,,COO55_RS00300,WP_005255108.1,119,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,45508,46062,-,57596040,,COO55_RS00305,WP_120659084.1,184,helix-turn-helix transcriptional regulator
Un,NZ_NWMZ01000001.1,46156,46830,+,57596041,,COO55_RS00310,WP_120659085.1,224,AzlC family ABC transporter permease
Un,NZ_NWMZ01000001.1,46827,47150,+,57596042,,COO55_RS00315,WP_120659086.1,107,AzlD domain-containing protein
Un,NZ_NWMZ01000001.1,47168,47992,+,57596043,,COO55_RS00320,WP_016880360.1,274,MULTISPECIES: MBL fold metallo-hydrolase
Un,NZ_NWMZ01000001.1,48053,48853,+,57596044,,COO55_RS00325,WP_120661225.1,266,MULTISPECIES: helix-turn-helix transcriptional regulator
Un,NZ_NWMZ01000001.1,48867,49040,+,57596045,,COO55_RS00330,WP_009480519.1,57,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,49222,50616,+,57596046,,COO55_RS00335,WP_120659087.1,464,NAD(P)/FAD-dependent oxidoreductase
Un,NZ_NWMZ01000001.1,50696,51157,-,57596047,,COO55_RS00340,WP_120661227.1,153,PaaI family thioesterase
Un,NZ_NWMZ01000001.1,51408,52181,-,57596048,,COO55_RS00345,WP_120659088.1,257,hypothetical protein
Un,NZ_NWMZ01000001.1,52367,53836,+,57596049,,COO55_RS00350,WP_120659089.1,489,iron ABC transporter permease
Un,NZ_NWMZ01000001.1,53833,54939,+,57596050,,COO55_RS00355,WP_064080638.1,368,MULTISPECIES: iron chelate uptake ABC transporter family permease subunit
Un,NZ_NWMZ01000001.1,54936,55769,+,57596051,,COO55_RS00360,WP_005573383.1,277,MULTISPECIES: ABC transporter ATP-binding protein
Un,NZ_NWMZ01000001.1,55776,58364,-,57596052,,COO55_RS00365,WP_054248856.1,862,MULTISPECIES: DUF2156 domain-containing protein
Un,NZ_NWMZ01000001.1,58540,58953,+,57596053,,COO55_RS00370,WP_005246077.1,137,MULTISPECIES: BlaI/MecI/CopY family transcriptional regulator
Un,NZ_NWMZ01000001.1,58980,59933,+,57596054,,COO55_RS00375,WP_120659090.1,317,MULTISPECIES: M56 family metallopeptidase
Un,NZ_NWMZ01000001.1,60159,62033,+,57596055,,COO55_RS00380,WP_120659091.1,624,DEAD/DEAH box helicase
Un,NZ_NWMZ01000001.1,62186,63637,+,57596056,gndA,COO55_RS00385,WP_120659092.1,483,NADP-dependent phosphogluconate dehydrogenase
Un,NZ_NWMZ01000001.1,63734,65131,+,57596057,,COO55_RS00390,WP_005255082.1,465,MULTISPECIES: DEAD/DEAH box helicase
Un,NZ_NWMZ01000001.1,65137,66015,+,57596058,,COO55_RS00395,WP_005255080.1,292,MULTISPECIES: DMT family transporter
Un,NZ_NWMZ01000001.1,66019,67455,+,57596059,,COO55_RS00400,WP_054248879.1,478,MULTISPECIES: GuaB1 family IMP dehydrogenase-related protein
Un,NZ_NWMZ01000001.1,67762,69132,+,57596061,,COO55_RS00410,WP_054248878.1,456,MULTISPECIES: HlyC/CorC family transporter
Un,NZ_NWMZ01000001.1,69125,70213,+,57596062,,COO55_RS00415,WP_005566222.1,362,MULTISPECIES: HlyC/CorC family transporter
Un,NZ_NWMZ01000001.1,70218,71078,+,57596063,,COO55_RS00420,WP_120659093.1,286,3-methyladenine DNA glycosylase
Un,NZ_NWMZ01000001.1,71075,72409,+,57596064,,COO55_RS00425,WP_120659094.1,444,CoA transferase
Un,NZ_NWMZ01000001.1,72393,73022,-,57596065,,COO55_RS00430,WP_120659095.1,209,maleylpyruvate isomerase family mycothiol-dependent enzyme
Un,NZ_NWMZ01000001.1,73113,73580,+,57596066,,COO55_RS00435,WP_120659096.1,155,OsmC family protein
Un,NZ_NWMZ01000001.1,73577,74608,+,57596067,,COO55_RS00440,WP_005571017.1,343,nucleoside hydrolase
Un,NZ_NWMZ01000001.1,74597,75601,-,57596068,meaB,COO55_RS00445,WP_005255064.1,334,MULTISPECIES: methylmalonyl Co-A mutase-associated GTPase MeaB
Un,NZ_NWMZ01000001.1,75603,77867,-,57596069,scpA,COO55_RS00450,WP_054248772.1,754,MULTISPECIES: methylmalonyl-CoA mutase
Un,NZ_NWMZ01000001.1,77864,79780,-,57596070,,COO55_RS00455,WP_120659097.1,638,methylmalonyl-CoA mutase
Un,NZ_NWMZ01000001.1,79898,80719,+,57596071,,COO55_RS00460,WP_120659098.1,273,MULTISPECIES: PaaI family thioesterase
Un,NZ_NWMZ01000001.1,80796,81479,+,57596072,,COO55_RS00465,WP_054249024.1,227,MULTISPECIES: TVP38/TMEM64 family protein
Un,NZ_NWMZ01000001.1,81539,82120,+,57596073,,COO55_RS00470,WP_005255056.1,193,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,82117,82644,+,57596074,,COO55_RS00475,WP_120659099.1,175,hypothetical protein
Un,NZ_NWMZ01000001.1,87506,88243,+,57596079,,COO55_RS00500,WP_120659100.1,245,thioesterase
Un,NZ_NWMZ01000001.1,88224,89426,-,57596080,,COO55_RS00505,WP_005571979.1,400,MULTISPECIES: SPFH/Band 7/PHB domain protein
Un,NZ_NWMZ01000001.1,89427,89858,-,57596081,,COO55_RS00510,WP_005241863.1,143,MULTISPECIES: NfeD family protein
Un,NZ_NWMZ01000001.1,89867,90706,-,57596082,,COO55_RS00515,WP_120661229.1,279,DUF3097 domain-containing protein
Un,NZ_NWMZ01000001.1,90774,91583,+,57596083,,COO55_RS00520,WP_120659101.1,269,hypothetical protein
Un,NZ_NWMZ01000001.1,91549,92652,-,57596084,,COO55_RS00525,WP_120659102.1,367,MULTISPECIES: ferrochelatase
Un,NZ_NWMZ01000001.1,92694,93491,-,57596085,fabI,COO55_RS00530,WP_005241845.1,265,MULTISPECIES: enoyl-ACP reductase FabI
Un,NZ_NWMZ01000001.1,93540,94289,-,57596086,,COO55_RS00535,WP_050998704.1,249,MULTISPECIES: beta-ketoacyl-ACP reductase
Un,NZ_NWMZ01000001.1,94353,95333,-,57596087,,COO55_RS00540,WP_005255039.1,326,MULTISPECIES: VWA domain-containing protein
Un,NZ_NWMZ01000001.1,95330,96304,-,57596088,,COO55_RS00545,WP_054248890.1,324,MULTISPECIES: DUF58 domain-containing protein
Un,NZ_NWMZ01000001.1,96301,97476,-,57596089,,COO55_RS00550,WP_005565743.1,391,MULTISPECIES: MoxR family ATPase
Un,NZ_NWMZ01000001.1,97681,99180,-,57596090,,COO55_RS00555,WP_005565744.1,499,MULTISPECIES: C40 family peptidase
Un,NZ_NWMZ01000001.1,99562,100167,-,57596091,,COO55_RS00560,WP_005565745.1,201,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,100474,103278,+,57596092,acnA,COO55_RS00565,WP_005255034.1,934,MULTISPECIES: aconitate hydratase AcnA
Un,NZ_NWMZ01000001.1,103486,104052,+,57596093,,COO55_RS00570,WP_005241827.1,188,MULTISPECIES: TetR/AcrR family transcriptional regulator
Un,NZ_NWMZ01000001.1,104077,104292,-,57596094,,COO55_RS00575,WP_005255033.1,71,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,106629,107777,+,57596096,,COO55_RS00585,WP_005565748.1,382,lycopene beta-cyclase
Un,NZ_NWMZ01000001.1,107809,108705,+,57596097,,COO55_RS00590,WP_005565749.1,298,MULTISPECIES: Ku protein
Un,NZ_NWMZ01000001.1,108771,109190,-,57596098,,COO55_RS00595,WP_005565751.1,139,MULTISPECIES: metal-sulfur cluster assembly factor
Un,NZ_NWMZ01000001.1,109187,109702,-,57596099,,COO55_RS00600,WP_043789308.1,171,MULTISPECIES: SUF system NifU family Fe-S cluster assembly protein
Un,NZ_NWMZ01000001.1,109699,110958,-,57596100,,COO55_RS00605,WP_005565753.1,419,MULTISPECIES: cysteine desulfurase
Un,NZ_NWMZ01000001.1,110965,111774,-,57596101,sufC,COO55_RS00610,WP_005255023.1,269,MULTISPECIES: Fe-S cluster assembly ATPase SufC
Un,NZ_NWMZ01000001.1,111820,113049,-,57596102,sufD,COO55_RS00615,WP_005565754.1,409,MULTISPECIES: Fe-S cluster assembly protein SufD
Un,NZ_NWMZ01000001.1,113049,114509,-,57596103,sufB,COO55_RS00620,WP_005565756.1,486,MULTISPECIES: Fe-S cluster assembly protein SufB
Un,NZ_NWMZ01000001.1,114605,115384,-,57596104,,COO55_RS00625,WP_183102268.1,259,helix-turn-helix domain-containing protein
Un,NZ_NWMZ01000001.1,115487,117271,+,57596105,mptB,COO55_RS00630,WP_005565761.1,594,"MULTISPECIES: polyprenol phosphomannose-dependent alpha 1,6 mannosyltransferase MptB"
Un,NZ_NWMZ01000001.1,117278,118222,+,57596106,,COO55_RS00635,WP_037203409.1,314,MULTISPECIES: ABC transporter ATP-binding protein
Un,NZ_NWMZ01000001.1,118219,119019,+,57596107,,COO55_RS00640,WP_007300659.1,266,MULTISPECIES: ABC transporter permease
Un,NZ_NWMZ01000001.1,119016,120461,+,57596108,,COO55_RS00645,WP_005565767.1,481,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,120531,121493,+,57596109,,COO55_RS00650,WP_065490998.1,320,heme A synthase
Un,NZ_NWMZ01000001.1,121490,121855,-,57596110,,COO55_RS00655,WP_005565772.1,121,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,121936,122901,+,57596111,,COO55_RS00660,WP_005565774.1,321,MULTISPECIES: quinone oxidoreductase
Un,NZ_NWMZ01000001.1,122960,123943,-,57596112,,COO55_RS00665,WP_005255013.1,327,MULTISPECIES: protoheme IX farnesyltransferase
Un,NZ_NWMZ01000001.1,126274,127398,+,57596114,tal,COO55_RS00675,WP_005573327.1,374,transaldolase
Un,NZ_NWMZ01000001.1,127402,128946,+,57596115,,COO55_RS00680,WP_054248525.1,514,MULTISPECIES: glucose-6-phosphate dehydrogenase
Un,NZ_NWMZ01000001.1,128947,129858,+,57596116,opcA,COO55_RS00685,WP_009480448.1,303,MULTISPECIES: glucose-6-phosphate dehydrogenase assembly protein OpcA
Un,NZ_NWMZ01000001.1,129851,130594,+,57596117,pgl,COO55_RS00690,WP_005564790.1,247,MULTISPECIES: 6-phosphogluconolactonase
Un,NZ_NWMZ01000001.1,130913,133669,-,57596118,ppc,COO55_RS00695,WP_120659104.1,918,MULTISPECIES: phosphoenolpyruvate carboxylase
Un,NZ_NWMZ01000001.1,133716,133949,-,57596119,secG,COO55_RS00700,WP_005241788.1,77,MULTISPECIES: preprotein translocase subunit SecG
Un,NZ_NWMZ01000001.1,134075,134860,-,57596120,,COO55_RS00705,WP_005262267.1,261,MULTISPECIES: triose-phosphate isomerase
Un,NZ_NWMZ01000001.1,134864,136075,-,57596121,,COO55_RS00710,WP_005564784.1,403,MULTISPECIES: phosphoglycerate kinase
Un,NZ_NWMZ01000001.1,136093,137112,-,57596122,gap,COO55_RS00715,WP_005241784.1,339,MULTISPECIES: type I glyceraldehyde-3-phosphate dehydrogenase
Un,NZ_NWMZ01000001.1,137375,138358,-,57596123,whiA,COO55_RS00720,WP_005262275.1,327,MULTISPECIES: DNA-binding protein WhiA
Un,NZ_NWMZ01000001.1,138349,139374,-,57596124,yvcK,COO55_RS00725,WP_120659105.1,341,uridine diphosphate-N-acetylglucosamine-binding protein YvcK
Un,NZ_NWMZ01000001.1,139371,140237,-,57596125,rapZ,COO55_RS00730,WP_050998569.1,288,MULTISPECIES: RNase adapter RapZ
Un,NZ_NWMZ01000001.1,140282,142465,-,57596126,uvrC,COO55_RS00735,WP_005568407.1,727,excinuclease ABC subunit UvrC
Un,NZ_NWMZ01000001.1,142534,142986,-,57596127,,COO55_RS00740,WP_120659106.1,150,PH domain-containing protein
Un,NZ_NWMZ01000001.1,143000,143491,-,57596128,,COO55_RS00745,WP_005241766.1,163,"MULTISPECIES: 6,7-dimethyl-8-ribityllumazine synthase"
Un,NZ_NWMZ01000001.1,143488,144741,-,57596129,,COO55_RS00750,WP_009480441.1,417,"MULTISPECIES: bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II"
Un,NZ_NWMZ01000001.1,144822,145430,-,57596130,,COO55_RS00755,WP_105418502.1,202,riboflavin synthase
Un,NZ_NWMZ01000001.1,145442,146494,-,57596131,ribD,COO55_RS00760,WP_120659107.1,350,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD
Un,NZ_NWMZ01000001.1,146524,147207,-,57596132,rpe,COO55_RS00765,WP_005241758.1,227,MULTISPECIES: ribulose-phosphate 3-epimerase
Un,NZ_NWMZ01000001.1,147266,147604,+,57596133,,COO55_RS00770,WP_120659108.1,112,MmcQ/YjbR family DNA-binding protein
Un,NZ_NWMZ01000001.1,147666,148523,-,57596134,,COO55_RS00775,WP_016880326.1,285,MULTISPECIES: mycofactocin-coupled SDR family oxidoreductase
Un,NZ_NWMZ01000001.1,148653,150080,-,57596135,,COO55_RS00780,WP_011598870.1,475,MULTISPECIES: methyltransferase
Un,NZ_NWMZ01000001.1,150077,151000,-,57596136,,COO55_RS00785,WP_120661231.1,307,methionyl-tRNA formyltransferase
Un,NZ_NWMZ01000001.1,151334,152311,-,57596137,,COO55_RS00790,WP_120659109.1,325,alpha/beta fold hydrolase
Un,NZ_NWMZ01000001.1,152410,153066,-,57596138,,COO55_RS00795,WP_105421831.1,218,PadR family transcriptional regulator
Un,NZ_NWMZ01000001.1,153203,154630,-,57596139,rox,COO55_RS00800,WP_120659110.1,475,rifampin monooxygenase
Un,NZ_NWMZ01000001.1,154803,156821,-,57596140,,COO55_RS00805,WP_120659111.1,672,primosomal protein N\\'
Un,NZ_NWMZ01000001.1,156868,158082,-,57596141,,COO55_RS00810,WP_120659112.1,404,MULTISPECIES: methionine adenosyltransferase
Un,NZ_NWMZ01000001.1,158215,159519,-,57596142,coaBC,COO55_RS00815,WP_120659113.1,434,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
Un,NZ_NWMZ01000001.1,159534,159839,-,57596143,,COO55_RS00820,WP_005241734.1,101,MULTISPECIES: DNA-directed RNA polymerase subunit omega
Un,NZ_NWMZ01000001.1,159881,160504,-,57596144,gmk,COO55_RS00825,WP_011598864.1,207,MULTISPECIES: guanylate kinase
Un,NZ_NWMZ01000001.1,160513,160833,-,57596145,,COO55_RS00830,WP_005262298.1,106,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,160960,161799,-,57596146,pyrF,COO55_RS00835,WP_183102180.1,279,orotidine-5\\'-phosphate decarboxylase
Un,NZ_NWMZ01000001.1,161796,165164,-,57596147,carB,COO55_RS00840,WP_120659115.1,1122,carbamoyl-phosphate synthase large subunit
Un,NZ_NWMZ01000001.1,166320,166886,-,57596149,,COO55_RS00850,WP_120659116.1,188,transporter
Un,NZ_NWMZ01000001.1,166883,168226,-,57596150,,COO55_RS00855,WP_120659117.1,447,dihydroorotase
Un,NZ_NWMZ01000001.1,168223,169167,-,57596151,,COO55_RS00860,WP_005572576.1,314,MULTISPECIES: aspartate carbamoyltransferase catalytic subunit
Un,NZ_NWMZ01000001.1,169168,169797,-,57596152,pyrR,COO55_RS00865,WP_005572577.1,209,MULTISPECIES: bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR
Un,NZ_NWMZ01000001.1,169938,170447,-,57596153,nusB,COO55_RS00870,WP_005241711.1,169,MULTISPECIES: transcription antitermination factor NusB
Un,NZ_NWMZ01000001.1,170448,171011,-,57596154,efp,COO55_RS00875,WP_005241702.1,187,MULTISPECIES: elongation factor P
Un,NZ_NWMZ01000001.1,171046,172149,-,57596155,,COO55_RS00880,WP_005572578.1,367,MULTISPECIES: aminopeptidase P family protein
Un,NZ_NWMZ01000001.1,172286,173032,+,57596156,,COO55_RS00885,WP_005572579.1,248,MULTISPECIES: B-4DMT family transporter
Un,NZ_NWMZ01000001.1,173121,174233,-,57596157,,COO55_RS00890,WP_007295895.1,370,MULTISPECIES: 3-dehydroquinate synthase
Un,NZ_NWMZ01000001.1,174299,174805,-,57596158,,COO55_RS00895,WP_005241678.1,168,MULTISPECIES: shikimate kinase
Un,NZ_NWMZ01000001.1,174844,176031,-,57596159,aroC,COO55_RS00900,WP_120659118.1,395,chorismate synthase
Un,NZ_NWMZ01000001.1,176107,176766,-,57596160,,COO55_RS00905,WP_064080204.1,219,MULTISPECIES: prepilin peptidase
Un,NZ_NWMZ01000001.1,176801,177628,-,57596161,,COO55_RS00910,WP_054248842.1,275,MULTISPECIES: shikimate dehydrogenase
Un,NZ_NWMZ01000001.1,177618,179327,-,57596162,,COO55_RS00915,WP_054248843.1,569,endolytic transglycosylase MltG
Un,NZ_NWMZ01000001.1,179324,179860,-,57596163,ruvX,COO55_RS00920,WP_039950486.1,178,MULTISPECIES: Holliday junction resolvase RuvX
Un,NZ_NWMZ01000001.1,179863,182535,-,57596164,alaS,COO55_RS00925,WP_005573023.1,890,MULTISPECIES: alanine--tRNA ligase
Un,NZ_NWMZ01000001.1,182658,184091,-,57596165,,COO55_RS00930,WP_005262330.1,477,MULTISPECIES: replication-associated recombination protein A
Un,NZ_NWMZ01000001.1,184146,185321,-,57596166,,COO55_RS00935,WP_043793408.1,391,kinase
Un,NZ_NWMZ01000001.1,185387,186337,-,57596167,,COO55_RS00940,WP_005573021.1,316,MULTISPECIES: transglutaminase family protein
Un,NZ_NWMZ01000001.1,186334,188913,-,57596168,,COO55_RS00945,WP_064080038.1,859,circularly permuted type 2 ATP-grasp protein
Un,NZ_NWMZ01000001.1,188913,189884,-,57596169,,COO55_RS00950,WP_005574240.1,323,MULTISPECIES: DUF389 domain-containing protein
Un,NZ_NWMZ01000001.1,189955,191763,-,57596170,aspS,COO55_RS00955,WP_005574242.1,602,MULTISPECIES: aspartate--tRNA ligase
Un,NZ_NWMZ01000001.1,191907,192833,+,57596171,,COO55_RS00960,WP_005574245.1,308,MULTISPECIES: neutral zinc metallopeptidase
Un,NZ_NWMZ01000001.1,192899,193525,+,57596172,,COO55_RS00965,WP_005262343.1,208,MULTISPECIES: helix-turn-helix domain-containing protein
Un,NZ_NWMZ01000001.1,193528,194244,+,57596173,,COO55_RS00970,WP_005574247.1,238,hypothetical protein
Un,NZ_NWMZ01000001.1,194262,194717,-,57596174,,COO55_RS00975,WP_043793763.1,151,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,194843,195265,+,57596175,,COO55_RS00980,WP_005574251.1,140,MULTISPECIES: PPOX class F420-dependent oxidoreductase
Un,NZ_NWMZ01000001.1,195252,196295,-,57596176,,COO55_RS00985,WP_005574252.1,347,MULTISPECIES: Rv2578c family radical SAM protein
Un,NZ_NWMZ01000001.1,196404,196802,+,57596177,,COO55_RS00990,WP_005574254.1,132,MULTISPECIES: RidA family protein
Un,NZ_NWMZ01000001.1,198023,198313,+,57596179,,COO55_RS01000,WP_005262351.1,96,MULTISPECIES: ANTAR domain-containing protein
Un,NZ_NWMZ01000001.1,198319,198693,+,57596180,,COO55_RS01005,WP_005574257.1,124,MULTISPECIES: WhiB family transcriptional regulator
Un,NZ_NWMZ01000001.1,199293,199910,-,57596181,,COO55_RS01010,WP_005574258.1,205,MULTISPECIES: sigma-70 family RNA polymerase sigma factor
Un,NZ_NWMZ01000001.1,200387,201196,-,57596183,,COO55_RS01020,WP_005574260.1,269,MULTISPECIES: ABC transporter permease
Un,NZ_NWMZ01000001.1,201193,202119,-,57596184,,COO55_RS01025,WP_054247873.1,308,MULTISPECIES: ATP-binding cassette domain-containing protein
Un,NZ_NWMZ01000001.1,202355,203611,-,57596185,,COO55_RS01030,WP_052024008.1,418,MULTISPECIES: NAD(P)-binding domain-containing protein
Un,NZ_NWMZ01000001.1,203713,204582,+,57596186,,COO55_RS01035,WP_120659119.1,289,MULTISPECIES: metalloregulator ArsR/SmtB family transcription factor
Un,NZ_NWMZ01000001.1,204608,205138,+,57596187,,COO55_RS01040,WP_005568905.1,176,MULTISPECIES: DinB family protein
Un,NZ_NWMZ01000001.1,205196,206275,-,57596188,,COO55_RS01045,WP_043790857.1,359,DnaJ domain-containing protein
Un,NZ_NWMZ01000001.1,206361,207032,-,57596189,grpE,COO55_RS01050,WP_005568903.1,223,MULTISPECIES: nucleotide exchange factor GrpE
Un,NZ_NWMZ01000001.1,207029,208876,-,57596190,dnaK,COO55_RS01055,WP_005568902.1,615,MULTISPECIES: molecular chaperone DnaK
Un,NZ_NWMZ01000001.1,209124,209453,-,57596191,,COO55_RS01060,WP_005568901.1,109,MULTISPECIES: glyoxalase/bleomycin resistance/dioxygenase family protein
Un,NZ_NWMZ01000001.1,209748,210032,+,57596192,,COO55_RS01065,WP_120659120.1,94,hypothetical protein
Un,NZ_NWMZ01000001.1,210205,212268,+,57596193,,COO55_RS01070,WP_120659121.1,687,penicillin-binding protein
Un,NZ_NWMZ01000001.1,212512,213267,-,57596194,,COO55_RS01075,WP_054246334.1,251,MULTISPECIES: ABC transporter permease
Un,NZ_NWMZ01000001.1,213264,214328,-,57596195,,COO55_RS01080,WP_054246347.1,354,MULTISPECIES: ATP-binding cassette domain-containing protein
Un,NZ_NWMZ01000001.1,215366,215986,-,57596197,,COO55_RS01090,WP_183102181.1,206,methyltransferase domain-containing protein
Un,NZ_NWMZ01000001.1,216763,217680,-,57596199,,COO55_RS01100,WP_043790838.1,305,MULTISPECIES: alpha/beta hydrolase
Un,NZ_NWMZ01000001.1,218022,219344,-,57596200,,COO55_RS01105,WP_120659122.1,440,class I SAM-dependent methyltransferase
Un,NZ_NWMZ01000001.1,219622,219882,+,57596201,,COO55_RS01110,WP_037206268.1,86,MULTISPECIES: acyl-CoA-binding protein
Un,NZ_NWMZ01000001.1,220099,221103,-,57596203,,COO55_RS01120,WP_005568890.1,334,MULTISPECIES: AraC family transcriptional regulator
Un,NZ_NWMZ01000001.1,221344,222702,-,57596204,,COO55_RS01125,WP_120661235.1,452,IS4 family transposase
Un,NZ_NWMZ01000001.1,222927,223961,-,57596205,,COO55_RS01130,WP_005568889.1,344,carbon-nitrogen hydrolase family protein
Un,NZ_NWMZ01000001.1,223961,226336,-,57596206,,COO55_RS01135,WP_120661237.1,791,FAD-dependent monooxygenase
Un,NZ_NWMZ01000001.1,226390,226800,-,57596207,,COO55_RS01140,WP_005568887.1,136,MULTISPECIES: acyl-CoA thioesterase
Un,NZ_NWMZ01000001.1,226999,228111,+,57596208,,COO55_RS01145,WP_054246337.1,370,MULTISPECIES: cupin domain-containing protein
Un,NZ_NWMZ01000001.1,228159,229055,+,57596209,,COO55_RS01150,WP_005568885.1,298,MULTISPECIES: fumarylacetoacetate hydrolase family protein
Un,NZ_NWMZ01000001.1,229137,229880,+,57596210,,COO55_RS01155,WP_120661239.1,247,MULTISPECIES: Asp/Glu racemase
