Gene ID (RS),Gene ID (LPD),Annotation
PD630_RS00005,"Pd630_LPD00001	",chromosomal replication initiator protein DnaA
PD630_RS00300,"Pd630_LPD00063	",antibiotic biosynthesis monooxygenase
PD630_RS00305,"Pd630_LPD00064	",carboxymethylenebutenolidase
PD630_RS00310,"Pd630_LPD00065	",molecular chaperone
PD630_RS00315,"Pd630_LPD00066	",molecular chaperone
PD630_RS00320,"Pd630_LPD00067	",phosphoglycerate kinase
PD630_RS00325,"Pd630_LPD00068	",alpha/beta hydrolase
PD630_RS00330,"Pd630_LPD00069	",membrane protein
PD630_RS00335,"Pd630_LPD00070	",lysine--tRNA ligase
PD630_RS00340,"Pd630_LPD00071	",RNA-binding protein S4
PD630_RS00345,"Pd630_LPD00072	",beta-Ala-His dipeptidase
PD630_RS00350,"Pd630_LPD00073	",hypothetical protein
PD630_RS00355,"Pd630_LPD00074	",amino acid:proton antiporter
PD630_RS00360,"Pd630_LPD00075	",ribonuclease
PD630_RS00365,"Pd630_LPD00076	",NAD(P)-dependent oxidoreductase
PD630_RS00370,"Pd630_LPD00077	",TetR family transcriptional regulator
PD630_RS00375,"Pd630_LPD00078	",hypothetical protein
PD630_RS00380,"Pd630_LPD00079	",L-aspartate oxidase
PD630_RS00385,"Pd630_LPD00080	",IclR family transcriptional regulator
PD630_RS00390,"Pd630_LPD00081	",acetyl-CoA carboxylase
PD630_RS00395,"Pd630_LPD00082	",hypothetical protein
PD630_RS00400,"Pd630_LPD00083	",methylmalonyl-CoA carboxyltransferase
PD630_RS00405,"Pd630_LPD00084	",hypothetical protein
PD630_RS00410,"Pd630_LPD00085	",MerR family transcriptional regulator
PD630_RS00415,"Pd630_LPD00086	",AMP-dependent synthetase
PD630_RS00420,"Pd630_LPD00087	",MFS transporter
PD630_RS00425,"Pd630_LPD00088	",AraC family transcriptional regulator
PD630_RS00430,"Pd630_LPD00089	",hypothetical protein
PD630_RS00435,"Pd630_LPD00090	",hypothetical protein
PD630_RS00440,"Pd630_LPD00091	",hypothetical protein
PD630_RS00445,"Pd630_LPD00092	",ion channel family protein
PD630_RS00450,"Pd630_LPD00093	",membrane protein
PD630_RS00455,"Pd630_LPD00094	",nucleotide pyrophosphatase
PD630_RS00460,"Pd630_LPD00095	",diacylglycerol kinase
PD630_RS00465,"Pd630_LPD00096	",hypothetical protein
PD630_RS00470,"Pd630_LPD00097	",sodium-independent anion transporter
PD630_RS00475,"Pd630_LPD00098	",metal-transporting ATPase
PD630_RS00480,"Pd630_LPD00099	",polyphosphate kinase 2
PD630_RS00485,"Pd630_LPD00100	",hypothetical protein
PD630_RS00490,"Pd630_LPD00101	",hypothetical protein
PD630_RS00495,"Pd630_LPD00102	",hypothetical protein
PD630_RS00500,"Pd630_LPD00103	",membrane protein
PD630_RS00505,"Pd630_LPD00104	",membrane protein
PD630_RS00510,"Pd630_LPD00105	",poly(3-hydroxyalkanoate) depolymerase
PD630_RS00515,"Pd630_LPD00106	",MaoC family dehydratase
PD630_RS00520,"Pd630_LPD00107	",poly(3-hydroxyalkanoate) synthetase
PD630_RS00525,"Pd630_LPD00108	",long-chain-fatty-acid--CoA ligase
PD630_RS00530,"Pd630_LPD00109	",succinyl-CoA--3-ketoacid-CoA transferase
PD630_RS00535,"Pd630_LPD00110	",succinyl-CoA--3-ketoacid-CoA transferase
PD630_RS00540,"Pd630_LPD00111	",alpha/beta hydrolase
PD630_RS00545,"Pd630_LPD00112	",MFS transporter
PD630_RS00550,"Pd630_LPD00113	",3-keto-5-aminohexanoate cleavage protein
PD630_RS00555,"Pd630_LPD00114	",taurine dioxygenase
PD630_RS00560,"Pd630_LPD00115	",quinone oxidoreductase
PD630_RS00565,"Pd630_LPD00116	",AraC family transcriptional regulator
PD630_RS00570,"Pd630_LPD00117	",N-acetyltransferase
PD630_RS00575,"Pd630_LPD00118	",MFS transporter
PD630_RS00580,"Pd630_LPD00119	",2%2C5-dioxovalerate dehydrogenase
PD630_RS00585,"Pd630_LPD00120	",5-dehydro-4-deoxyglucarate dehydratase
PD630_RS00590,"Pd630_LPD00121	",glucarate dehydratase
PD630_RS00595,"Pd630_LPD00122	",LysR family transcriptional regulator
PD630_RS00600,"Pd630_LPD00123	",carboxymuconolactone decarboxylase family protein
PD630_RS00605,"Pd630_LPD00124	",C4-dicarboxylate ABC transporter
PD630_RS00610,"Pd630_LPD00125	",AsnC family transcriptional regulator
PD630_RS00615,"Pd630_LPD00126	",3-isopropylmalate dehydratase large subunit
PD630_RS00620,"Pd630_LPD00127	",3-isopropylmalate dehydratase small subunit
PD630_RS00625,"Pd630_LPD00128	",methyltransferase
PD630_RS00630,"Pd630_LPD00129	",2-oxoacid ferredoxin oxidoreductase
PD630_RS00635,"Pd630_LPD00130	",acyl-CoA dehydrogenase
PD630_RS00640,"Pd630_LPD00131	",stearoyl-CoA 9-desaturase
PD630_RS00645,"Pd630_LPD00132	",3-(3-hydroxyphenyl)propionate hydroxylase
PD630_RS00650,"Pd630_LPD00133	",invasion protein
PD630_RS00655,none,acyl-CoA synthetase (pseudogene)
PD630_RS00660,"Pd630_LPD00136	",fumarylacetoacetase
PD630_RS00665,"Pd630_LPD00137	",2%2C3-dihydroxybiphenyl 1%2C2-dioxygenase
PD630_RS00670,"Pd630_LPD00138	",hypothetical protein
PD630_RS00675,"Pd630_LPD00139	",TetR family transcriptional regulator
PD630_RS00680,"Pd630_LPD00140	",hypothetical protein
PD630_RS00685,"Pd630_LPD00141	",sodium:proton antiporter
PD630_RS00690,"Pd630_LPD00142	",ABC transporter substrate-binding protein
PD630_RS00695,"Pd630_LPD00143	",hypothetical protein
PD630_RS41705,none,hypothetical protein
PD630_RS00705,"Pd630_LPD00145	",hypothetical protein
PD630_RS00710,"Pd630_LPD00146	",3-(3-hydroxyphenyl)propionate hydroxylase
PD630_RS00715,"Pd630_LPD00147	",fumarylacetoacetate hydrolase
PD630_RS00720,"Pd630_LPD00148	",DUF4440 domain-containing protein
PD630_RS00725,"Pd630_LPD00149	",hypothetical protein
PD630_RS00730,"Pd630_LPD00150	",MFS transporter
PD630_RS00735,"Pd630_LPD00151	",hypothetical protein
PD630_RS00740,"Pd630_LPD00152	",IclR family transcriptional regulator
PD630_RS00745,"Pd630_LPD00153	",hypothetical protein
PD630_RS00750,none,hypothetical protein
PD630_RS00755,none,hypothetical protein
PD630_RS00760,"Pd630_LPD00157	",hypothetical protein
PD630_RS00765,"Pd630_LPD00158	",myo-inositol 2-dehydrogenase
PD630_RS00770,none,protein kinase
PD630_RS00775,"Pd630_LPD00160	",guanine deaminase
PD630_RS00780,"Pd630_LPD00161	",hypothetical protein
PD630_RS00785,"Pd630_LPD00162	",cytochrome P450
PD630_RS00790,"Pd630_LPD00163	",SAM-dependent methyltransferase
PD630_RS00795,"Pd630_LPD00164	",MFS transporter
PD630_RS00800,"Pd630_LPD00165	",TetR family transcriptional regulator
PD630_RS00805,"Pd630_LPD00166	",o-succinylbenzoate--CoA ligase
PD630_RS00810,"Pd630_LPD00167	",acyl-CoA dehydrogenase
PD630_RS00815,"Pd630_LPD00168	",membrane protein
PD630_RS41710,none,hypothetical protein (pseudogene)
PD630_RS00820,"Pd630_LPD00169	",amide hydrolase
PD630_RS00825,"Pd630_LPD00170	",hypothetical protein
PD630_RS00830,"Pd630_LPD00171	",anti-sigma factor
PD630_RS00835,"Pd630_LPD00172	",RNA polymerase sigma24 factor
PD630_RS00840,"Pd630_LPD00174	",AraC family transcriptional regulator
PD630_RS00845,"Pd630_LPD00175	",glyoxalase
PD630_RS00850,"Pd630_LPD00176	",daunorubicin resistance protein DrrC
PD630_RS00855,"Pd630_LPD00177	",hypothetical protein
PD630_RS00860,"Pd630_LPD00178	",catechol 2%2C3-dioxygenase
PD630_RS00865,"Pd630_LPD00179	",4-oxalomesaconate tautomerase
PD630_RS00870,"Pd630_LPD00180	",4-carboxy-4-hydroxy-2-oxoadipate aldolase/oxaloacetate decarboxylase
PD630_RS00875,"Pd630_LPD00181	",GlcNAc-PI de-N-acetylase
PD630_RS00880,"Pd630_LPD00182	",2-pyrone-4%2C6-dicarboxylate hydrolase
PD630_RS00885,"Pd630_LPD00183	",MFS transporter
PD630_RS00890,"Pd630_LPD00184	",MFS transporter
PD630_RS00895,"Pd630_LPD00185	",GntR family transcriptional regulator
PD630_RS00900,"Pd630_LPD00186	",6-phosphogluconate dehydrogenase
PD630_RS00905,"Pd630_LPD00187	",1%2C4-butanediol diacrylate esterase
PD630_RS00910,"Pd630_LPD00188	",RNA polymerase subunit sigma-24
PD630_RS00915,"Pd630_LPD00189	",transcription initiation protein
PD630_RS00920,"Pd630_LPD00190	",WhiB family transcriptional regulator
PD630_RS00925,"Pd630_LPD00191	",short-chain dehydrogenase
PD630_RS00930,"Pd630_LPD00192	",MFS transporter
PD630_RS00935,"Pd630_LPD00193	",transketolase
PD630_RS00940,"Pd630_LPD00194	",transketolase
PD630_RS00945,"Pd630_LPD00195	",GntR family transcriptional regulator
PD630_RS00950,"Pd630_LPD00196	",isopenicillin-N N-acyltransferase
PD630_RS00955,"Pd630_LPD00198	",nitrate reductase
PD630_RS00960,"Pd630_LPD00200	",LacI family transcriptional regulator
PD630_RS00965,"Pd630_LPD00201	",protein kinase
PD630_RS00970,"Pd630_LPD00202	",MFS transporter
PD630_RS00975,"Pd630_LPD00204	",amidohydrolase
PD630_RS00980,"Pd630_LPD00205	",hypothetical protein
PD630_RS00985,"Pd630_LPD00206	",hypothetical protein
PD630_RS00990,"Pd630_LPD00207	",hypothetical protein
PD630_RS00995,"Pd630_LPD00208	",4-oxalomesaconate hydratase
PD630_RS01000,"Pd630_LPD00209	",aldolase
PD630_RS01005,"Pd630_LPD00210	",carbon monoxide dehydrogenase subunit G
PD630_RS01010,"Pd630_LPD00211	",hypothetical protein
PD630_RS01015,"Pd630_LPD00212	",hydrolase
PD630_RS01020,"Pd630_LPD00213	",ABC transporter substrate-binding protein
PD630_RS01025,"Pd630_LPD00214	",ABC transporter permease
PD630_RS01030,"Pd630_LPD00215	",ABC transporter ATP-binding protein
PD630_RS01035,"Pd630_LPD00216	",GntR family transcriptional regulator
PD630_RS01040,"Pd630_LPD00217	",flavin oxidoreductase
PD630_RS01045,"Pd630_LPD00218	",cupin
PD630_RS01050,none,4-hydroxyphenylacetate 3-hydroxylase
PD630_RS41715,none,hypothetical protein (pseudogene)
PD630_RS01055,"Pd630_LPD00220	",apolipoprotein N-acyltransferase
PD630_RS01060,"Pd630_LPD00221	",GntR family transcriptional regulator
PD630_RS01065,"Pd630_LPD00222	",MFS transporter
PD630_RS01070,"Pd630_LPD00223	",amidohydrolase
PD630_RS01075,"Pd630_LPD00224	",tetracycline repressor
PD630_RS01080,"Pd630_LPD00225	",amino acid transporter
PD630_RS01085,"Pd630_LPD00226	",hypothetical protein
PD630_RS01090,"Pd630_LPD00227	",TetR family transcriptional regulator
PD630_RS01095,"Pd630_LPD00228	",cholesterol oxidase
PD630_RS01100,"Pd630_LPD00229	",hypothetical protein
PD630_RS01105,"Pd630_LPD00230	",L-serine ammonia-lyase
PD630_RS01110,"Pd630_LPD00231	",peptidase M20
PD630_RS01115,"Pd630_LPD00232	",membrane protein
PD630_RS01120,"Pd630_LPD00233	",transcriptional regulator
PD630_RS01125,"Pd630_LPD00234	",hypothetical protein
PD630_RS01130,"Pd630_LPD00235	",nucleoside/nucleotide kinase family protein
PD630_RS01135,"Pd630_LPD00236	",inositol 2-dehydrogenase
PD630_RS01140,none,oxidoreductase (pseudogene)
PD630_RS01145,"Pd630_LPD00239	",universal stress protein
PD630_RS01150,"Pd630_LPD00240	",MFS transporter
PD630_RS01155,"Pd630_LPD00241	",TetR family transcriptional regulator
PD630_RS01160,"Pd630_LPD00242	",enoyl-CoA hydratase
PD630_RS01165,"Pd630_LPD00243	",acetyl-CoA acetyltransferase
PD630_RS01170,"Pd630_LPD00244	",succinyl-CoA--3-ketoacid-CoA transferase
PD630_RS01175,"Pd630_LPD00245	",succinyl-CoA--3-ketoacid-CoA transferase
PD630_RS01180,"Pd630_LPD00246	",IclR family transcriptional regulator
PD630_RS41720,"Pd630_LPD00247	",hypothetical protein
PD630_RS01185,"Pd630_LPD00248	",hypothetical protein
PD630_RS01190,"Pd630_LPD00249	",hypothetical protein
PD630_RS01195,"Pd630_LPD00250	",carboxymuconolactone decarboxylase family protein
PD630_RS01200,"Pd630_LPD00251	",MarR family transcriptional regulator
PD630_RS01205,"Pd630_LPD00252	",glyoxalase
PD630_RS01210,"Pd630_LPD00253	",quercetin 2%2C3-dioxygenase
PD630_RS01215,"Pd630_LPD00254	",alpha-L-rhamnosidase
PD630_RS01220,"Pd630_LPD00255	",MFS transporter
PD630_RS01225,"Pd630_LPD00256	",TetR family transcriptional regulator
PD630_RS01230,"Pd630_LPD00257	",esterase
PD630_RS01235,"Pd630_LPD00258	",hypothetical protein
PD630_RS01240,"Pd630_LPD00259	",GntR family transcriptional regulator
PD630_RS01245,"Pd630_LPD00260	",MFS transporter
PD630_RS01250,"Pd630_LPD00261	",fumarylacetoacetate hydrolase
PD630_RS01255,"Pd630_LPD00262	",FAD-binding monooxygenase
PD630_RS01260,"Pd630_LPD00263	",hypothetical protein
PD630_RS01265,"Pd630_LPD00264	",hypothetical protein
PD630_RS01270,"Pd630_LPD00265	",hypothetical protein
PD630_RS01275,"Pd630_LPD00266	",hypothetical protein
PD630_RS01280,"Pd630_LPD00267	",hypothetical protein
PD630_RS01285,"Pd630_LPD00268	",LysR family transcriptional regulator
PD630_RS01290,"Pd630_LPD00269	",membrane protein
PD630_RS01295,"Pd630_LPD00270	",GGDEF domain-containing protein
PD630_RS01300,"Pd630_LPD00271	",hydrolase
PD630_RS01305,"Pd630_LPD00272	",amino acid transporter
PD630_RS01310,"Pd630_LPD00273	",transcriptional regulator
PD630_RS01315,"Pd630_LPD00274	",hypothetical protein
PD630_RS01320,"Pd630_LPD00275	",hypothetical protein
PD630_RS01325,"Pd630_LPD00276	",alkene reductase
PD630_RS01330,"Pd630_LPD00277	",hypothetical protein
PD630_RS01335,"Pd630_LPD00278	",universal stress protein
PD630_RS01340,"Pd630_LPD00279	",hydroxyacid dehydrogenase
PD630_RS01345,"Pd630_LPD00280	",peptide ABC transporter substrate-binding protein
PD630_RS01350,"Pd630_LPD00281	",ABC transporter permease
PD630_RS01355,"Pd630_LPD00282	",ABC transporter permease
PD630_RS01360,"Pd630_LPD00283	",dipeptide/oligopeptide/nickel ABC transporter ATP-binding protein
PD630_RS01365,"Pd630_LPD00284	",dipeptide/oligopeptide/nickel ABC transporter ATP-binding protein
PD630_RS01370,"Pd630_LPD00285	",anion permease
PD630_RS01375,"Pd630_LPD00286	",glucarate dehydratase
PD630_RS01380,"Pd630_LPD00287	",2-hydroxyacid dehydrogenase
PD630_RS01385,"Pd630_LPD00288	",hypothetical protein
PD630_RS41725,none,alpha/beta hydrolase (pseudogene)
PD630_RS41730,"Pd630_LPD00296	",hypothetical protein
PD630_RS01410,"Pd630_LPD00297	",IS110 family transposase
PD630_RS01415,"Pd630_LPD00300	",HNH endonuclease
PD630_RS01420,"Pd630_LPD00301	",transposase
PD630_RS01425,"Pd630_LPD00302	",Lsr2 family protein
PD630_RS01430,"Pd630_LPD00303	",hypothetical protein
PD630_RS01435,none,DNA ligase (pseudogene)
PD630_RS01440,"Pd630_LPD00306	",N-acetyltransferase
PD630_RS01445,"Pd630_LPD00308	",gluconate transporter
PD630_RS01450,"Pd630_LPD00309	",methylitaconate delta2-delta3-isomerase
PD630_RS01455,"Pd630_LPD00310	",GntR family transcriptional regulator
PD630_RS01460,none,antibiotic biosynthesis monooxygenase (pseudogene)
PD630_RS01465,"Pd630_LPD00312	",antibiotic biosynthesis monooxygenase
PD630_RS01470,"Pd630_LPD00313	",cupin
PD630_RS01475,"Pd630_LPD00314	",succinate-semialdehyde dehydrogenase
PD630_RS01480,"Pd630_LPD00315	",3-isopropylmalate dehydrogenase
PD630_RS01485,"Pd630_LPD00316	",L-malate permease
PD630_RS01490,"Pd630_LPD00317	",hypothetical protein
PD630_RS01495,"Pd630_LPD00318	",GntR family transcriptional regulator
PD630_RS01500,"Pd630_LPD00319	",hypothetical protein
PD630_RS01505,"Pd630_LPD00320	",membrane protein
PD630_RS01510,"Pd630_LPD00321	",ABC transporter ATP-binding protein
PD630_RS01515,"Pd630_LPD00323	",hypothetical protein
PD630_RS01520,"Pd630_LPD00324	",hypothetical protein
PD630_RS01525,none,hypothetical protein
PD630_RS01530,"Pd630_LPD00327	",Cro/Cl family transcriptional regulator
PD630_RS01535,"Pd630_LPD00328	",integrase
PD630_RS01540,"Pd630_LPD00330	",hypothetical protein
PD630_RS01545,"Pd630_LPD00331	",hypothetical protein
PD630_RS01550,"Pd630_LPD00332	",succinic semialdehyde dehydrogenase
PD630_RS01555,"Pd630_LPD00333	",polyketide cyclase
PD630_RS01560,"Pd630_LPD00334	",alpha/beta hydrolase
PD630_RS01565,none,long-chain-fatty-acid--CoA ligase (pseudogene)
PD630_RS01570,"Pd630_LPD00337	",enoyl-CoA hydratase
PD630_RS01575,"Pd630_LPD00338	",NADPH:quinone oxidoreductase
PD630_RS01580,"Pd630_LPD00339	",enoyl-CoA hydratase
PD630_RS01585,"Pd630_LPD00340	",acetyl-CoA acetyltransferase
PD630_RS01590,"Pd630_LPD00341	",3-hydroxyacyl-CoA dehydrogenase
PD630_RS01595,"Pd630_LPD00342	",TetR family transcriptional regulator
PD630_RS01600,"Pd630_LPD00343	",acyl-CoA dehydrogenase
PD630_RS01605,"Pd630_LPD00344	",2-nitropropane dioxygenase
PD630_RS01610,"Pd630_LPD00345	",polyketide cyclase
PD630_RS01615,"Pd630_LPD00346	",enoyl-CoA hydratase
PD630_RS01620,"Pd630_LPD00347	",TetR family transcriptional regulator
PD630_RS01625,"Pd630_LPD00348	",hypothetical protein
PD630_RS01630,"Pd630_LPD00349	",hypothetical protein
PD630_RS01635,"Pd630_LPD00350	",MFS transporter
PD630_RS01640,"Pd630_LPD00351	",acyl-CoA synthetase
PD630_RS01645,"Pd630_LPD00352	",MFS transporter
PD630_RS01650,"Pd630_LPD00353	",acyl-CoA dehydrogenase
PD630_RS01655,"Pd630_LPD00354	",acyl-CoA dehydrogenase
PD630_RS01660,"Pd630_LPD00355	",acyl-CoA synthetase
PD630_RS01665,"Pd630_LPD00356	",MFS transporter
PD630_RS01670,"Pd630_LPD00357	",cyclase
PD630_RS01675,"Pd630_LPD00358	",DNA-binding response regulator
PD630_RS01680,"Pd630_LPD00359	",two-component sensor histidine kinase
PD630_RS01685,"Pd630_LPD00361	",ABC transporter substrate-binding protein
PD630_RS01690,"Pd630_LPD00362	",ABC transporter ATP-binding protein
PD630_RS01695,"Pd630_LPD00363	",MFS transporter
PD630_RS01700,"Pd630_LPD00364	",aldehyde dehydrogenase
PD630_RS01705,"Pd630_LPD00365	",extradiol ring-cleavage dioxygenase
PD630_RS01710,"Pd630_LPD00366	",hydrolase
PD630_RS01715,"Pd630_LPD00367	",cupin
PD630_RS01720,"Pd630_LPD00368	",3-ketoacyl-ACP reductase
PD630_RS01725,"Pd630_LPD00369	",short chain dehydrogenase
PD630_RS01730,"Pd630_LPD00370	",acetolactate synthase
PD630_RS01735,"Pd630_LPD00371	",salicylate hydroxylase
PD630_RS01740,"Pd630_LPD00372	",hydrolase
PD630_RS01745,"Pd630_LPD00373	",MBL fold metallo-hydrolase
PD630_RS01750,"Pd630_LPD00374	",ferredoxin
PD630_RS01755,"Pd630_LPD00375	",hypothetical protein
PD630_RS01760,"Pd630_LPD00376	",3-phenylpropionate dioxygenase
PD630_RS01765,"Pd630_LPD00377	",TetR family transcriptional regulator
PD630_RS01770,"Pd630_LPD00378	",MarR family transcriptional regulator
PD630_RS01775,"Pd630_LPD00379	",enamine deaminase RidA
PD630_RS01780,"Pd630_LPD00380	",uracil-DNA glycosylase
PD630_RS01785,"Pd630_LPD00381	",NADPH:quinone reductase
PD630_RS01790,"Pd630_LPD00382	",copper resistance protein CopD
PD630_RS01795,"Pd630_LPD00383	",copper resistance protein C
PD630_RS01800,"Pd630_LPD00384	",nuclear export factor GLE1
PD630_RS01805,"Pd630_LPD00385	",hypothetical protein
PD630_RS01810,"Pd630_LPD00386	",hypothetical protein
PD630_RS01815,"Pd630_LPD00387	",recombinase RecB
PD630_RS01820,"Pd630_LPD00388	",DUF1275 family protein
PD630_RS01825,"Pd630_LPD00389	",SAM-dependent methyltransferase
PD630_RS01830,"Pd630_LPD00390	",3-hydroxy-2-methylbutyryl-CoA dehydrogenase
PD630_RS01835,"Pd630_LPD00391	",hypothetical protein
PD630_RS01840,"Pd630_LPD00392	",zinc finger protein
PD630_RS01845,"Pd630_LPD00393	",histidine kinase
PD630_RS01850,"Pd630_LPD00394	",fused response regulator/thioredoxin-disulfide reductase
PD630_RS01855,"Pd630_LPD00395	",hypothetical protein
PD630_RS01860,"Pd630_LPD00396	",hypothetical protein
PD630_RS01865,"Pd630_LPD00397	",VTC domain-containing protein
PD630_RS01870,"Pd630_LPD00398	",DUF4956 domain-containing protein
PD630_RS01875,"Pd630_LPD00399	",spore coat protein CotH
PD630_RS01880,"Pd630_LPD00400	",membrane protein
PD630_RS01885,"Pd630_LPD00401	",amidase
PD630_RS01890,"Pd630_LPD00402	",superoxide dismutase
PD630_RS41735,"Pd630_LPD00403	",hypothetical protein
PD630_RS01895,"Pd630_LPD00404	",acyltransferase
PD630_RS01900,"Pd630_LPD00405	",peptide-methionine (S)-S-oxide reductase
PD630_RS01905,"Pd630_LPD00406	",membrane protein
PD630_RS01910,"Pd630_LPD00407	",NmrA family transcriptional regulator
PD630_RS01915,"Pd630_LPD00408	",AraC family transcriptional regulator
PD630_RS01920,"Pd630_LPD00409	",hypothetical protein
PD630_RS01925,"Pd630_LPD00410	",DUF3303 domain-containing protein
PD630_RS41740,"Pd630_LPD00411	",cyclase (pseudogene)
PD630_RS01930,"Pd630_LPD00412	",transcriptional regulator
PD630_RS01935,"Pd630_LPD00413	",LLM class F420-dependent oxidoreductase
PD630_RS01940,"Pd630_LPD00414	",peptidase S49
PD630_RS01945,"Pd630_LPD00415	",hypothetical protein
PD630_RS41745,none,hypothetical protein
PD630_RS01950,"Pd630_LPD00416	",membrane protein
PD630_RS01955,"Pd630_LPD00417	",glycerophosphodiester phosphodiesterase
PD630_RS01960,"Pd630_LPD00418	",hypothetical protein
PD630_RS01965,"Pd630_LPD00419	",bacterioferritin
PD630_RS01970,"Pd630_LPD00420	",lipase
PD630_RS01975,"Pd630_LPD00421	",bacterioferritin
PD630_RS01980,none,LytTR family transcriptional regulator
PD630_RS01990,"Pd630_LPD00423	",CPBP family intramembrane metalloprotease
PD630_RS01995,"Pd630_LPD00424	",prephenate dehydratase
PD630_RS02000,"Pd630_LPD00425	",hypothetical protein
PD630_RS02005,"Pd630_LPD00426	",prephenate dehydratase
PD630_RS02010,"Pd630_LPD00427	",phosphoglycerate kinase
PD630_RS02015,"Pd630_LPD00428	",membrane protein
PD630_RS02020,"Pd630_LPD00429	",secretion protein
PD630_RS02025,"Pd630_LPD00431	",PPE family protein
PD630_RS02030,"Pd630_LPD00432	",PE family protein
PD630_RS02035,"Pd630_LPD00433	",hypothetical protein
PD630_RS02040,"Pd630_LPD00434	",membrane protein
PD630_RS02045,"Pd630_LPD00436	",hypothetical protein
PD630_RS02050,"Pd630_LPD00437	",serine--tRNA ligase
PD630_RS02055,"Pd630_LPD00438	",(2Fe-2S)-binding protein
PD630_RS02060,"Pd630_LPD00439	",bacterioferritin
PD630_RS02065,"Pd630_LPD00440	",MFS transporter
PD630_RS02070,"Pd630_LPD00441	",(2Fe-2S)-binding protein
PD630_RS02075,"Pd630_LPD00442	",hypothetical protein
PD630_RS02080,"Pd630_LPD00443	",1-acyl-sn-glycerol-3-phosphate acyltransferase
